OBJECTID,BusinessID,Unit,House,Street,PostalCode,BusinessName,BusinessType,BusinessSubType,IssueDate,LicenceCategory,WebsiteAddress,Phone1,Phone1Description,Keywords,SHAPE,geometry,lon,lat,BusinessDescription
1848,00435285,200,22714,DEWDNEY TRUNK RD,V2X 3K2,SANDI BOSSONS COUNSELLING,HEALTH SERVICES,COUNSELLING,2021-12-13,COMMERCIAL,,604 785 7314,Work,,,POINT (-122.59285813546889 49.21969134552327),-122.59285813546889,49.21969134552327,PSYCHOLOGICAL SERVICES
1849,00433740,,9484,266 ST,V2W 1K2,LANIX PROPERTY GROUP,CONTRACTORS,LANDSCAPING,2022-02-07,HOME BASED,,778 242 2660,Work,,,POINT (-122.482470749531 49.174269601835235),-122.482470749531,49.174269601835235,RESTAURANT
1850,00435609,,22351,144 AVE,V4R 2P8,TIMBERLINE RANCH SOCIETY,SPORTS & RECREATION CENTRE,UNCLASSIFIED SPORT/RECREATION CENTRE,2021-11-17,COMMERCIAL,,604 463 9278,Work,,,POINT (-122.60239864339039 49.267855363686415),-122.60239864339039,49.267855363686415,"OFFICE/WAREHOUSE - LANDCLEARING, EXCAVATION OR SITE SURFACE PREPARATION & TRUCKING"
1851,00436181,,12852,224 ST,V4R 2P9,WARDROPE MUSIC STUDIO,EDUCATION & INSTRUCTION,FINE ARTS/DANCE/MUSIC,,HOME BASED,,604 818 8853,Work,,,POINT (-122.60031707556168 49.23558457901053),-122.60031707556168,49.23558457901053,MOBILE VETERINARIAN
1853,00436542,,23989,130A AVE,V4R 0A5,HECTECH MECHANICAL,CONTRACTOR,PLUMBING & GAS,2022-02-07,HOME BASED,,604 353 7256,Work,,,POINT (-122.55793637176573 49.23975716156304),-122.55793637176573,49.23975716156304,BUILDING AND SIDING HOUSES OUTBUILDING
1855,00457667,,24369,126 AVE,V4R 1M2,CONCORDIA HOMES 1997 LTD,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),2022-01-11,HOME BASED,,,Work,,,,,,TRAILER PARK
1856,00434460,1,20718,LOUGHEED HWY,V2X 2R1,7-ELEVEN CANADA INC,FOOD & BEVERAGE RETAIL,CONVENIENCE STORE,,COMMERCIAL,,604 460 6361,Work,,,POINT (-122.64755536931494 49.217938641264126),-122.64755536931494,49.217938641264126,TRANSPORTATION CONSULTANT - OFFICE USE ONLY
1857,00434419,,22326,MCINTOSH AVE,,SABINA'S DELI LTD,FOOD & BEVERAGE RETAIL,DELI,2021-12-08,COMMERCIAL,,604 466 1921,Work,,,POINT (-122.60343478979844 49.219259181166805),-122.60343478979844,49.219259181166805,WAREHOUSE FOR E-COMMERCE BUSINESS
1858,00435221,104,20145,STEWART CRES,V2X 0T6,ZONE WEST ENTERPRISES LTD,MANUFACTURING,CLOTHING/TEXTILE,2021-12-23,COMMERCIAL,,604 460 2828,Work,,,POINT (-122.6625989166969 49.21251188621591),-122.6625989166969,49.21251188621591,CONSTRUCTION & MAINTENANCE
1859,00458666,,12483,204 ST,V2X 0T7,PACIFIC COAST CONCRETE RESTORATION & WATERPROOFING LTD,CONTRACTORS,CONCRETE - POUR/FINISH/FORM/REINFORCE,2022-02-14,HOME BASED,,604 313 8619,Work,,,POINT (-122.65577665490383 49.22943297196706),-122.65577665490383,49.22943297196706,CARAMELS. (COMMERCIAL KITCHEN IS IN ABBOTSFORD)
1861,00434975,,12753,256 ST,V4R 1C2,DR. STUMP,HOME & INDUSTRY SERVICES,TREE SERVICE,,HOME BASED,,877 377 8867,Work,,,POINT (-122.51774147966961 49.23408650484562),-122.51774147966961,49.23408650484562,PLUMBING CONTRACTOR
1862,00459096,310,22255,122 AVE,V2X 3X8,LOVING CARE CRITTER SITTER,ANIMAL SERVICES,DOG WALKER,2021-12-30,HOME BASED,,604 466 3761,Work,,,POINT (-122.60567414412719 49.22457491637124),-122.60567414412719,49.22457491637124,PLUMBING & GAS
1865,00436219,102,22550,DEWDNEY TRUNK RD,V2X 3J9,REGENCY MEN'S WEAR,CLOTHING & ACCESSORY RETAIL,MEN'S CLOTHING,2021-12-14,COMMERCIAL,,604 467 1533,Work,,,POINT (-122.59707240359064 49.2200200326113),-122.59707240359064,49.2200200326113,EXCAVATION CONTRACTOR
1866,00432449,360,20170,STEWART CRES,V2X 0T4,PACIFIC AUTO CORE LTD. (DBA PACIFIC BATTERIES),AUTOMOTIVE,ALL OTHER AUTOMOTIVE SERVICE,2021-12-07,COMMERCIAL,,604 457 2288,Work,,,POINT (-122.66060617139554 49.21225605601501),-122.66060617139554,49.21225605601501,SALES AGENCY
1867,00435237,,20770,123B AVE,V2X 1M4,LITTLE BLACK BOX PHOTOBOOTH,PHOTOGRAPHY & FILM,PORTRAIT PHOTOGRAPHER,2021-12-30,HOME BASED,,604 467 2249,Work,,,POINT (-122.64598922057785 49.22696272282873),-122.64598922057785,49.22696272282873,UHAUL RENTALS
1868,00458888,5,22128,DEWDNEY TRUNK RD,V2X 3H6,SCLATER BUILDS,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),2022-02-07,HOME BASED,,778 228 4723,Work,,,POINT (-122.60940018610454 49.21971851739756),-122.60940018610454,49.21971851739756,DIGITAL MEDIA & MARKETING
1869,00432153,,22715,DEWDNEY TRUNK RD,V2X 3K3,BOYD AUTOBODY,AUTOMOTIVE,AUTO PAINT & BODY,2021-12-08,COMMERCIAL,,604 463 7002,Work,,,POINT (-122.59278421838843 49.22076930626126),-122.59278421838843,49.22076930626126,"FLOORING, CARPET, FLOOR COVERING"
1870,00432463,,12538,248 ST,V4R 1K1,THOMAS FARM,AGRICULTURE,CROP FARMING,2021-12-13,HOME BASED,,604 431 0748,Work,,,POINT (-122.5330396510608 49.2300376597447),-122.5330396510608,49.2300376597447,ONLINE WEBSITE/PUBLICATION
1871,00434398,430,22709,LOUGHEED HWY,V2X 2V5,EXPRESS NEWS,FOOD & BEVERAGE RETAIL,CONVENIENCE STORE,2022-01-21,COMMERCIAL,,604 467 1661,Work,,,POINT (-122.5918915421036 49.21762737861612),-122.5918915421036,49.21762737861612,MOBILE SURFACE PREPARATION/SANDBLASTING
1872,00436065,13,11720,STEWART CRES,V2X 9E7,RUSSELL MECHANICAL SYSTEMS LTD,CONTRACTOR,PLUMBING,2021-12-13,COMMERCIAL,,604 465 8050,Work,,,POINT (-122.6671045243597 49.21570666011587),-122.6671045243597,49.21570666011587,COUNSELLING OFFICE SERVING ADULTS AND TEENS
1873,00434140,,21525,DEWDNEY TRUNK RD,V2X 3G5,THE OFFICE BEER AND WINE STORE,FOOD & BEVERAGE RETAIL,LIQUOR RETAIL STORE,2021-12-23,COMMERCIAL,,604 463 7867,Work,,,POINT (-122.6249744524274 49.221136267138185),-122.6249744524274,49.221136267138185,CAMP AND RETREAT CENTRE - CHARITABLE SOCIETY: CHAIRITY NUMBER 119264836 RR 0001
1874,00457739,,13345,PARK LANE,V4R 2T1,ROBINS CARGO,WHOLESALE & DISTRIBUTION,AGENT/BROKER,,HOME BASED,,604-842-1923,Work,,,POINT (-122.61726713489439 49.243779112754446),-122.61726713489439,49.243779112754446,PIANO INSTRUCTION
1875,00432459,,12845,261A ST,,INTERNATIONAL MACHINERY SALES,WHOLESALE & DISTRIBUTION,MACHINERY & EQUIPMENT,2021-12-24,COMMERCIAL,,604 460 9955,Work,,,POINT (-122.49780293266346 49.23596605737951),-122.49780293266346,49.23596605737951,"HEATING, VENTILATION, AIR CONDITIONING, REFRIDGERATION & PLUMBING"
1876,00434110,,21073,117 AVE,V2X 2G9,KATHLEEN E GILES CPA,FINANCIAL & INSTITUTIONAL SERVICES,ACCOUNTANT,2022-01-20,HOME BASED,,604 467 9864,Work,,,POINT (-122.63786840845862 49.21487087897775),-122.63786840845862,49.21487087897775,CONSTRUCTION
1877,00436241,200,22718,DEWDNEY TRUNK RD,V2X 8S5,WEST COAST INSTRUCTION,EDUCATION & INSTRUCTION,UNCLASSIFIED EDUCATION & INSTRUCTION,2022-01-05,COMMERCIAL,,604 200 7468,Work,,,POINT (-122.59285813546889 49.21969134552327),-122.59285813546889,49.21969134552327,CONVENIENCE STORE
1878,00434636,101,22838,LOUGHEED HWY,V2X 2V6,SUBWAY,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,2022-02-03,COMMERCIAL,,604 466 2611,Work,,,POINT (-122.5898456669982 49.214906870200416),-122.5898456669982,49.214906870200416,DELI
1879,00434745,24,11160,234A ST,V2W 0B8,GUSTO CHOCOLATES INC,FOOD & BEVERAGE SERVICES,FOOD/BEVERAGE DELIVERY SERVICE,,HOME BASED,,604 837 3584,Work,,,POINT (-122.57238365110886 49.20531323176139),-122.57238365110886,49.20531323176139,MANUFACTURE/WHOLSALE EMBLEM EMBROIDERY
1880,00435388,550,20395,LOUGHEED HWY,V2X 2P9,KELLER WILLIAMS ELITE REALTY,REAL ESTATE,REAL ESTATE AGENCY,2021-12-10,COMMERCIAL,,604 465 0030,Work,,,POINT (-122.6556634807823 49.21971460895273),-122.6556634807823,49.21971460895273,"ALL THINGS CONCRETE, INSTALLATION, REPAIR, ETC"
1881,00432411,220,20170,STEWART CRES,V2X 0T4,TRUENORTH TRADING CO LTD,WHOLESALE & DISTRIBUTION,UNCLASSIFIED WHOLESALE,2021-12-22,COMMERCIAL,,604 459 2859,Work,,,POINT (-122.66060617139554 49.21225605601501),-122.66060617139554,49.21225605601501,LANDSCAPING
1882,00434303,8,22932,LOUGHEED HWY,V2X 2W2,EVIDENT CARE DENTAL,PROFESSIONAL SERVICES,DENTIST,2022-01-05,COMMERCIAL,,604 466 0400,Work,,,POINT (-122.58715440667785 49.21242059059824),-122.58715440667785,49.21242059059824,PET SITTING /DOG WALKING
1883,00435268,,13345,PARK LANE,V4R 2T1,NORTH FRASER THERAPEUTIC RIDING ASSOCIATION,HEALTH SERVICES,UNCLASSIFIED HEALTH SERVICE,2021-11-17,COMMERCIAL,,604 462 7786,Work,,,POINT (-122.61726713489439 49.243779112754446),-122.61726713489439,49.243779112754446,CLOTHING & ACCESSORY RETAIL
1884,00435177,,10570,276 ST,V2W 1M6,GALLANT ENTERPRISES LTD,MANUFACTURING,WOOD PRODUCTS,2021-12-20,HOME BASED,,604 462 8557,Work,,,POINT (-122.4564768366088 49.19473639531016),-122.4564768366088,49.19473639531016,CAR & TRUCK BATTERIES - SALES & INSTALLATION
1885,00433444,,26491,121 AVE,,DE NOVO HOMES LTD,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),2022-01-04,HOME BASED,,778 892 7552,Work,,,POINT (-122.48753208610962 49.22283049846989),-122.48753208610962,49.22283049846989,PORTABLE / MOBILE PHOTOBOOTH
1886,00434105,,23331,124A AVE,V2X 0N1,HARTLEY BUSINESS SERVICES INC,FINANCIAL & INSTITUTIONAL SERVICES,BOOKKEEPING,2022-01-18,HOME BASED,,604 467 7516,Work,,,POINT (-122.57543345694422 49.2288271677707),-122.57543345694422,49.2288271677707,CARPENTRY / WOOD FRAME CONSTRUCTION
1887,00435984,,21281,128 AVE,V4R 2R9,PEMBERLEY RIDING SCHOOL,SPORTS & RECREATION CENTRE,RIDING ACADEMIES/STABLES,,COMMERCIAL,,604 836 7522,Work,,,POINT (-122.63073689126965 49.237832221201806),-122.63073689126965,49.237832221201806,"COLLISION REPAIRS OF ALL MAKES & MODELS OF CARS &LIGHT TRUCKS, FREE COURTESY CARS"
1888,00436001,,9881,280 ST,V2W 1L4,STEVE WALKER TRUCKING LTD,TRANSPORT GOODS & SERVICES,TRUCKING,2021-12-08,HOME BASED,,604 462 0474,Work,,,POINT (-122.4492408561879 49.18164349491867),-122.4492408561879,49.18164349491867,BLUEBERRY FARM STAND
1889,00459923,,12497,224 ST,V2X 6C2,RAZORCUT LANDSCAPES,HOME & INDUSTRY SERVICES,GARDENER/LAWN MAINTENANCE,,HOME BASED,,604 809 2804,Work,,,POINT (-122.60160595593229 49.22933873253403),-122.60160595593229,49.22933873253403,CONVENIENCE STORE/SMOKE SHOP/LOTTO
1890,00432256,,20098,LORNE AVE,V2X 1G1,SINTECH PROCESS CONTROL,BUSINESS SERVICES,CONSULTING SERVICE,,HOME BASED,,604 465 3945,Work,,,POINT (-122.66317512838307 49.20431911962276),-122.66317512838307,49.20431911962276,STORAGE & OFFICE
1891,00435189,,9550,288 ST,V2W 1L1,BEST QUALITY CEDAR PRODUCT LTD,MANUFACTURING,"SAWMILL, SHAKE & SHINGLE",2021-12-21,COMMERCIAL,,604 462 7721,Work,,,POINT (-122.42493577864661 49.17584897232938),-122.42493577864661,49.17584897232938,BEER & WINE STORE
1892,00432357,,22246,SELKIRK AVE,,ROMPER'S CUSTOM UPHOLSTERY,AUTOMOTIVE,AUTO DETAILING/UPHOLSTERY,,COMMERCIAL,,604 465 6444,Work,,,POINT (-122.60531602737517 49.21751898518972),-122.60531602737517,49.21751898518972,FREIGHT BROKER
1893,00432533,,23907,LOUGHEED HWY,,CEDAR GREEN FARM,AGRICULTURE,CROP FARMING,2021-12-21,HOME BASED,,604 463 9216,Work,,,POINT (-122.55966422421555 49.18467780905503),-122.55966422421555,49.18467780905503,"BUY & SELL HEAVY TRUCKS, ENGINE & MACHINE SHOP"
1894,00458695,102,22471,LOUGHEED HWY,V2X 2T8,THE SUGARING SUITE,PERSONAL SERVICES,SPA SERVICES,2022-01-04,COMMERCIAL,WWW.FACEBOOK.COM/LKBEAUTY.CA,778 789 1561,Work,,,POINT (-122.5993658695399 49.21737135239143),-122.5993658695399,49.21737135239143,ACCOUNTANT
1895,00434230,,22568,LOUGHEED HWY,,COREY SCHMIDT DBA PRIMERICA,FINANCIAL & INSTITUTIONAL SERVICES,FINANCIAL PLANNER CONSULTANT,2022-01-12,COMMERCIAL,,604 380 3111,Work,,,POINT (-122.59711998881039 49.216801257730665),-122.59711998881039,49.216801257730665,HUNTER & FIRE ARM SAFETY
1898,00458884,,24816,118B AVE,V4R 1Z2,EKHORN TREE CARE,HOME & INDUSTRY SERVICES,TREE SERVICE,2022-01-21,HOME BASED,,778 773 8745,Work,,,POINT (-122.53375883487473 49.21755896030121),-122.53375883487473,49.21755896030121,QUICK SERVICE SUB SANDWICHES
1899,00435923,,11960,249A ST,V4R 2E3,RIDGE MEADOWS ASSOCIATION FOR COMMUNITY LIVING / THORNTON HOUSE,COMMUNITY CARE,COMMUNITY CARE FACILITY,2021-11-18,COMMERCIAL,,604 463 5188,Work,,,POINT (-122.53101888904867 49.21950033544633),-122.53101888904867,49.21950033544633,CHOCOLATE PROCESSING/ MANUFACTURING
1900,00433613,,26766,DEWDNEY TRUNK RD,V2W 1N9,CMB SERVICES,CONTRACTORS,SITE PREPARATION,2022-01-04,HOME BASED,,604 809 5420,Work,,,POINT (-122.4805060130446 49.2191480493556),-122.4805060130446,49.2191480493556,REAL ESTATE SALES
1903,00434215,410,20395,LOUGHEED HWY,V2X 2P9,HSBC BANK CANADA,FINANCIAL & INSTITUTIONAL SERVICES,ATM/KIOSK,2021-12-23,COMMERCIAL,,604 467 1131,Work,,,POINT (-122.6556634807823 49.21971460895273),-122.6556634807823,49.21971460895273,EQUINE WHOLESALE AND LEATHER PRODUCTS (SADDLES & TACK)
1904,00459066,14,11165,GILKER HILL RD,V2W 1V5,IMMACULATE CLEANING SERVICES,HOME & INDUSTRY SERVICES,POWER WASHING/BUILDING CLEANING,2021-12-29,HOME BASED,IMMACULATECLEANINGBC.COM,604 500 0649,Work,,,POINT (-122.57103566274452 49.20541143769304),-122.57103566274452,49.20541143769304,DENTIST
1905,00440033,105,22550,DEWDNEY TRUNK RD,V2X 3J9,TRES MARIAS SARI SARI STORE,FOOD & BEVERAGE RETAIL,CONVENIENCE STORE,2022-01-10,COMMERCIAL,,604 380 1171,Work,,,POINT (-122.59707240359064 49.2200200326113),-122.59707240359064,49.2200200326113,PROVIDE THERAPEUTIC RIDING TO ADULTS AND CHILDREN
1907,00460282,,12755,227A ST,V2X 2V8,PETER HERMAN CPA PROFESSIONAL CORP,FINANCIAL & INSTITUTIONAL SERVICES,ACCOUNTANT,2022-02-16,HOME BASED,THEHERMANFILE.COM,604 283 9080,Work,,,POINT (-122.59299773016411 49.234070177606675),-122.59299773016411,49.234070177606675,CUSTOM CUTTING SAWMILL (BANDSAW OPERATION)
1908,00432628,,24305,102A AVE,V2W 1X9,JOYCE HEATING SERVICES LTD,CONTRACTOR,GAS,2021-12-21,HOME BASED,,604 434 7747,Work,,,POINT (-122.54882080320377 49.18838843783302),-122.54882080320377,49.18838843783302,CONSTRUCTION/HOME BUILDER/CONTRACTOR
1909,00434352,110,20528,LOUGHEED HWY,V2X 2P8,MAGETA FAMILY MEDICAL CLINIC,PROFESSIONAL SERVICES,PHYSICIAN,2022-01-06,COMMERCIAL,,604 465 1100,Work,,,POINT (-122.65225360738735 49.21814017195935),-122.65225360738735,49.21814017195935,"BOOKEEPING, PAYROLLLANDSCAPE ARCHITECTURAL & INTERIORDESIGN SERVICES"
1910,00432379,,22703,123 AVE,V2X 4E5,"REDBOURN, KEN",WHOLESALE & DISTRIBUTION,AGENT/BROKER,2021-12-10,HOME BASED,,604 467 1703,Work,,,POINT (-122.59350277277618 49.22667393264709),-122.59350277277618,49.22667393264709,HORSE RIDING LESSONS
1911,00438914,,20304,LOUGHEED HWY,V2X 2P7,MAPLE RIDGE SHELL,AUTOMOTIVE,GAS STATION/CONVENIENCE,2021-12-08,COMMERCIAL,,604 465 7411,Work,,,POINT (-122.65820254088125 49.2190207713096),-122.65820254088125,49.2190207713096,TRUCKING
1912,00434282,1,22932,LOUGHEED HWY,V2X 2W2,PAULA YOUNG REGISTERED MASSAGE THERAPY,PROFESSIONAL SERVICES,REGISTERED MASSAGE THERAPIST,2021-12-09,COMMERCIAL,paulakrmt.com,604 928 4836,Work,,,POINT (-122.58715440667785 49.21242059059824),-122.58715440667785,49.21242059059824,LAWN AND LANDSCAPE
1914,00434122,,12411,DAWSON PL,V4R 2L6,IDH TAX SOLUTIONS AND ACCOUNTING LTD,FINANCIAL & INSTITUTIONAL SERVICES,TAX PREPARATION,2022-01-10,HOME BASED,,604 463 5577,Work,,,POINT (-122.63336099070534 49.2285765103809),-122.63336099070534,49.2285765103809,SCIENTIFIC & TECHNICAL CONSULTING
1915,00432123,,12984,MILL ST,V4R 2R8,WILLOW HILL CAT HOTEL AND BOARDING,ANIMAL SERVICES,UNCLASSIFIED ANIMAL SERVICE,,HOME BASED,,604 477 9968,Work,,,POINT (-122.55502461687314 49.23755269091318),-122.55502461687314,49.23755269091318,SAW MILL
1916,00433958,,12259,252 ST,V4R 1G5,K.A.M. RENOVATIONS LTD,CONTRACTORS,RENOVATION/RESTORATION/HOME IMPROVEMENT,2021-12-20,HOME BASED,,604 366 5725,Work,,,POINT (-122.52405730562873 49.22518140085444),-122.52405730562873,49.22518140085444,AUTO GLASS AND UPHOLSTERY
1917,00459976,200,20395,LOUGHEED HWY,V2X 2P9,SARAH SHIHO,PROFESSIONAL SERVICES,ACUPUNCTURE,2021-12-06,COMMERCIAL,,604 465 4263,Work,,,POINT (-122.6556634807823 49.21971460895273),-122.6556634807823,49.21971460895273,FARM GATE SALES
1918,00459286,,11020,280 ST,V2W 1Z1,HAVEN RIDGE FEEDS,RETAIL,PET FOOD/SUPPLIES/FEED DEALER,2022-02-01,HOME BASED,,604 700 7056,Work,,,POINT (-122.44162629338038 49.20244475527234),-122.44162629338038,49.20244475527234,PERSONAL SERVICES - SUGARING HAIR REMOVAL
1919,00433242,,20780,RIVER RD,V2X 1Z7,SUNDECKS UNLIMITED,CONTRACTORS,AWNINGS/DECKS/SOLARIUMS/RAILINGS,,HOME BASED,,604 463 3838,Work,,,POINT (-122.64586418544604 49.21223567192549),-122.64586418544604,49.21223567192549,DISTRIBUTION OF FINANCIAL PRODUCTS AND SERVICES
1920,00459041,300,22420,DEWDNEY TRUNK RD,V2X 8H7,DELEEZY TECHNOLOGIES INC,COMPUTER & TECHNOLOGY SERVICES,TELECOMMUNICATIONS,2022-02-07,COMMERCIAL,www.deleezy.com,604 283 6273,Work,,,POINT (-122.60080799697191 49.21998759255013),-122.60080799697191,49.21998759255013,ARBORIST TREE CARE
1921,00433585,,22836,122 AVE,V2X 3Y2,EDDY'S MOBILE WELDING & FABRICATION,CONTRACTORS,WELDING,2022-01-07,HOME BASED,,604 530 2938,Work,,,POINT (-122.58931349274852 49.22434843523911),-122.58931349274852,49.22434843523911,RESIDENTIAL - COMMUNITY LIVING
1922,00433899,8,11937,227 ST,V2X 6J4,0844502 BC LTD DBA ALOUETTE PHARMACY,HEALTH RETAIL,PHARMACY,2022-01-24,COMMERCIAL,,604 467 3784,Work,,,POINT (-122.59438342430852 49.21929773111811),-122.59438342430852,49.21929773111811,BOBCAT SERVICES
1923,00448132,300,22420,DEWDNEY TRUNK RD,V2X 8H7,CELESTE MCDONAGH PSYCHOTHERAPIST,HEALTH SERVICES,COUNSELLING,2022-01-25,COMMERCIAL,,604 671 9402,Work,,,POINT (-122.60080799697191 49.21998759255013),-122.60080799697191,49.21998759255013,2 ATMS @ BANK LOCATION
1924,00435821,,20878,123 AVE,V2X 4B2,YOUNGHUSBAND RESOURCES LTD,COMMUNITY CARE,COMMUNITY CARE FACILITY,2022-02-17,COMMERCIAL,,604 466 1220,Work,,,POINT (-122.64270697604485 49.22591008616927),-122.64270697604485,49.22591008616927,EXTERIOR BUILDING CLEANING
1925,00434493,,22787,DEWDNEY TRUNK RD,V2X 3K4,J&G CONVENIENCE STORE LTD DBA JV CONVENIENCE STORE,FOOD & BEVERAGE RETAIL,CONVENIENCE STORE,2021-12-23,COMMERCIAL,,604 380 4490,Work,,,POINT (-122.59085314850564 49.22080007210628),-122.59085314850564,49.22080007210628,CUSTOM MADE UNIFORMS (DENTAL/MEDICAL/SPA)
1926,00435952,,11915,252 ST,V4R 1E8,FIT ZONE TRAINING,SPORTS & RECREATION SERVICES,ATHLETIC INSTRUCTOR,2022-01-17,HOME BASED,,604 690 5340,Work,,,POINT (-122.52400830130668 49.21930298813977),-122.52400830130668,49.21930298813977,CONVENIENCE STORE
1927,00436499,,22718,LOUGHEED HWY,V2X 2V6,MAPLE RIDGE PITT MEADOWS COMMUNITY SERVICES,COMMUNITY GROUPS,FAMILY & SOCIAL SERVICES,2021-11-17,COMMERCIAL,,604 467 6911,Work,,,POINT (-122.59306907572851 49.21656023025326),-122.59306907572851,49.21656023025326,CHARTERED PROFESSIONAL ACCOUNTANT
1928,00458259,,12280,230 ST,V2X 0P6,LITTLE WILLOWS EARLY LEARNING CHILDCARE CENTRE (POWELL) INC,COMMUNITY CARE,CHILD CARE - GROUP CHILD CARE CENTRE,2021-12-23,COMMERCIAL,,,Work,,,POINT (-122.58317395547594 49.22534488400259),-122.58317395547594,49.22534488400259,HEATING CONTRACTOR
1929,00434698,108,22645,DEWDNEY TRUNK RD,V2X 3K1,BITA FOOD DBA DONAIR AFFAIR,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,2022-01-07,COMMERCIAL,,604 463 3898,Work,,,POINT (-122.59466335927253 49.22074779528241),-122.59466335927253,49.22074779528241,PHYSICIAN'S OFFICE
1930,00433630,,25380,BOSONWORTH AVE,,SPARTAN EXTERIORS LTD,CONTRACTORS,SIDING/GUTTERS,2022-01-25,HOME BASED,WWW.SPARTANEXTERIORS.CA,778 572 0999,Work,,,POINT (-122.51850881633189 49.205495642631426),-122.51850881633189,49.205495642631426,SALES
1931,00435417,105,11862,226 ST,,WBH & WELLNESS CENTRE INC,HEALTH SERVICES,UNCLASSIFIED HEALTH SERVICE,2021-12-14,COMMERCIAL,,604 479 0777,Work,,,POINT (-122.59597311662108 49.21805858579516),-122.59597311662108,49.21805858579516,GAS STATION & CONVENIENCE
1932,00460483,20,21555,DEWDNEY TRUNK RD,V2X 3G6,13552748 CANADA INC,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),2021-12-13,HOME BASED,,604 314 0095,Work,,,POINT (-122.62404905929859 49.221122005925416),-122.62404905929859,49.221122005925416,"SUNDECK CONSTRUCTION, VINYL & COMPSITE INSTALLATION"
1933,00438768,,25328,100 AVE,V2W 1S3,KWAST CONTRACTING LTD,CONTRACTORS,SITE PREPARATION,2021-12-31,HOME BASED,,604 462 1480,Work,,,POINT (-122.51967620805694 49.18304133778046),-122.51967620805694,49.18304133778046,RMT
1934,00460623,,22703,LOUGHEED HWY,V2X 2V5,SAVE-ON-FOODS LIMITED PARTNERSHIP,HEALTH RETAIL,PHARMACY,2022-01-20,COMMERCIAL,,,Work,,,POINT (-122.5918915421036 49.21762737861612),-122.5918915421036,49.21762737861612,ACCOUNTING/TAX RETURNS
1935,00436109,,21181,COOK AVE,V2X 7P7,RIDGE MEADOWS ASSOCIATION FOR COMMUNITY LIVING,COMMUNITY CARE,COMMUNITY CARE FACILITY,2021-11-17,COMMERCIAL,,604 463 5188,Work,,,POINT (-122.6343022820124 49.21990361499327),-122.6343022820124,49.21990361499327,CAT BOARDING
1936,00434121,11,13210,SHOESMITH CRES,,SIMPLIFIED FINANCIAL INC,FINANCIAL & INSTITUTIONAL SERVICES,FINANCIAL PLANNER CONSULTANT,2021-12-09,HOME BASED,,604 466 1046,Work,,,,,,ONLINE STORE SELLING EMBROIDERED UNDERWEAR
1937,00436296,,12138,EDGE ST,V2X 6J6,ERIC LANGTON ACTIVE KIDS CLUB - CITY OF MAPLE RIDGE LEISURE SERVICES,COMMUNITY CARE,CHILD CARE - GROUP CHILD CARE CENTRE,2021-11-17,COMMERCIAL,,604 465 7453,Work,,,POINT (-122.59615565205488 49.223649749252964),-122.59615565205488,49.223649749252964,RENOVATIONS
1939,00458003,B,11997,224 ST,V2X 6B4,KOCODAK,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,2022-01-06,COMMERCIAL,,604 466 4007,Work,,,POINT (-122.60197069897397 49.220201178293415),-122.60197069897397,49.220201178293415,ACUPUNCTURE AND PEDORTHIST
1940,00434386,610,22470,DEWDNEY TRUNK RD,,DR. KATHERINE BUCKLEY INC,PROFESSIONAL SERVICES,PHYSICIAN,2022-01-04,COMMERCIAL,,604 477 0165,Work,,,POINT (-122.59978071093033 49.21990469926032),-122.59978071093033,49.21990469926032,"HORSE PALLETS, DOG & CAT FOOD"
1941,00458832,,23114,134 LOOP,,SKYLARK MANAGEMENT CORP,CONTRACTORS,UNDERGROUND SERVICES,2021-12-09,HOME BASED,,604 970 3467,Work,,,POINT (-122.5825713051107 49.246293584239694),-122.5825713051107,49.246293584239694,INSTALL SUNDECKS
1942,00433205,,11547,272 ST,V2W 1N1,FINN MARK INTERIORS,CONTRACTORS,FINISH CARPENTRY,2021-12-21,HOME BASED,,604 462 8677,Work,,,POINT (-122.46909313795362 49.21234847165487),-122.46909313795362,49.21234847165487,CASHLESS TECH - LAST MILE APP DELIVERY SERVICE
1943,00435933,,23735,105 AVE,V2W 1E1,TERRY'S TRUCKING,TRANSPORT GOODS & SERVICES,TRUCKING,2022-01-04,HOME BASED,,604 466 3139,Work,,,POINT (-122.56298199120126 49.194614467187584),-122.56298199120126,49.194614467187584,MOBILE WELDING & FABRICATION
1944,00432634,2,11720,STEWART CRES,V2X 9E7,WOLF ELECTRICAL LTD,CONTRACTOR,ELECTRICAL,2021-12-15,COMMERCIAL,,604 465 9536,Work,,,POINT (-122.6671045243597 49.21570666011587),-122.6671045243597,49.21570666011587,PHARMACY RETAIL
1945,00435163,,9393,287 ST,V2W 1L1,WALDUN FOREST LTD,MANUFACTURING,"SAWMILL, SHAKE & SHINGLE",2021-12-13,COMMERCIAL,,604 462 8266,Work,,,POINT (-122.43188068695358 49.17269645101063),-122.43188068695358,49.17269645101063,PSYCHOTHERAPIST
