"entreprise","no_civique","rue_local","code_postal","entreprise_tel","scian_principal"
"SUPER C #5936 (350 RUE BELVÉDÈRE S)",350,"Rue Belvédère Sud","J1H 4B5","819 564-6014","Supermarches Et Autres Epiceries, Sauf Les Depanneurs"
"SUPER C (BOUL. DE PORTLAND)",3050,"Boulevard de Portland","J1L 1K1","819 564-0707","Supermarches Et Autres Epiceries, Sauf Les Depanneurs"
"SUPER PITA (RUE KING E)",651,"Rue King Est","J1G 1C1","819 823-1753","Etablissements De Restauration A Service Restreint"
"SUPERMÉTAL SHERBROOKE",375,"Rue de Courcelette","J1H 3X4","819 566-2965","Atelier D'Usinage"
"SUPRÊME AUTO ESTHÉTIQUE",1852,"12e Avenue Nord","J1E 4J6","819 569-3131","Reparation Et Entretien De La Carosserie, De La Peinture Et De L'Interieur De Vehicules Automobiles"
"SUR 2 ROUES - ÉCOLE DE MOTO INC.",3770,"Rue du Blanc-Coteau","J1L 3C1","819 565-5353","Tous Les Autres Etablissements De Formation Et D'Education"
"SURETÉ DU QUÉBEC (DISTRICT DE L'ESTRIE)",40,"Rue Don-Bosco Sud","J1L 1W4","819 572-6072","Services De Police Provinciaux"
"SURPLEC (USINE PUISSANCE PORTE 51)",221,"Chemin Godin","J1R 0S6","819 821-3636","Reparation Et Entretien De Machines Et De Materiel  D'Usage Commercial Et Industriel"
"SURPLEC INC.",149,"Chemin Godin","J1R 0S6","819 821-3636","Reparation Et Entretien De Machines Et De Materiel  D'Usage Commercial Et Industriel"
"SURPLUS MILITAIRE QUARTIER MAÎTRE ENR.",1578,"Rue King Ouest","J1J 2C3","819 780-2121","Magasins Divers De Toutes Autres Fournitures De Tout Genre"
"SURSAUT",250,"Rue du Dépôt","J1H 5G1","819 822-8912","Autres Compagnies D'Arts D'Interpretation"
"SUSHI KING",1234,"Rue King Ouest","J1H 1S2","819 791-2438","Etablissements De Restauration A Service Restreint"
"SUSHI SHOP (12E AVENUE N)",2015,"12e Avenue Nord","J1E 4J5","819 347-3232","Etablissements De Restauration A Service Restreint"
"SUSHI SHOP (BOULEVARD DE PORTLAND)",3050,"Boulevard de Portland","J1L 1K1","819 791-8844","Etablissements De Restauration A Service Restreint"
"SUSHI SHOP (RUE KING O)",2655,"Rue King Ouest","J1L 2G4","819 346-5005","Etablissements De Restauration A Service Restreint"
"SUSHI TAXI",1576,"Rue King Ouest","J1J 2C3","819 565-3737","Etablissements De Restauration A Service Restreint"
"SUZANNE DUBÉ ET SYLVIE SEMINARO",800,"13e Avenue Nord","J1E 3L7","819 566-0661","Salons De Beaute"
"SUZANNE GIGUÈRE ACUPUNCTURE",37,"Boulevard Queen-Victoria","J1H 3P4","819 821-4163","Autres Services De Soins Personnels"
"SUZANNE LAPOINTE, DENTUROLOGISTE",416,"Rue de la Châteauguay","J1J 2Z1","819 564-1901","Cabinets De Tous Les Autres Praticiens"
"SUZANNE LEBLANC NOTAIRE",1152,"Rue King Ouest","J1H 1S2 ","819 566-1060","Etudes De Notaires"
"SUZY SHIER (BOULEVARD DE PORTLAND)",3050,"Boulevard de Portland","J1L 1K1","819 565-5276","Magasins De Vetements Pour Femmes"
"SUZY SHIER (RUE BELVÉDÈRE S)",580,"Rue Belvédère Sud","J1H 4B5","819 346-5255","Magasins De Vetements Pour Femmes"
"SWM PEINTURE",215,"Rue Queen","J1M 1K3","819 829-0111","Peinture, Papiers Peints Decoration"
"SYLVAIN BOUCHARD CPA",2100,"Rue King Ouest","J1J 2E8","819 562-6531","Cabinets De Comptables"
"SYLVAIN GOBEIL ÉLECTRICIEN",1435,"Rue King Est","J1G 5H1","819 562-3737","Entrepreneur En Travaux D'Electricite"
"SYLVAIN LAPOINTE, PSYCHOLOGUE",234,"Rue Dufferin","J1H 4M2","819 822-2220","Cabinets De Praticiens En Sante Mentale, Sauf Les Medecins"
"SYM COMMUNICATIONS",1335,"Rue King Ouest","J1J 2B8","819 342-8914","Services De Traduction Et D'Interpretation"
"SYNAGRI INC.",5,"Rue Massawippi","J1M 1L3","819 564-1801","Activites De Soutien Aux Cultures Agricoles"
"SYNDICAT-TRAVAILLEURS/EUSES DES PÂTES ET PAPIER",171,"Route de Windsor","J1C 0E5","819 846-4133","Organisations Syndicales"
"SYNDICAT CANADIEN DE LA FONCTION PUBLIQUE (RUE KING O)",2144,"Rue King Ouest","J1J 2E8","819 565-9626","Organisations Syndicales"
"SYNDICAT CANADIEN DE LA FONCTION PUBLIQUE (RUE WOODWARD)",600,"Rue Woodward","J1G 1W3","819 349-7237","Organisations Syndicales"
"SYNDICAT DE L'ENSEIGNEMENT DE L'ESTRIE",2610,"Rue Galt Ouest","J1K 2X2","819 563-5121","Organisations Syndicales"
"SYNDICAT DES MACHINISTES AIMTA",187,"Rue Laurier","J1H 4Z4","819 822-3103","Organisations Syndicales"
"SYNDICAT DES MÉTALLOS - RÉGION DE L'ESTRIE (LOCAL 7531) ",1600,"rue King Ouest","J1J 2C3","514 382-9592, 1 800 361-5756","Organisations Syndicales"
"SYNDICAT DES PRODUCTEURS FORESTIERS DU SUD DU QUEBEC",4300,"Boulevard Bourque","J1N 2A6","819 346-8905","Organisations Syndicales"
"SYNDICAT DES PROFESSIONNELS EN SOINS DE L'ESTRIE",234,"Rue Dufferin","J1H 4M2",NA,"Organisations Syndicales"
"SYNDICAT DES TRAVAILLEUSES (EURS DES CENTRES DE LA PETITE ENFANCE DE L’ESTRIE - CSN)",180,"Côte de l'Acadie","J1H 2T3","819 563-4647","Organisations Syndicales"
"SYNDICAT DU PERSONNEL DE SOUTIEN DU CÉGEP DE SHERBROOKE",475,"Rue du Cégep","J1E 4K1","819 564-6350","Organisations Syndicales"
"SYNDICAT DU PERSONNEL DE SOUTIEN ET MANUEL (SEM)",895,"Rue Bowen Sud","J1G 2G2","819 822-4901","Organisations Syndicales"
"SYNDICAT DU PERSONNEL ENSEIGNANT DU CÉGEP DE SHERBROOKE",475,"Rue du Cégep","J1E 4K1","819 564-6350","Organisations Syndicales"
"SYNDICATS DU PERSONNEL TECHNIQUE ET ADMINISTRATIF",895,"Rue Bowen Sud","J1G 2G2","819 822-5429","Organisations Syndicales"
"SYSTANA GRAVURES",62,"Chemin Dion","J1R 0R8","819 820-0204","Messageries"
"T.A.F.I & CIE",104,"Rue Wellington Nord","J1H 5B8","819 346-9912","Magasins De Marchandises D'Occasion"
"T.J. GUILD MULTICOM INC.",278,"Rue Queen","J1M 1K6","819 569-4922","Conception De Systemes Informatiques Et Services Connexes"
"T.R.O.V.E.P.E.",187,"Rue Laurier","J1H 4Z4","819 566-2727","Organisme D'Action Sociale"
"T2N POWERCOATING (TEINTES, TONS & NUANCES)",783,"Rue Longpré","J1G 4S8","819 342-3233","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"TABAGIE DE L'EST",789,"Rue King Est","J1G 1C6","819 829-0123","Tous Les Autres Magasins De Detail Divers, Sauf Les Magasins De Materiel Pour La Fabrication De La Biere Et Du Vin"
"TABAGIE KING (1985) ENR.",2239,"Rue King Ouest","J1J 2G2","819 346-2536","Tous Les Autres Magasins De Detail Divers, Sauf Les Magasins De Materiel Pour La Fabrication De La Biere Et Du Vin"
"TABAGIE WELLINGTON 2000 ENR.",154,"Rue Wellington Nord","J1H 5C5","819 569-7769","Depanneurs"
"TABAMAG",3050,"Boulevard de Portland","J1L 1K1","819 348-0123","Depanneurs"
"TABLE D'ACTION CONTRE L'APPAUVRISSEMENT DE L'ESTRIE",187,"Rue Laurier","J1H 4Z4","819 829-3822","Organisme D'Action Sociale"
"TAILLAGE DE HAIES SHERBROOKE (RUE DES SOUS-BOIS)",3232,"Rue des Sous-Bois","J1N 0H7","819 345-9909","Services D'Amenagement Paysager"
"TAILLAGE DE HAIES SHERBROOKE (RUE PANNETON)",965,"Rue Panneton","J1K 2B3","819 345-9909","Services D'Amenagement Paysager"
"TALON MINUTE (COORDONNERIE)",3050,"Boulevard de Portland","J1L 1K1","819 562-2288","Reparation De  Chaussures Et Maroquinerie"
"TANGO DEL ESTE",1183,"Rue Évangeline","J1H 5A1","819 562-7917","Ecole Des Beaux-Arts"
"TAPIS DENIS PRÉFONTAINE",1813,"Rue Dunant","J1H 6L5","819 569-1731","Magasins De Revetement De Sol"
"TARZAN NUTRITION",6943,"Boulevard Bourque","J1N 3K4",NA,"Grossistes-Distributeurs D'Autres Produits Alimentaires Speciaux"
"TASTY MEAL BISTRO & TRAITEUR",6017,"Chemin de Saint-Élie","J1R 0L6","819 791-0330","Cabinets De Physiotherapeutes, D'Ergotherapeutes, D'Orthophonistes Et D'Audiologistes"
"TAVERNE ALEXANDRE ENR.",440,"Rue Alexandre","J1H 4T4","819 562-7907","Debits De Boissons (Alcoolisees)"
"TAVERNE URBAINE",26,"Rue Alexandre","J1H 4S6","819 791-0304","Debits De Boissons (Alcoolisees)"
"TAXIS DE SHERBROOKE",1320,"Rue Belvédère Sud","J1H 4E3","819 562-7752","Services De Taxi"
"TBV AVOCAT MÉDIATEUR ENQUÊTEUR",1335,"Rue King Ouest","J1J 2B8","581 995-6504","Etudes D'Avocats"
"TCHAGA KOMBUSHA",59,"Rue Saint-Joseph","J1R 0T8","819 416-5873","Tous Les Autres Magasins D'Alimentation Specialisee"
"TDA/H ESTRIE",1265,"Rue Belvédère Sud","J1H 4E2","819 565-7131","Organisme D'Action Sociale"
"TDR360",2785,"Chemin Laliberté","J1R 0C5","819 679-9157","Fondations Et Organismes De Charite"
"TECH-SPORT",2655,"Rue King Ouest","J1L 2G4","819 565-8626","Autres Services De Reparation Et D'Entretien  D'Articles Personnels Et Menagers"
"TECH AUTO SERVICE",726,"Rue du Conseil","J1G 1K9","819 348-3222","Reparations Generales De Vehicules Automobiles"
"TECH MOBILITÉ MG, SERVICES ORTHOPÉDIQUES",918,"12e Avenue Nord","J1E 2X2","819 564-9222","Laboratoires Medicaux Et D'Analyses Diagnostiques"
"TECHNO SUB",720,"Rue Longpré","J1G 4L3","1 866 797-3300","Grossistes-Distributeurs De Machines, Materiel Et Fournitures Industriels"
"TECHNOFIX INC. PRODUITS DE COUVRE-PLANCHER",660,"Boulevard Lavigerie","J1G 2X2","819 563-6995","Tous Les Autres Entrepreneurs Specialises"
"TECHNOGRAPHIE SHERBROOKE",825,"Rue de l'Esplanade","J1H 1S7","819 822-1422","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"TECHNOGUIDE MÉTAL",352,"Rue Rodolphe-Racine","J1R 0S7","819 446-3091","FABRICATION D'AUTRES PRODUITS METALLIQUES D'ORNEMENT ET D'ARCHITECTURE"
"TECHNOLOGIES CD-WARE",3724,"Boulevard Industriel","J1L 1N6","819 348-1127","Editeurs De Logiciels"
"TECHNOLOGIES DUAL-ADE INC.",4025,"Rue Letellier","J1L 1Z3","819 829-2100","Toutes Les Autres Activites Diverses De Fabrication"
"TECHNOLOGIES INNOVASYS",404,"Rue Clément","J1R 0A9","819 829-9437","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"TECHNOPUB",933,"Rue du Fédéral","J1H 5A6","819 563-5932","Impression Et Activite Connexe De Soutien"
"TECHNOSCIENCE ESTRIE",195,"Rue Marquette","J1H 1L6","819 565-5062","Organisme D'Action Sociale"
"TECKING AUTOMATISATION",120,"Rue Oliva-Turgeon","J1C 0R3","873 200-9002","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"TECKNI-BOIS",11,"Rue Veronneau","J1C 0K2","819 679-9263","Toutes Les Autres Activites Diverses De Fabrication"
"TECNIC - ÉCOLE DE CONDUITE",5112,"Boulevard Bourque","J1N 2K7","819 564-1434","Tous Les Autres Etablissements De Formation Et D'Education"
"TECNIC MOTO SHERBROOKE",3025,"Rue King Ouest","J1L 2B5","819 564-1434","Tous Les Autres Etablissements De Formation Et D'Education"
"TECNIC SHERBROOKE OUEST",3025,"Rue King Ouest","J1L 2B5","819 564-1434","Tous Les Autres Etablissements De Formation Et D'Education"
"TECOR TRANSPORT",5548,"Boulevard Bourque","J1N 1H4","514 974-8267","Transport Local Par Camion De Marchandises Diverses"
"TEK 2 SPORT",4831,"Rue des Partisans","J1N 0M6","819 829-1118","Toutes Les Autres Activites Diverses De Fabrication"
"TEK SERVICES DE DESSIN INDUSTRIEL",2440,"Rue Galt Ouest","J1K 1L3","819 823-8769","Services De Design Industriel"
"TEKNA",2935,"Boulevard Industriel","J1L 2T9","819 820-2204","Toutes Les Autres Activites Diverses De Fabrication"
"TELECON INC.",3173,"Rue King Est","J1G 5J1","514 209-0532","Fournisseur De Services De Telecommunications Par Fil (Sauf Cablodistribution)"
"TÉLÉGUIDÉ SHERBROOKE",1456,"12e Avenue Nord","J1E 3V5","819 791-3303","Magasins D'Articles De Passe-Temps, De Jouets Et De Jeux"
"TELUS",3050,"Boulevard de Portland","J1L 1K1","819 348-0737","Telecommunications Sans Fil (Sauf Par Satellite)"
"TENNESTRIE",5265,"Rue de Gaspé","J1N 2C8","819 564-8001","Organisations Civiques Et Amicales"
"TENOR MARKETING",731,"Rue Galt Ouest","J1H 1Z1","819 823-0335","Centres D'Appel Telephonique"
"TER-O CONCEPT",485,"Chemin Rivard","J1C 0H9","819 846-3333","Grossistes-Distributeurs D'Autres Fournitures Speciales De Construction"
"TERMINIX",2504,"Rue King Ouest","J1J 2E8","819 569-2847","Services D'Extermination Et De Lutte Antiparasitaire"
"TERRAQUAVIE",6838,"Boulevard Bourque","J1N 1H2","819 846-3880","Grossistes-Distributeurs De Tous Les Autres Machines, Materiel Et Fournitures"
"TERRASSES BELLE-VUE",1330,"Rue Galt Ouest","J1H 2A7","819 822-3083","Etablissements Communautaires De Soins Pour Personnes Agees"
"TERRASSES BOWEN",633,"Rue Galt Est","J1G 2ES","819 562-6330","Etablissements Communautaires De Soins Pour Personnes Agees"
"TETRA TECH",2355,"Rue King Ouest","J1J 2G6","514 257-0707","Services De Genie"
"TEXEL MATÉRIAUX TECHNIQUES INC.",1145,"Rue Bélanger","J1K 2B1","1 800-463-8929","Toutes Les Autres Activites Diverses De Fabrication"
"TGC INC.",531,"Rue Pépin","J1L 1X3","819 566-8884","Construction De Routes, De Rues Et De Ponts"
"TGC INC. (RUE DES SABLES)",1304,"Rue des Sables","J1J 1B4","819 566-8884","Construction De Routes, De Rues Et De Ponts"
"TGRAPHISME",140,"Rue Darche","J1H 6K7","819 919-0747","Services De Design Graphique"
"THAI EXPRESS (12E AVENUE N)",2015,"12e Avenue Nord","J1E 4J5","819 822-1881","Etablissements De Restauration A Service Restreint"
"THAÏ EXPRESS (BOULEVARD DE PORTLAND)",3050,"Boulevard de Portland","J1L 1K1","819 563-1886","Etablissements De Restauration A Service Restreint"
"THAÏZONE (BOUL.  BOURQUE)",4857,"Boulevard Bourque","J1N 1E8","819 829-0606","Etablissements De Restauration A Service Restreint"
"THAÏZONE (RUE KING O)",1780,"Rue King Ouest","J1J 2C9","819 791-8424","Etablissements De Restauration A Service Restreint"
"THE COLOR GROUP",3995,"Boulevard Industriel","J1L 2S7","819 821-2676","Toutes Les Autres Activites Diverses De Fabrication"
"THE GAITER GRILL",2600,"Rue College","J1M 1Z7","819 822-9600 poste 2833","Restaurants A Service Complet"
"THE RECORD",6,"Rue Mallory","J1M 2E2","819 569-9525","Editeurs De Journaux"
"THE SHERBROOKE HUSSARDS - MANÈGE MILITAIRE WILLIAM",315,"Rue William","J1H 4E8","819 564-4252","Services De Defense"
"THEATRE CENTENNIAL",2600,"Rue College","J1M 1Z7","819 822-9692","Exploitants De Theatres Et Autres Diffuseurs D'Evenementsartistiques Avec Installations"
"THÉATRE DES PETITES LANTERNES",250,"Rue du Dépôt","J1H 5G1","819 346-4040","Compagnies De Theatre, Sauf Les Compagnies De Comedie Musicale"
"THÉATRE DU DOUBLE SIGNE",250,"Rue du Dépôt","J1H 5G1","819 565-5536","Compagnies De Theatre, Sauf Les Compagnies De Comedie Musicale"
"THÉÂTRE GRANADA",51,"Rue Wellington Nord","J1H 5A9","819 565-5656","Exploitants De Theatres Et Autres Diffuseurs D'Evenementsartistiques Avec Installations"
"THÉRAPIE BEAUTÉ",135,"Rue Queen","J1M 1J7","819 933-4222","Salons De Coiffure Mixtes"
"THERRIEN COUTURE AVOCATS",1910,"Rue King Ouest","J1J 2E2","819 791-3326","Etudes D'Avocats"
"THIBAULT CHEVROLET CADILLAC BUICK GMC",3839,"Rue King Ouest","J1L 1W7","819 563-7878","Marchands D'Automobiles Neuves"
"THIERRY PINET TRAVAILLEUR SOCIAL",1576,"Rue King Ouest","J1J 2C3","819 679-1501","Cabinets De Tous Les Autres Praticiens"
"TIGRE GÉANT (RUE COMTOIS)",4005,"Rue Comtois","J1L 1R7","819 820-8197","Tigre Géant"
"TIGRE GÉANT (RUE DU CONSEIL)",810,"Rue du Conseil","J1G 1L3","819 563-6025","Tigre Géant"
"TIKTAKTO",226,"10e Avenue Sud","J1G 2R5","819 791-1978","Services De Garderie"
"TIM HORTONS (12E AVENUE N)",2015,"12e Avenue Nord","J1E 4J5","819 346-3673","Etablissements De Restauration A Service Restreint"
"TIM HORTONS (1680 RUE KING E)",1680,"Rue King Est","J1G 5G6","819 566-6777","Etablissements De Restauration A Service Restreint"
"TIM HORTONS (1785 RUE KING O)",1785,"Rue King Ouest","J1J 2E1","819 823-6565","Etablissements De Restauration A Service Restreint"
"TIM HORTONS (3050 BOUL. DE PORTLAND)",3050,"Boulevard de Portland","J1L 1K1","819 933-6272","Etablissements De Restauration A Service Restreint"
"TIM HORTONS (3135 BOUL. DE PORTLAND)",3135,"Boulevard de Portland","J1L 2P1","819 820-0000","Etablissements De Restauration A Service Restreint"
"TIM HORTONS (3260 RUE KING O)",3260,"Rue King Ouest","J1L 1C9","819 823-8757","Etablissements De Restauration A Service Restreint"
"TIM HORTONS (413 RUE BELVÉDÈRE S)",413,"Rue Belvédère Sud","J1H 4B7","819 933-4049","Etablissements De Restauration A Service Restreint"
"TIM HORTONS (BOUL. BOURQUE)",4470,"Boulevard Bourque","J1N 1S3","819 823-5550","Etablissements De Restauration A Service Restreint"
"TIM HORTONS (BOUL. INDUSTRIEL)",5035,"Boulevard Industriel","J1R 0P4","819 563-2111","Etablissements De Restauration A Service Restreint"
"TIM HORTONS (CH. DE SAINT-ÉLIE)",5983,"Chemin de Saint-Élie","J1R 0L1","819 346-3619","Etablissements De Restauration A Service Restreint"
"TIM HORTONS (PLAZA DE L'OUEST)",4857,"Boulevard Bourque","J1N 1E8","819 564-4671","Etablissements De Restauration A Service Restreint"
"TIM HORTONS (RUE COLLEGE)",3825,"Rue College","J1M 0B8","819 791-3019","Etablissements De Restauration A Service Restreint"
"TIM HORTONS (RUE GALT O)",3550,"Rue Galt Ouest","J1H 0A5","819 572-3740","Etablissements De Restauration A Service Restreint"
"TIM HORTONS (RUE KING E)",339,"Rue King Est","J1G 1B3","819 569-3343","Etablissements De Restauration A Service Restreint"
"TIM HORTONS (RUE LAVAL)",435,"Rue Laval","J1C 0R1","819 846-3535","Etablissements De Restauration A Service Restreint"
"TIM HORTONS (RUE QUEEN)",89,"Rue Queen","J1M 1J5","819 823-7007","Etablissements De Restauration A Service Restreint"
"TIM HORTONS (SIÈGE SOCIAL)",31,"Rue King Ouest","J1H 1N5",NA,"Sieges Sociaux"
"TIM HORTONS (UNIVERSITE BISHOP'S)",2600,"Rue College","J1M OC8",NA,"Etablissements De Restauration A Service Restreint"
"TIMES GRAND HOTEL",1,"Rue Belvédère Sud","J1H 0G8","819 575-2222","Hotels"
"TINAVIE",353,"Rue King Est","J1G 1B3","819 822-5787, 819 674-4692","Toutes Les Autres Activites Diverses De Fabrication"
"TIROIRS, TROUVAILLES ET FANTAISIES",930,"13e Avenue Nord","J1E 3E5","819 823-2744","Magasins De Marchandises D'Occasion"
"TITE FRETTE",1230,"Rue King Est","J1G 1E4","819 791-5002","Tous Les Autres Magasins D'Alimentation Specialisee"
"TLD CANADA",800,"Rue Cabana","J1K 3C3","819 566-8118","Toutes Les Autres Activites Diverses De Fabrication"
"TM TRANSPORT INC.",4515,"Rue Cayer","J1L 2J9","819 346-5858","Transport Local Par Camion De Marchandises Diverses"
"TOGES GRAND MAITRE",522,"Rue King Est","J1G 1B5","819 564-8414","Magasins De Tous Les Autres Vetements"
"TOILETTAGE (NOM TEMPORAIRE)",930,"Rue Bowen Sud","J1G 2G4","819 821-9112","Soins Pour Animaux De Maison, Sauf Les Services Veterinaires"
"TOILETTAGE BOUCLE D'OR",1930,"Place des Tilleuls","J1G 4W7","819 822-0192","Soins Pour Animaux De Maison, Sauf Les Services Veterinaires"
"TOILETTAGE LA BOÎTE À MUSEAU",565,"Rue King Est","J1G 1B6","819 569-3162","Soins Pour Animaux De Maison, Sauf Les Services Veterinaires"
"TOILETTAGE POIL DE PLUCHE",1238,"Rue des Paysans","J1E 3J5","819 564-6464","Soins Pour Animaux De Maison, Sauf Les Services Veterinaires"
"TOILETTAGE POUR CHIENS ET CHATS",1110,"Rue Després","J1E 3N4","819 679-5157","Soins Pour Animaux De Maison, Sauf Les Services Veterinaires"
"TOILETTAGE WOOF WOOF",1331,"Chemin Rhéaume","J1N 0G9","819 769-0811","Soins Pour Animaux De Maison, Sauf Les Services Veterinaires"
"TOITURES INDUSTRIE PRO",6618,"Boulevard Bourque","J1N  1H2","819 933-1343","Entrepreneurs En Travaux De Toitures"
"TOMMY CHAGNON, TRAVAILLEUR SOCIAL",183,"Rue Frontenac","J1H 1K1","819 571-7126","Cabinets De Tous Les Autres Praticiens"
"TONDAGE DE L'ESTRIE",292,"Rue Allard","J1G 3Y9","819 821-9200","Services D'Amenagement Paysager"
"TONY PRO-ONGLE",4732,"Boulevard Bourque","J1N 2A8","819 943-6416","Tous Les Autres Services Personnels"
"TOP LIFT ENTREPRISES",6895,"Boulevard Bourque","J1N 3K4","819 612-5438","Location Et Location A Bail D'Autres Machines Et Materiel D'Usage Commercial Et Industriel"
"TORO ÉQUIPEMENTS INC.",1175,"Rue Thomas-Tremblay","J1G 5K8","819 238-7887","Grossistes-Distributeurs De Tous Les Autres Machines, Materiel Et Fournitures"
"TOURBE PR",320,"Rue Léger","J1L 1Y5","819 821-1645","Entrepreneurs En Preparation De Terrains"
"TOURISME CANTONS-DE-L'EST",20,"Rue Don-Bosco Sud","J1L 1W4","1 800-355-5755","Autres Services Des Administrations Publiques Locales, Municipales Et Regionales"
"TOURNESOLS & TABLIERS",364,"Rue Alexandre","J1H 4T1","819 349-5381","Traiteurs"
"TOYOTA VÉHICULES D'OCCASION",2025,"Rue King Ouest","J1J 2E7","819 563-6622","Marchands D'Automobiles D'Occasion"
"TOYS'R'US",3050,"Boulevard de Portland","J1L 1K1","819 820-8697","Magasins D'Articles De Passe-Temps, De Jouets Et De Jeux"
"TPR SHERBROOKE",3964,"Boulevard Industriel","J1L 2T8","819 566-7383","Grossistes-Distributeurs De Machines, Materiel Et Fournitures Industriels"
"TRACTION PIÈCES DE VÉHICULES LOURDS",4204,"Rue Bertrand-Fabi","J1N 3Y2","819 566-7322","Tous Les Autres Magasins De Detail Divers, Sauf Les Magasins De Materiel Pour La Fabrication De La Biere Et Du Vin"
"TRADITION GOURMET",930,"13e Avenue Nord","J1E 3E5","819 987-9997","Magasins Divers De Toutes Autres Fournitures De Tout Genre"
"TRADUCTEUR JEAN-GUY ROBERT ENR.",574,"Rue Newton","J1J 3L1","819 454-7638","Services De Traduction Et D'Interpretation"
"TRAITEUR RÉCEPTION 108",1715,"Rue Dunant","J1H 4A3","819 562-2223","Traiteurs"
"TRAITEUR TRI CORVI",303,"Rue King Ouest","J1H 1R2","450 271-1929","Traiteurs"
"TRANS ESTRIE",225,"Rue Dufferin","J1H 1K1","873 552-1289","Organisme D'Action Sociale"
"TRANSDEV",60,"Rue King Ouest","J1G 2P3","819 562-8244","Transport Interurbain Et Rural Par Autocar"
"TRANSDEV LIMOCAR",1075,"Rue Talbot","J1G 2P3","819 829-2299","Transport Interurbain Et Rural Par Autocar"
"TRANSFER TECH SHERBROOKE",35,"Rue Radisson","J1L 1E2","819 821-7961","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"TRANSMEDA",1400,"12e Avenue Nord","J1E 3V4","450 281-2180","Autres Activites De Soutien Au Transport Routier"
"TRANSMISSION DEAUVILLE",6952,"Boulevard Bourque","J1N 1H2","819-864-7251","Reparations Generales De Vehicules Automobiles"
"TRANSMISSION GAUTHIER INC.",808,"Rue Terrill","J1E 1M1","819 566-5828","Reparations Generales De Vehicules Automobiles"
"TRANSPORT & REMORQUAGE LOURD IMPACT",1908,"Rue Chevalier","J1K 1E2","819 562-2224","Remorquage De Vehicules"
"TRANSPORT ARLIE C. FEARON INC.",1486,"Rue Wellington Sud","J1M 1K9","819 562-6996","Transport Local Par Camion De Marchandises Diverses"
"TRANSPORT DE LAIT RÉAL THÉBERGE",868,"Boulevard Queen-Victoria","J1J 3T7","819 569-8885","Transport Local Par Camion De Marchandises Diverses"
"TRANSPORT ET CAMIONNAGE HARRY INC",1010,"Rue du Soleil-Levant","J1J 4N8","819 566-2664","Transport Local Par Camion De Marchandises Diverses"
"TRANSPORT ET CAMIONNAGE HARRY TCH ",3065,"Rue Queen-Victoria","J1J 4N8","819 566-2664","Transport Local Par Camion De Marchandises Diverses"
"TRANSPORT GÉO O. DUBOIS (ADMIN)",5820,"Boulevard Bourque","J1N 1H3","819 864-6864","Transport Local Par Camion De Marchandises Diverses"
"TRANSPORT GÉO O. DUBOIS (ENTREPÔT A)",5820,"Boulevard Bourque","J1N 1H3","819 864-6864","Transport Local Par Camion De Marchandises Diverses"
"TRANSPORT GÉO O. DUBOIS (ENTREPÔT B)",5820,"Boulevard Bourque","J1N 1H3","819 864-6864","Transport Local Par Camion De Marchandises Diverses"
"TRANSPORT JGT",3525,"Rue King Est","J1G 5J4","819 452-3378, 819 239-6727","Transport Par Camion De Marchandises Diverses Sur De Longues Distances"
"TRANSPORT RICHARD NADEAU",1300,"Rue Galt Est","J1G 5C1","819 820-4374","Transport Local Par Camion De Marchandises Diverses"
"TRANSPORT ROBERT",180,"Rue Léger","J1L 1M1","819 822-1008","Transport Local Par Camion De Marchandises Diverses"
"TRANSPORT S. ROUILLARD INC.",1050,"Rue Deschaillons","J1G 1X7","819 835-5701","Transport Local Par Camion De Marchandises Diverses"
"TRANSPORTEURS EN VRAC SHERBROOKE INC.",2175,"Chemin Alfred-Champigny","J1H 5H2","819 563-4767","Transport Local Par Camion De Vrac Solide"
"TRANSVISION RÉSEAU",175,"Rue Queen","J1M 1K1","819 563-1001","Conception De Systemes Informatiques Et Services Connexes"
"TRAUMAS - ESTRIE",1070,"Rue McManamy","J1H 2N8","819 346-8631","Cabinets De Praticiens En Sante Mentale, Sauf Les Medecins"
"TREMPLIN 16-30 DE SHERBROOKE",95,"Rue Wellington Sud","J1H 5C8","819 565-4141","Organisme D'Action Sociale"
"TRÉSOR DE FÊTES",4336,"Rue Bertrand-Fabi","J1N 1Y7","873 200-4848","Tous Les Autres Services De Divertissement Et De Loisirs"
"TRÉSORS D'ALEXANDRINE",242,"Rue Alexandre","J1H 4S7","819 565-5338","Magasins De Marchandises D'Occasion"
"TRESSES AFRICAINES",1273,"Rue King Ouest","J1J 2B7","819 823-8881","Salons De Beaute"
"TRÉVI & NORÉA FOYERS SHERBROOKE (RUE GALT E)",1597,"Rue Galt Est","J1G 3H4","819 566-8558","Tous Les Autres Magasins De Detail Divers, Sauf Les Magasins De Materiel Pour La Fabrication De La Biere Et Du Vin"
"TRÉVI & NORÉA FOYERS SHERBROOKE (RUE LONGPRE)",745,"Rue Longpré","J1G 4S8","819 566-8558","Entreposage General"
"TRI-KNIT-T",168,"Rue Queen","J1M 1J9","819 993-8429","Magasins D'Articles De Couture Et De Travaux D'Aiguille Et De Tissus A La Piece"
