Business Name,Products or Services,Unit,House Number,Road,Postal Code,Phone,Town Centre,Longitude,Latitude
Family Chiropractic Clinic,Massage Therapy (RMT),106,6840,King George Blvd,V3W4Z9,,NTC,-122.8445451,49.12658504
Canada Prime Marketing Corp,Sales/Marketing Office,101,7337,137 St,V3W1A4,,NTC,-122.8430688,49.13602195
Canada Astro Immigration Solutions,Immigration Consultant,119,6350,120 St,V3X3K1,,NTC,-122.8900634,49.11815677
S R S Travel Tours Ltd,Travel Agency,106,10252,City Pky,V3T4C2,,SCC,-122.8473918,49.18909542
Movo Films Inc,Warehouse - E-Commerce,210,19365,22 Ave,V3Z3B6,,SSTC,-122.6876114,49.04239066
Popeyes Louisiana Kitchen,Restaurant - No Alcohol,101,14380,64 Ave,V3W1Z1,,NTC,-122.8237849,49.11891548
Magic Touch Auto Detailing Ltd,Auto Detailing,,16074,Fraser Hwy,V4N0G3,,FTC,-122.7769494,49.15644244
Pure Cure Pharmacy,Retail: Pharmacy,100,8820,120 St,V3V0C9,,WTC,-122.8900484,49.16350832
Pure Cure Medical Clinic,Medical Clinic,100,8820,120 St,V3W0C9,,WTC,-122.8900484,49.16350832
Skye Marketing Ltd,Sales/Marketing Office,104,9450,120 St,V3V4B9,,WTC,-122.8890045,49.17459759
Bikini Village,Retail Merchant - 6 to 9 Employees,2055,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192585
Independent Supply Company,Wholesale,104/,19505,56 Ave,V3S6K3,,CTC,-122.6821628,49.10577311
1071662 BC Ltd,Contractor - General,202,3088,Croydon Dr,V3Z0T1,,SSTC,-122.7991272,49.05783159
Jacuzzi Surrey & Backyard Living,Retail: Patio Furniture / Outdoor Living,5,19335,No 10 (Langley Bypass) Hwy,V3S6K1,,CTC,-122.6871161,49.10661607
Mixteca Importers & Distributors of Latin Foods Ltd,Wholesale,4,5508,Production Blvd,V3S8P5,,CTC,-122.6815317,49.10256838
Sephora Beauty Canada Inc,"Retail Merhant - Cosmetic/Perfume,Personal Services. Makeup and skin care. ",2040,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192586
Power Frost AC & Heating Ltd,Contractor: Plumbing  / Heating ,304,13140,80 Ave,V3W3B2,,NTC,-122.8582451,49.14797572
Time International Academy Inc,Education Service,203,1990,152 St,V4A4N6,,SSTC,-122.8005191,49.03807582
Sincyre Brows,Microblading,220,5660,176A St,V3S4H1,,CTC,-122.733533,49.10520361
Aurora Roofing LM Ltd,Contractor - Roofing,07-Jun,19427,92 Ave,V4N4G6,,GTC,-122.6842461,49.17030147
Bigman's Kitchen,Caterer - Meal Prep/Food,104,12888,80 Ave,V3W3A8,,NTC,-122.8660483,49.14799486
Bacayon's Chibugan,Restaurant - No Alcohol,105,13979,104 Ave,V3T1X1,,SCC,-122.8346494,49.19166232
Border Buddy Technologies Inc,Customs Broker,105,19162,22 Ave,V3S3S6,,SSTC,-122.6927855,49.04185082
Number 18 Productions Ltd,"Miscellaneous,Film Production ",,19005,94 Ave,V4N3S4,,GTC,-122.6956034,49.17355311
CS Naturalization Advisors Ltd (The) ,Immigration Consultant ,207,8078,128 St,V3W4E9,,NTC,-122.8676637,49.14934588
Charter Immigration Solutions Inc,Immigration Consulting,221,8028,128 St,V3W4E9,,NTC,-122.8676263,49.14852263
Rexall Direct,Warehouse - Pharmacy,1003,7495,132 St,V3W1J8,,NTC,-122.8569749,49.13903649
Freshii #1031,Restaurant - No Alcohol,104,10305,City Pky,V3T0K2,,SCC,-122.8478822,49.19055603
German Auto Sports 72 Ltd,Automotive Repair Service,,13431,72 Ave,V3W2N7,,NTC,-122.8502412,49.13377576
Forbes Bros Ltd,Contractor - Electrical/Utility/Infrastructure/Civil,,10436,173 St,V4N5H3,,GTC,-122.7428122,49.19240547
Fibercomm Communications Ltd,Contractor - Miscellaneous,A,10905,Larson Rd,V4A2H9,,WTC,-122.8794619,49.20065697
Namdhari's Punjabi Spice Restaurant ,Restaurant - No Alcohol,101,9172,120 St,V3V4B5,,WTC,-122.8899906,49.16998256
Modern Muskaan Fashions Ltd ,Retail Merchant - Womens & Children Clothing,116,8166,128 St,V3W1R1,,NTC,-122.8669947,49.15126342
Target Stone Slinger Services Ltd,Trucking & Cartage,219,7928,128 St,V3W4E8,,NTC,-122.8676651,49.14675376
Best Deal Travel Inc,Travel Agency,120,13740,72A Ave,V3W1N5,,NTC,-122.841783,49.13464813
Brar Kitchen Cabinets & Installation Ltd,"Cabinet making,Cabinet making & Installation",9,8236,128 St,V3W3V9,,NTC,-122.8673778,49.15211306
Morgan Play Center,Kids Indoor Playground,110,15850,26 Ave,V3Z2N6,,SSTC,-122.7830508,49.04901067
Excellent Kungfu Academy,"Recreational Facility,Tutoring",105A,15272,Croydon Dr,V3S0Z5,,SSTC,-122.8001423,49.05977516
B B K  Health Inc,Warehouse and distribution of products from Canada to China / skin care and Vitamins ,105,7533,135 St,V3W0N6,,NTC,-122.8486103,49.13969941
Rteen Auto,Car Dealership ,,13495,King George Blvd,V3T2T8,,SCC,-122.8480891,49.20103082
MV Trux Inc,Administration Office,212,15299,68 Ave,V3S2C1,,NTC,-122.7992341,49.12656472
Solid State Community Society ,Administration Office,,10326,Whalley Blvd,V3T4H4,,SCC,-122.8416871,49.19036667
1172693 BC Ltd,Wholesale - Food items,55,13370,78 Ave,V3W0H6,,NTC,-122.8523963,49.14438172
Design Room The,Hair Salon,,5735,176 St,V3S4C9,,CTC,-122.7351974,49.10657587
Orgaworld Canada Ltd,Recycling Plant - Organics Recycling/Composting/Anaerobic Digestion,,9752,192 St,V4N4C7,,GTC,-122.6899948,49.17967035
I C S Courier,Warehouse Courier Operations,,11796,103A Ave,V3V3V7,,WTC,-122.8964265,49.19199487
Quesada #188,Restaurant,105,5577,153A St,V3S5K7,,NTC,-122.7972918,49.10347474
Riser Technologies Inc,"IT Services and camera installations  -OFFICE USE ONLY,Contractor - Security Camera Installation,Miscellaneous",,9328,120 St,V3V4B8,,WTC,-122.8899252,49.17270958
Tim Hortons,Restaurant - Coffee Shop,101,12941,115 Ave,V3R0E2,,WTC,-122.8624088,49.2114794
Tanya Gupta Notary Public,Notary Public,104,8077,King George Blvd,V3W5B4,,NTC,-122.8460133,49.1494583
Super Metal Products Ltd,Wholesale,109,18822,24 Ave,V3Z9V2,,SSTC,-122.7014684,49.04536138
Nationwide Life Insurance Group Ltd,Insurance Agent,403F,7337,137 St,V3W1A4,,WTC,-122.8430688,49.13602195
Coast English Testing Inc,Education Service Assessments,202,7380,King George Blvd,V3W5A5,,NTC,-122.8452107,49.13673593
Steve's Poke Bar,Poke Bar / Food Court ,2684,10153,King George Blvd,V3T5H9,,SCC,-122.8474019,49.18559446
Shinja,Lottery Booth,,7450,120 St,V3W3M9,,NTC,-122.890021,49.13826544
A R Auto Refinishing Ltd,Auto Body Shop,107,8655,130 St,V3W1V9,,NTC,-122.8627639,49.16014047
Pacific Lumber Remanufacturing Inc,Manufacturer/Machine Shop,,11598,134 St,V3R0H5,,WTC,-122.8497337,49.21293129
Family Night Pizza Ltd,Pizza Restaurant,103,14377,64 Ave,V3W5R3,,NTC,-122.8237671,49.11928035
"Crossfit South Surrey, Personal Training and Rehab",Recreational Facility,111,15292,Croydon Dr,V3Z0Z5,,SSTC,-122.7986726,49.05993465
Canpar Express,Courier Service,,11796,103A Ave,V3V3V7,,WTC,-122.8964265,49.19199487
Bobby Hair Studio Inc,Hair Salon/Barber,120,5738,175 St,V3S4T7,,CTC,-122.7378282,49.10645658
King Cone Wafflecone Mfg Ltd,Warehouse,2,12331,84 Ave,V3W3G8,,NTC,-122.8811565,49.15592731
Synergy Rehabilitation,Physiotherapy ,106,15325,No 10 (56 Ave) Hwy,V3S0X9,,NTC,-122.798429,49.10524442
Chey Lounge Inc,Hair Salon/Barber,104,15292,Croydon Dr,V3S0Z5,,SSTC,-122.7986726,49.05993465
Nina Luu RMT,Registered Massage Therapist,202,6820,188 St,V4N3G6,,CTC,-122.701433,49.1266045
Virtuous Immigration Consulting Inc,Immigration and Citizenship Services ,307,8128,128 St,V3W1R1,,NTC,-122.8664306,49.14985463
Bauhinia Wellness,"Holistic Health Care, Esthetics",101A,8585,160 St,V4N0Y3,,FTC,-122.7791768,49.15870391
Maritime-Ontario Freight Lines Limited,Trucking & Cartage,,10288,Grace Rd,V3V3V6,,WTC,-122.8937998,49.18982712
M K Immigration Inc,Immigration Consultant,222,8028,128 St,V3W4E9,,NTC,-122.8676263,49.14852263
Curry Lounge,Restaurant,130,16030,24 Ave,V3Z0R5,,SSTC,-122.7779787,49.04521951
Get Cell Repairz,Cell phone repair,106,10252,City Pky,V3T4C2,,SCC,-122.8473918,49.18909542
Surrey Auto Sales Ltd,Automobile Dealer/Rebuilder,,12701,King George Blvd,V3V3K7,,WTC,-122.8700078,49.20648833
Good Friend HR Company Ltd,Employment Agency/Recruiting Service,201,7337,137 St,V3W1A4,,NTC,-122.8430688,49.13602195
J V H  Homes Ltd,Contractor: Tiles / Construction ,,7742,134 St,V3V6Y5,,NTC,-122.8509621,49.14342338
Torrid,Retail Clothing ,2165,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192586
Thrive Training Co,"Recreational Facility,Personal Training",103,5290,185A St,V3S7A4,,CTC,-122.7084873,49.09852566
Surrey Sleep Clinic,Professional Practitioner-Medical,306,9639,137A St,V3T0M1,,SCC,-122.8423184,49.17799896
Pizza Hut #31152,Restaurant - No Alcohol,130,12477,88 Ave,V3W1P8,,WTC,-122.8770559,49.16395195
Yuri Khullar RMT,Registered Massage Therapy,220,12565,88 Ave,V3W3J7,,WTC,-122.8747815,49.16401631
Thuy Hair Design,Hair Dressing - 1 Chair Rental,110,10330,152 St,V3R4G8,,GTC,-122.8000928,49.19027016
Power Apparel Limited,Manufacturer/Machine Shop,209A,19232,Enterprise Way,V3S6J9,,CTC,-122.6906012,49.10762933
Crown Royal Security Services Ltd,Security Service,266,8128,128 St,V3W1R1,,NTC,-122.8666012,49.14980485
Justin Siglos,Massage Therapy (RMT),143,12080,Nordel Way,V3W1P6,,NTC,-122.8886041,49.16109806
Amalgamated Transport Systems Ltd,Trucking office / Dispatch,349,8140,128 St,V3W1R1,,NTC,-122.8673223,49.15063342
Clean Tech Pro Wash,Janitorial Service,4,19102,27 Ave,V3S5T1,,SSTC,-122.694266,49.05087252
Holliswealth,Financial Planning/Consultant,203,3237,King George Blvd,V4P1B7,,SSTC,-122.8127483,49.06061188
Yi Fang Taiwan Fruit Tea ,Bubble Tea  ,109,10224,152 St,V3R6N7,,GTC,-122.8005432,49.18792266
Komandor Vancouver,Manufacturer/Machine Shop,115,19358,96 Ave,V4N4C1,,GTC,-122.686029,49.17678045
Quantum Powder Coating Inc,Manufacturer/Machine Shop,2,7505,134A St,V3W7B3,,NTC,-122.8504695,49.13902582
Holy Taco,Restaurant - Fast Food,101A,15951,Fraser Hwy,V3S2W7,,FTC,-122.7802487,49.15815597
Big Star Sandwich Co,Restaurant - No Alcohol,103,13402,104 Ave,V3T1V6,,SCC,-122.8507781,49.19148919
Capital Contracting,"Inter-Municipal Business License FV,Inter-Municipal Business License Metro",160,19358,96 Ave,V4N4C1,,GTC,-122.686029,49.17678045
Solaris Leasing Ltd,Administration Office,119,6350,120 St,V3X3K1,,NTC,-122.8900634,49.11815677
Michelle Waters Counselling,Counselling Service,203,2828,152 St,V3S9L7,,SSTC,-122.8009054,49.05326246
Hollywood Boutique,Retail Merchant - 10 to 19 Employees,2018,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192586
Pizza Hut,Restaurant - No Alcohol,103,15133,No 10 (56 Ave) Hwy,V3S9A5,,NTC,-122.8057861,49.10516994
Vici Lash Studio ,Esthetician - Lash Extensions,104,15345,No 10 (56 Ave) Hwy,V3S0X9,,NTC,-122.7976834,49.10525524
LED Smart Inc,Manufacturer of LED lights,,18905,32 Ave,V3Z1A7,,SSTC,-122.6999889,49.06039521
Garcha Bros Meat Shop and Poultry,Retail Merchant - 0 to 2 Employees,103,15428,Fraser Hwy,V3R3P5,,FTC,-122.7947142,49.16326568
Jarf Logistics Ltd,General Freight Long Haul  Trucking,200,7404,King George Blvd,V3W1N6,,NTC,-122.8452635,49.13762772
180 Kitchens Inc,Kitchen & Bath Cabinet Renovations,110,19162,22 Ave,V3Z2S6,,SSTC,-122.6927855,49.04185082
Emec Design Group Ltd,Consultant,242,8138,128 St,V3W1R1,,NTC,-122.8670001,49.15020261
West Coast Medical Imaging Inc,Professional Practitioner-Medical,104,8318,120 St,V3W3N4,,NTC,-122.8900471,49.154373
Mistry Consulting Services Inc,Financial Planning/Consultant,203,3237,King George Blvd,V4P1B7,,SSTC,-122.8127483,49.06061188
Sunrise Immigration,Immigration Consultant,203,8120,128 St,V3W1R1,,NTC,-122.8660477,49.14939795
Mikes Warehouse Supplies Ltd,Wholesale,B115,13761,116 Ave,V3R0T2,,WTC,-122.840924,49.2137351
Panda Clinic,Massage Therapy (RMT),10,15300,105 Ave,V6R6A7,,GTC,-122.7977179,49.19317507
Bharat Travel ltd ,Travel Agency,307,8128,128 St,V2W1R1,,NTC,-122.8664306,49.14985463
Allteck Limited Partnership,"Contractor - Transmission, Distribution, Underground Cable, Substations, Energized Services, & Emerg",,18750,96 Ave,V4N3P9,,GTC,-122.703398,49.17443936
Kiseki,Retail Merchant - 0 to 2 Employees,1079,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192586
Bros Auto Body,Auto Body/Painting,6,7823,132 St,V3W4M8,,NTC,-122.8580204,49.14433652
CANACCTV Supply,Contractor - Alarm Installation,,8591,132 St,V3W4N8,,NTC,-122.8575871,49.15838801
Carestream Medical ULC,Wholesale,103,19099,25 Ave,V3Z2V2,,SSTC,-122.694427,49.04765656
Canadian College,Business school / diplomas / general arts / english,200+,13402,104 Ave,V3T1V6,,SCC,-122.8507781,49.19148919
Payline By ICE Ltd,Currency Exchange,1283,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192586
Ashli Grey Hairstylist,Hair Salon/Barber,120,5738,175 St,V3S4T7,,CTC,-122.7378282,49.10645658
Racksteel Inc,"Pallet Rack Equipment Installation,Wholesale",121,18860,24 Ave,V3Z0Y8,,SSTC,-122.7007207,49.0453554
Amrita Grewal Notary Inc,Professional Practitioner-Notary,205,14360,64 Ave,V3W1Z1,,NTC,-122.8242469,49.11849968
Rocky Mountain Flatbread Company,Food Primary-Class B Dining Lounge,105/,5570,152 St,V3S5J9,,NTC,-122.8006776,49.10346553
Far East Consultants (BC) Inc,Immigration Consultant,202,12899,80 Ave,V3W0E6,,NTC,-122.8644706,49.14880591
Legal Services Society ,Legal Aid ,308,7337,137 St,V3W1A4,,NTC,-122.8430688,49.13602195
Back on Track Recovery - Unit 1,Charitable Society/Organization - Alcohol & Drug Recovery Home,1,9889,140 St,V3T4M4,,SCC,-122.8345205,49.18232965
Back on Track Recovery - Unit 2,Charitable Society/Organization - Alcohol & Drug Recovery Home,2,9889,140 St,V3T4M4,,SCC,-122.8345205,49.18232965
Steal the Deal Liquidators Ltd,Wholesale,102/,17696,65A Ave,V3S5N4,,CTC,-122.7324494,49.12100861
Anam Wireless Inc,Retail Merchant - 3 to 5 Employees,211,13588,88 Ave,V3W3K8,,NTC,-122.8468646,49.16252802
Meghjiani Trading Inc,Retail Merchant - 3 to 5 Employees,210,13588,88 Ave,V3W3K8,,NTC,-122.8468646,49.16252802
Vanity Laser Studio,Laser Hair Removal / Microblading,210,5577,153A St,V3S5K7,,NTC,-122.7972918,49.10347474
Excalibur Agency Ltd,Warehouse,101,19099,25 Ave,V3Z3V2,,SSTC,-122.694427,49.04765656
Star Marketing Ltd,Warehouse,,3289,190 St,V3Z1A7,,SSTC,-122.6974118,49.06208548
Bicycle Barber The,Hair Salon/Barber,101A,5772,176 St,V3S4C8,,CTC,-122.7347648,49.10729148
G R L Freightways Ltd,Trucks parked at 8620 128 Street,102,7337,137 St,V3W1A4,,NTC,-122.8430688,49.13602195
Safer Schools Together,Consultant,204,3237,King George Blvd,V4P1B7,,SSTC,-122.8127483,49.06061188
Chic Chic Chicken Ltd,Restaurant - No Alcohol,,13647,72 Ave,V3W2P2,,NTC,-122.8442029,49.13373657
Nations First Immigration Ltd,Immigration Office ,201,10663,King George Blvd,V3T2X6,,SCC,-122.845567,49.19643274
Sherwin Williams Company #3494 The,Retail Merchant - 3 to 5 Employees,117,7093,King George Blvd,V3W5A2,,NTC,-122.8459898,49.13100319
MysTEAK Holdings Inc,Wholesale,105,5290,185A St,V3S7A4,,CTC,-122.7084873,49.09852566
A K Wireless & Computer Services Ltd,Warehouse / Cell Phone / Computers & Accessories ,105,8383,128 St,V3W4G1,,NTC,-122.8683298,49.15512572
Friends Communication,Retail Merchant - 0 to 2 Employees,124,13745,72 Ave,V3W2P3,,NTC,-122.8411269,49.13376451
Zenith Appraisal & Land Consulting Ltd,Land Development - Property Acquisition and Land Consulting,201,5740,176A St,V3S4H1,,CTC,-122.7335241,49.10668893
Payal Liquor Mart Ltd,Liquor Licensee Retail Store,104,12877,80 Ave,V3W0E6,,NTC,-122.8652919,49.14858202
"Jesse Shwaluk, RMT",Massage Therapy (RMT),104,8501,162 St,V4N1B2,,FTC,-122.7735478,49.15718298
Papermake Enterprises Ltd,Wholesale,204,19365,22 Ave,V3Z3S6,,SSTC,-122.6876114,49.04239066
Affinity Accountants Inc,Professional Practitioner-Accountant,211-,6678,152 St,V3S7J2,,NTC,-122.8006274,49.12403224
Nanyang Supermarket,Retail Merchant - 10 to 19 Employees,101-,8645,160 St,V4N1G4,,FTC,-122.7791888,49.15967455
Sources Community Resources Society ,Charitable Society/Organization,,13483,72 Ave,V3W2N7,,NTC,-122.8488885,49.13375295
Aspire Immigration Services Inc,Immigration Consultant,343,8140,128 St,V3W1R1,,NTC,-122.8673223,49.15063342
"Dr Trevor Olson, Psychological Services Inc",Professional Practitioner - Psychologist,202,15388,24 Ave,V4A6V9,,SSTC,-122.7964038,49.0454164
Lanying Xiao,Bed & Breakfast,,10844,129A St,V3T3K6,,SCC,-122.8631533,49.19980103
Athwal Distribution Corporation,Trucking & Cartage,111E,8056,King George Blvd,V3W5B5,,NTC,-122.8452546,49.14901036
Acme Glass Ltd,Installations - Glass & Shower Doors,,8335,129 St,V3W0A6,,NTC,-122.8658235,49.15421944
BioInteractive Technologies Inc,Miscellaneous,201,13737,96 Ave,V3V0C6,,SCC,-122.842751,49.17720977
Gurpinder Sarai,Contractor: Construction/developer,201,15300,68 Ave,V3S2B9,,NTC,-122.7981477,49.12617848
Punjab Guardian Inc The,Printer/Publisher,201,12677,80 Ave,V3W3A6,,NTC,-122.8714589,49.14843217
ACB CA Investment Inc,Retail Merchant - 0 to 2 Employees,,10318,Whalley Blvd,V3T4H4,,SCC,-122.8417045,49.18985465
R J Cross Architectural Products Ltd,Wholesale,6,19122,27 Ave,V3S5T1,,SSTC,-122.6939064,49.05087145
Harry Immigration Services Ltd,Immigration Consultant,209,12639,80 Ave,V3W3A6,,NTC,-122.8721068,49.14844539
Punjabi Cuisine Parlour Inc,Restaurant - Ice Cream,113,8166,128 St,V3W0V4,,NTC,-122.8669947,49.15126342
Johal Berry Farms Ltd,Administration Office,219,8028,128 St,V3W4E9,,NTC,-122.8676263,49.14852263
New York Paint Distribution Centre Ltd,Wholesale Paints ,101,15300,68 Ave,V3S2B9,,NTC,-122.7981477,49.12617848
Elara Homes Ltd,General Contractor - Home Construction,208,13049,76 Ave,V3W2V7,,NTC,-122.8612083,49.14115266
Sierra Projects Inc,Contractor - Commercial Construction,218,6333,148 St,V3S3C3,,NTC,-122.812464,49.11799311
Avenue 13 Print & Signs,Printing & Photocopies,120,13740,72A Ave,V3W1N5,,NTC,-122.841783,49.13464813
Vivant Dental,Professional Practitioner-Dentist,101,5570,152 St,V3S5J9,,NTC,-122.8006776,49.10346553
True North Appliances Ltd,Appliance warehouse and distribution,205,5529,192 St,V3S8E5,,CTC,-122.6914202,49.1033052
Multi Salon and Barber The,"Hair Salon/Barber, Esthetician - Eyelashes extensions and microblading",103,12817,Old Yale Rd,V3T3A9,,SCC,-122.8670204,49.19783731
Optimum Mechanical Ltd,"Contractor - Plumbing/Heating,Inter-Municipal Business License FV,Inter-Municipal Business License Metro",304,13140,80 Ave,V3W3B2,,FTC,-122.8582451,49.14797572
Sources Community Resources Society,Charitable Society/Organization,109,5577,153A St,V3S5K7,,NTC,-122.7972918,49.10347474
Punje Spice Restaurant Ltd,Food Primary-Class B Dining Lounge,105,2828,152 St,V3W0N8,,SSTC,-122.8009054,49.05326245
New Shine Health Centre Inc,Massage Therapy (RMT),110,2940,King George Blvd,V4P0E4,,SSTC,-122.80546,49.05558062
Tally Accounting Inc,Cellphone Sales,,15180,Fraser Hwy,V3R3P1,,FTC,-122.8021936,49.16622421
Akash Broadcasting Inc,Miscellaneous - Online radio Station,,13376,Comber Way,V3W5V9,,NTC,-122.852125,49.13501362
Be My Guest,Bed and Breakfast ,,14639,55A Ave,V3S1B5,,NTC,-122.8165538,49.10379193
Goodwill Kitchen Idea Ltd,Kitchen Cabinet Manufacturing & Installation,105,13245,72 Ave,V3W2N5,,NTC,-122.855425,49.13385503
Crescent Supermarket Ltd,Retail Grocery and Meat Shop,,12074,96 Ave,V3V1W3,,WTC,-122.8877402,49.17699074
Steve's Poke Bar,Restaurant,70,2245,160 St,V3Z9N6,,SSTC,-122.7795525,49.04289123
Vancouver Career College (Burnaby) Inc/Campus Support,Administration Office,360,13401,108 Ave,V3T5T3,,SCC,-122.8502549,49.1990937
Ola Travels Inc,Travel Agency,122,8028,128 St,V3W4E9,,NTC,-122.8676263,49.14852263
Sharetea,Restaurant - No Alcohol,4B,9965,152 St,V3R0J8,,GTC,-122.8012729,49.18379311
Adorable Enterprises Ltd,Janitorial Service,,7164,120 St,V3W3M8,,NTC,-122.8898254,49.13337918
Gaba Travel Surrey Ltd,Travel Agency,101,12830,80 Ave,V3W3A8,,NTC,-122.8672039,49.14796008
Street,Retail Clothing ,1206,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192586
Pure Indian Sweets Snack's and Catering,Food manufacture Indian Food & Sweets,106,15336,67 Ave,V3S2A1,,NTC,-122.7976455,49.1242363
Ideal Image,Esthetician,50,16041,24 Ave,V3Z9H7,,SSTC,-122.7777057,49.04630357
IHome Cabinets Inc,Warehouse,140,19255,21 Ave,V3S3M3,,SSTC,-122.6899325,49.04043682
Hero Smoke Shop ,Smoke Shop / Retail ,208,13454,108 Ave,V3T2K1,,SCC,-122.8491117,49.19874201
Edge Steel Works Ltd,Manufacturer/Machine Shop,2,19320,94 Ave,V4N4E4,,GTC,-122.6873987,49.17341101
EZ Vape,Retail Merchant - Vape Shop,113,17700,No 10 (56 Ave) Hwy,V3S1C7,,CTC,-122.7326633,49.10394858
Breakside Real Estate Ltd,Real Estate - 6 to 10 Employees,150,17650,66A Ave,V3S4S4,,CTC,-122.734139,49.12320642
Hamilton Duncan Armstrong + Stewart,Professional Practitioner-Lawyer,300,13401,108 Ave,V3T5T3,,SCC,-122.8502549,49.1990937
Columbia White Rock Education Corporation,Tutoring,201,2119,152 St,V4A4N7,,SSTC,-122.8014243,49.04040795
Cheema Bros Meat Shop,Retail Merchant - Butcher Shop,140,12477,88 Ave,V3W1P8,,WTC,-122.8770559,49.16395195
Eagle Imports Ltd,Wholesale - Electrical Materials and Supplies,102,19057,25 Ave,V3Z3V2,,SSTC,-122.6954029,49.04763465
Mary’s Hair design Inc,Hair Salon/Barber,,15333,16 Ave,V4A1R6,,SSTC,-122.7979655,49.03132694
Amica at White Rock,Apartment/Townhouse Rental,,15333,16 Ave,V4A1R6,,SSTC,-122.7979655,49.03132694
GoodTimesDrinks Inc,Sales/Marketing Office,202,15388,24 Ave,V4A2J2,,SCC,-122.7964038,49.0454164
Kiwicana Stone Works (2017) Ltd,Stone Counter Tops Fabricator,216/,8322,130 St,V3W8J9,,NTC,-122.8620364,49.15374911
Planet Earth Healthcare Inc,Warehouse - Wellness Products,107,8299,129 St,V3W0A6,,NTC,-122.8658521,49.15341481
Diabolikal Ink Parlour,Tattoo Parlour,101,5674,176 St,V3S4C6,,CTC,-122.7347679,49.10547949
INEO Solutions Inc,Manufacturer/Machine Shop,105,19130,24 Ave,V3Z3S9,,SSTC,-122.6938844,49.04545111
Mucho Burrito,Restaurant - No Alcohol,B110,15157,No 10 (56 Ave) Hwy,V3S9A5,,NTC,-122.8027384,49.10533058
Guildford Notary,Professional Practitioner-Notary,304,10233,153 St,V3R0Z7,,GTC,-122.7983489,49.18854593
Kore Flooring Inc,Wholesale,217,8322,130 St,V3W8J9,,NTC,-122.8620364,49.15374911
A P Canadian Immigration Services,Immigration Consultant,200,7404,King George Blvd,V3W1N6,,NTC,-122.8452635,49.13762772
SCI Stenberg College International Inc,Business School,,10072,King George Blvd,V3T2W4,,SCC,-122.8451229,49.18557697
Renee Aldana Personal Law Corporation,Professional Practitioner-Lawyer,6,15243,91 Ave,V3R8P8,,FTC,-122.7998524,49.16845099
Surrey Gardens Apartments,Apartment Rentals,,10235,128 St,V3T5C9,,WTC,-122.8679531,49.18902236
Boba Boy,Tea Cafe ,104,15127,No 10 (56 Ave) Hwy,V3S9A5,,NTC,-122.8052317,49.10542517
Samuel Packaging Systems Group,Warehouse and distribution / Packaging company,109,2278,192 St,V3S3X2,,SSTC,-122.691048,49.04298857
Fraser Park Realty Ltd,Real Estate - 0 to 5 Employees,235,10330,152 St,V3R4G8,,GTC,-122.8000928,49.19027016
Avrio Design Ltd,Contractor - Miscellaneous,300,19358,96 Ave,V4N4C1,,GTC,-122.686029,49.17678045
Live Well Medical Clinic,Medical Clinic,101,5967,168 St,V3S3X5,,CTC,-122.75694,49.11078919
Muji Canada,Retail Merchant - 10 to 19 Employees,1047,10355,152 St,V3R7C1,,GTC,-122.8042654,49.19192586
Barcelos Flame Grilled Chicken,Food Primary-Class B Dining Room,136,15280,101 Ave,V3W8X7,,GTC,-122.7986031,49.18597274
Bolt Supply House Ltd (The) ,Fastener and MRO Sales ,101,9725,192 St,V4N4C7,,GTC,-122.6906572,49.17943386
Music For Life Institute,"Charitable Society/Organization - Train, house and educate visiting children through a touring child",100,19289,No 10 (Langley Bypass) Hwy,V3S6K1,,CTC,-122.6884872,49.10551525
Friends In the West,Charitable Society - Provision of capital assets for use by qualified donees,100,19289,No 10 (Langley Bypass) Hwy,V3S6K1,,CTC,-122.6884872,49.10551525
Lifeconnect Pharmacy,Retail: Pharmacy,102,5967,168 St,V3S3X5,,CTC,-122.75694,49.11078919
1182326 BC Ltd,Retail Merchant - 0 to 2 Employees,358B,8158,128 St,V3V5Z5,,NTC,-122.8651211,49.15135187
Tidal Trauma Centre,Counselling Service,202,5780,176A St,V3S6S6,,CTC,-122.7334884,49.10748286
Dreamcan Immigration Consulting Ltd,Office Use ONLY ,204,9093,King George Blvd,V3V5V7,,WTC,-122.8461586,49.167757
Angela Le RMT,Massage Therapy (RMT),104,8501,162 St,V4N4W3,,FTC,-122.7735478,49.15718298
Dhillon Physiotherapist Corp,Professional Practitioner-Medical,143,12080,Nordel Way,V3W1P6,,NTC,-122.8886041,49.16109806
Mahima Jacob,Counselling Service,216,5455,152 St,V3S5A5,,NTC,-122.8015691,49.10286186
The Centre of Newton Early Years Hub,Charitable Society/Organization - Non Profit Society providing rehabilitation services to children,204,7327,137 St,V3W1A4,,NTC,-122.8431418,49.13559616
Synergy Med Clinic,"Retail Merchant - Orthotics,Clinical Counselling ",405,7327,137 St,V3W1A4,,NTC,-122.8431418,49.13559616
"Kristina Peddie, RMT",Massage Therapy (RMT),,8636,120 St,V3W3N6,,NTC,-122.890228,49.16009625
EKS CPA Inc,Professional Practitioner-Accountant,109,6678,152 St,V3S7J2,,NTC,-122.8006274,49.12403224
