dROLLNMBR,BUSINESSNAME,MUNICIPAL ADDRESS,MUNICIPAL ADDRESS2,MUNICIPAL ADDRESS3,BUSINESSTYPE,PHONE,EMAILADDRESS
143000100,McKenna Funeral Home                               ,           ,5114,FORREST DR               ,Funeral Services               ,8.67E+13,janice@mckennafuneral.com                                                                                                                                                                                
35002001,McLennan Ross LLP                                  ,           ,5109,48 ST                    ,Lawyers                        ,8677667677cell       ,egullberg@mross.com                                                                                                                                                                                      
521002800,Mckay Electric                                     ,           ,5,JOHNSON CRES             ,Electricians                   ,8.68E+13,johnmckay@northwestel.net                                                                                                                                                                                
37002600,Megsie Developments Ltd                            ,           ,4909,51 AVE                   ,Property Management & Services ,8.68E+13,dwillistonyk@gmail.com                                                                                                                                                                                   
510002320,Melabert Home Day Care                             ,20,705,WILLIAMS AVE             ,Dayhomes - Regulated           ,8.67E+13,quits.bc64@northwestel.net                                                                                                                                                                               
               ,Mercredi Delivery Service                          ,           ,           ,                         ,Delivery Services              ,8.67E+13,fourmercs@theedge.ca                                                                                                                                                                                     
67002000,Mermaid & Moon                                     ,           ,4909,47 ST                    ,Arts and Crafts                ,8.68E+13,meremcnulty@gmail.com                                                                                                                                                                                    
548000200,Mes P'tits Amis du Nord                            ,           ,486,RANGE LAKE RD            ,Dayhomes - Regulated           ,8.68E+13,mesptitsamisdunord@gmail.com                                                                                                                                                                             
532002100,Metcor Inc.                                        ,           ,32,MELVILLE DR              ,Consultants                    ,0,general@nsma.net                                                                                                                                                                                         
10001300,Michael Kalnay                                     ,           ,4,OTTO DR                  ,Agrifood                       ,8.68E+13,mike.kalnay.food@gmail.com                                                                                                                                                                               
167000300,Michelle MacDonald                                 ,           ,4503,52 AVE                   ,Photography                    ,8.67E+13,michelle@fireweedheart.com                                                                                                                                                                               
98001200,Micrographics & Publishing                         ,           ,4823,SCHOOL DRAW AVE          ,Consultants                    ,8.68E+13,                                                                                                                                                                                                         
534000500,Mid-Arctic/Matco Transportation Co. Ltd.           ,           ,120,ENTERPRISE DR            ,Trucking/Hauling               ,0,mdrumond@manitoulintransport.com                                                                                                                                                                         
907002100,Midnight Petroleum Ltd                             ,           ,125,Eagle Drive              ,Industrial                     ,8.68E+13,admin@midnigtpeto.ca                                                                                                                                                                                     
563000900,Midnight Sun Bearing & Mining                      ,           ,353,OLD AIRPORT RD           ,Industrial                     ,8.68E+13,                                                                                                                                                                                                         
502002002,Midnight Sun Energy Ltd                            ,A          ,2,Coronation Dr            ,Speciality                     ,8.68E+13,alex@midnightsunenergy.com                                                                                                                                                                               
121001001,Midwest Property Management                        ,           ,700,GITZEL ST                ,Property Management & Services ,8678735033,accountspayable@rentmidwest.com                                                                                                                                                                          
101010101,Midwest Property Management                        ,           ,5304,49 ST                    ,Property Management & Services ,8678735033,accountspayable@rentmidwest.com                                                                                                                                                                          
91000050,Midwest Property Management                        ,           ,4402,SCHOOL DRAW AVE          ,Property Management & Services ,8678735033,accountspayable@rentmidwest.com                                                                                                                                                                          
117000000,Midwest Property Management                        ,110,5302,51 ST                    ,Property Management & Services ,8678735033,accountspayable@rentmidwest.com                                                                                                                                                                          
101010102,Midwest Property Management                        ,           ,5303,52 ST                    ,Property Management & Services ,8678735033,accountspayable@rentmidwest.com                                                                                                                                                                          
503000400,Mike's Painting                                    ,           ,155,CURRY DR                 ,Painters & Decorators          ,8.67E+13,tyger-55@hotmail.com                                                                                                                                                                                     
308001400,Millennium Technologies Inc.                       ,           ,214,NIVEN DR                 ,Communication Services         ,0,norm@milleniumtech.ca                                                                                                                                                                                    
               ,Miramar Northern Mining Ltd.                       ,           ,           ,                         ,Resource Industries & Services ,8.68E+13,scott.stringer@newmont.com                                                                                                                                                                               
34002400,Miss Saigon                                        ,           ,5309,50 AVE                   ,Concessions/Takouts            ,8.67E+13,miss.saigon.food@gmail.com                                                                                                                                                                               
150003500,Mobility Massage                                   ,           ,64,RYCON DR                 ,Massage Therapy                ,8.67E+13,guynorde@ssimicro.com                                                                                                                                                                                    
553005800,Modrent Inc                                        ,           ,250,UTSINGI DR               ,Rental & Storage Services      ,8.67E+13,ryan@fuelflo.com                                                                                                                                                                                         
562001800,MoeZoe's Painting                                  ,           ,134,HERRIMAN RD              ,Painters & Decorators          ,8.68E+13,mauricezoe51@gmail.com                                                                                                                                                                                   
1001046100,Momentum Massage                                   ,           ,461,NORSEMAN DR              ,Massage Therapy                ,8.67E+13,rcg.momentum@gmail.com                                                                                                                                                                                   
105001200,Momentum Training Services                         ,           ,5604,50A AVE                  ,Education Services             ,6.48E+13,momentumtrainingservices@gmail.com                                                                                                                                                                       
507002100,Monitor North Inc                                  ,           ,40,BROMLEY DR               ,Security Services              ,8.67E+13,amrik@monitornorth.com                                                                                                                                                                                   
504001000,Monkey Tree Pub                                    ,1,483,RANGE LAKE RD            ,Lounges & Bars                 ,8674451354Cell       ,dinham@live.ca                                                                                                                                                                                           
28002400,Morin's Fisheries Ltd                              ,           ,4709,50 AVE                   ,Speciality                     ,0,finance@auroravillage.com                                                                                                                                                                                
531001500,Morning Star Travel Ltd                            ,           ,128,KAM LAKE RD              ,Toursim Services               ,8.67E+13,info@xccanada.com                                                                                                                                                                                        
1000200,Mother Earth Rocks                                 ,           ,3608,50 AVE                   ,Arts and Crafts                ,8.67E+13,sadx1@hotmail.com                                                                                                                                                                                        
508002100,Mt Photography                                     ,           ,152,BROMLEY CRT              ,Photography                    ,0,mtphotographyyk@gmail.com                                                                                                                                                                                
520002000,Muddy Fingers                                      ,           ,124,DAGENAIS DR              ,Arts and Crafts                ,8.67E+13,m.guile@live.ca                                                                                                                                                                                          
133002300,Mummy Fitness                                      ,           ,15,PTARMIGAN RD             ,"Sports, Recreation & Fitness   ",8.67E+13,inemesitgraham@hotmail.com                                                                                                                                                                               
24002700,Music Interchange                                  ,B          ,5014,50 AVE                   ,"Sports, Recreation & Fitness   ",8.67E+13,musicinterchange@outlook.com                                                                                                                                                                             
169000319,Myka Jones Design                                  ,           ,33,TRAILS END CRES          ,Communication Services         ,8.67E+13,mykajonesdesign@gmail.com                                                                                                                                                                                
24000900,N.E. Thing Trading Co. Inc O/A Bottomline          ,           ,4918,50 ST                    ,Gen. Mixed Retail/ Dept. Store ,8.68E+13,lisa.thebottomline@gmail.com                                                                                                                                                                             
13002400,NARWAL Northern Adventures                         ,           ,4702,ANDERSON-THOMSON BLVD    ,Toursim Services               ,8.68E+13,outdoors@narwal.ca                                                                                                                                                                                       
13002400,NARWAL Northern Adventures                         ,           ,4702,ANDERSON-THOMSON BLVD    ,Bed & Breakfast                ,8.68E+13,outdoors@narwal.ca                                                                                                                                                                                       
540001300,NCV Industrial Inc                                 ,           ,9,NAHANNI DR               ,General Contractors-Journeyman ,8.68E+13,dtucker@ncvc.ca                                                                                                                                                                                          
975001700,NIS Northern Industrial Sales NWT Ltd.             ,           ,326,OLD AIRPORT RD           ,Industrial                     ,8.68E+13,crobertson@northernindustrialsales.ca                                                                                                                                                                    
4003300,NORDYK                                             ,           ,3512,MCDONALD DR              ,Consultants                    ,8.67E+13,rachelle@nordyk.ca                                                                                                                                                                                       
22001401,NPR  Limited Partnership                           ,           ,4921,49 ST                    ,Property Management & Services ,8.68E+13,ykcentre@northviewfund.com                                                                                                                                                                               
162000800,NPR Limited Partnership                            ,           ,419,BYRNE RD                 ,Property Management & Services ,8.68E+13,ykcentre@northviewfund.com                                                                                                                                                                               
83002700,NPR Limited Partnership                            ,           ,4501,50 AVE                   ,Property Management & Services ,4.04E+13,ykcentre@northviewfund.com                                                                                                                                                                               
49000601,NPR Limited Partnership                            ,           ,4817,49 ST                    ,Property Management & Services ,4.04E+13,ykcentre@northviewfund.com                                                                                                                                                                               
22000701,NPR Limited Partnership                            ,           ,4802,50 AVE                   ,Property Management & Services ,a0000000000000       ,ykcentre@northviewfund.com                                                                                                                                                                               
548000600,NPR Limited Partnership                            ,           ,492,RANGE LAKE RD            ,Rental & Storage Services      ,4.04E+13,ykcentre@northviewfund.com                                                                                                                                                                               
548000400,NPR Limited Partnership                            ,           ,490,RANGE LAKE RD            ,Rental & Storage Services      ,4.04E+13,ykcentre@northviewfund.com                                                                                                                                                                               
21001000,NPR Limited Partnership                            ,           ,4702,50 AVE                   ,Property Management & Services ,a0000000000000       ,ykcentre@northviewfund.com                                                                                                                                                                               
22002201,NPR Limited Partnership                            ,           ,4903,49 ST                    ,Property Management & Services ,a0000000000000       ,ykcentre@northviewfund.com                                                                                                                                                                               
22000701,NPR Limited Partnership                            ,           ,4802,50 AVE                   ,Property Management & Services ,a0000000000000       ,ykcentre@northviewfund.com                                                                                                                                                                               
22001701,NPR Limited Partnership                            ,           ,4911,49 ST                    ,Property Management & Services ,a0000000000000       ,ykcentre@northviewfund.com                                                                                                                                                                               
149002800,NPR Limited Partnership                            ,           ,5401,52 ST                    ,Property Management & Services ,4.04E+13,ykcentre@northviewfund.com                                                                                                                                                                               
103000100,NPR Ltd. Partnership                               ,           ,5601,50 AVE                   ,Property Management & Services ,8.68E+13,ykcentre@northviewfund.com                                                                                                                                                                               
133002300,NPR Ltd. Partnership                               ,           ,15,PTARMIGAN RD             ,Property Management & Services ,8.68E+13,ykcentre@northviewfund.com                                                                                                                                                                               
45000450,NPR Ltd. Partnership                               ,           ,5215,51 ST                    ,Property Management & Services ,8.68E+13,ykcentre@northviewfund.com                                                                                                                                                                               
22001401,NWT & Nunavut Construction Association             ,           ,4921,49 ST                    ,Business Services              ,8.68E+13,bulletin@nnca.ca                                                                                                                                                                                         
75000101,NWT Brewing Co Ltd O/A Woodyard Brewhouse & Eatery ,           ,3905,50 AVE                   ,Lounges & Bars                 ,8.67E+13,admin@nwtbrewingco.com                                                                                                                                                                                   
60000101,NWT Community Services Corp                        ,400,5004,54 ST                    ,Rental & Storage Services      ,0,manager@northernunitedplace.com                                                                                                                                                                          
503005200,NWT Construction Ltd                               ,           ,135,KAM LAKE RD              ,Contractors                    ,8.68E+13,ap@nwtconstruction.ca                                                                                                                                                                                    
534001700,NWT Fish Company Ltd                               ,           ,94,ENTERPRISE DR            ,Business Services              ,8.68E+13,bonster@theedge.ca                                                                                                                                                                                       
534001700,NWT Fish Company Ltd                               ,           ,94,ENTERPRISE DR            ,Food Vendors (Street)          ,8.68E+13,bonster@theedge.ca                                                                                                                                                                                       
37001300,NWT Metis Development Corp                         ,           ,5125,50 ST                    ,Consultants                    ,8678733113,admin@nwtmddf.com                                                                                                                                                                                        
24000400,NWT Metis-Dene Dev Fund Ltd                        ,           ,4908,50 ST                    ,Business Services              ,8.68E+13,gm@nwtmddf.com                                                                                                                                                                                           
47000601,NWT Montessori Society                             ,           ,5212,52 ST                    ,Education Services             ,8.68E+13,montess@ssimicro.com                                                                                                                                                                                     
516003900,NWT Montessori Society                             ,           ,525,RANGE LAKE RD            ,Childcare Centres              ,8.68E+13,montess@ssimicro.com                                                                                                                                                                                     
527004000,NWT Pinework Ltd                                   ,           ,71,MANDEVILLE DR            ,Carpentry                      ,8.67E+13,nwtpinework@gmail.com                                                                                                                                                                                    
23000400,NWT Rec & Parks Assoc                              ,           ,4908,49 ST                    ,Sporting & Leisure             ,8.68E+13,stremblay@nwtrpa.org                                                                                                                                                                                     
907005400,NWT SPCA                                           ,           ,118,FALCON RD                ,Kennels & Boarding             ,8.76E+13,nwtspcayk@gmail.com                                                                                                                                                                                      
532000400,NWT Solar Solutions Ltd                            ,           ,26,MELVILLE DR              ,Electricians                   ,8.67E+13,mitch@nwtsolar.ca                                                                                                                                                                                        
532000400,NWT Solar Solutions Ltd                            ,           ,26,MELVILLE DR              ,Electricians                   ,8.67E+13,mitch@nwtsolar.ca                                                                                                                                                                                        
132000300,NWT Stone Masons                                   ,           ,5703,51A AVE                  ,Bricklayers & Masons           ,8.67E+13,skelffordj@gmail.com                                                                                                                                                                                     
503001600,NWT's Finest                                       ,           ,92,CURRY DR                 ,Food Vendors (Street)          ,8.67E+13,nwtsfinest@gmail.com                                                                                                                                                                                     
564000500,Nadia Lindsay                                      ,           ,145,MAGRUM CRES              ,Arts and Crafts                ,8.67E+13,lindsayshomestead@outlook.com                                                                                                                                                                            
19000100,Nadji Architects Ltd                               ,           ,3601,50 AVE                   ,Architects                     ,8.68E+13,znadji@nadji_architects.ca                                                                                                                                                                               
70100400,Nagel and Company Consulting                       ,           ,4304,49 AVE                   ,Consultants                    ,8.67E+13,brian_nagel@me.com                                                                                                                                                                                       
536000300,Nahanni Construction Ltd                           ,           ,100,NAHANNI DR               ,Contractors                    ,0,jody@nahannincl.com                                                                                                                                                                                      
136000100,Nails Forevermore By Kathleen                      ,           ,963,SISSONS CRT              ,Estetics                       ,5.14E+13,nailsforevermore@gmail.com                                                                                                                                                                               
147000400,Nanook Aurora Tours                                ,           ,5126,FORREST DR N             ,Toursim Services               ,8.67E+13,nanook@aurora-guide.com                                                                                                                                                                                  
68001301,Native Communications Society                      ,           ,4510,50 AVE                   ,Communication Services         ,3.20E+13,admin@ncsnwt.com                                                                                                                                                                                         
308010800,Natri Cleaning Services                            ,B          ,131,MOYLE DR                 ,Janitorial Services            ,8.67E+13,natricleanings@gmail.com                                                                                                                                                                                 
162001300,New Dimensions Hair Salon                          ,           ,476,RANGE LAKE RD            ,Barber or Beauty Salon         ,8.68E+13,newdimensions19@gmail.com                                                                                                                                                                                
38002500,New Star Ltd O/A Kingpin Centre                    ,           ,5125,52 AVE                   ,"Sports, Recreation & Fitness   ",8.68E+13,kingpinbowlingcentre@gmail.com                                                                                                                                                                           
150001400,New Vision Painting                                ,           ,20,RYCON DR                 ,Painters & Decorators          ,8.67E+13,andy.newvision@gmail.com                                                                                                                                                                                 
30003500,NewTech HVAC Consulting                            ,           ,5010,49 ST                    ,Refrigeration & Air Cond. Mech ,8.67E+13,yabdelmegid@hotmail.com                                                                                                                                                                                  
               ,Nick Fitzhardinge Photography                      ,           ,           ,                         ,Photography                    ,4.04E+13,nfitzhardinge@gmail.com                                                                                                                                                                                  
309005200,Niven Lake Bed & Breakfast                         ,A          ,152,MOYLE DR                 ,Bed & Breakfast                ,8.67E+13,niven.lake.bnb@gmail.com                                                                                                                                                                                 
535000600,No Limit Drilling                                  ,           ,160,ENTERPRISE DR            ,Contractors                    ,8677658688RYAN       ,rmoss9013@gmail.com                                                                                                                                                                                      
41000400,Norland Insurance Agencies Ltd.                    ,A          ,5108,53 ST                    ,Business Services              ,8.68E+13,shirley@norlandinsurance.com                                                                                                                                                                             
511001101,Norseman Property Holdings Ltd                     ,101,487,RANGE LAKE RD            ,Rental & Storage Services      ,8.68E+13,                                                                                                                                                                                                         
69000401,North - Arm Builders Inc                           ,           ,4910,44 ST                    ,Contractors                    ,8.67E+13,pattig@internorth.com                                                                                                                                                                                    
67002100,North Aspire Counselling                           ,           ,4907,47 ST                    ,Health & Care Services         ,8.68E+13,info@gaiand.com                                                                                                                                                                                          
119000300,North By North Corp                                ,           ,19,GITZEL ST                ,Consultants                    ,8.68E+13,info@northbynorth.ca                                                                                                                                                                                     
553002600,North Country Logistic Ltd                         ,           ,238,UTSINGI DR               ,Contractors                    ,8.68E+13,                                                                                                                                                                                                         
553002600,North Country Logistic Ltd                         ,           ,238,UTSINGI DR               ,Trucking/Hauling               ,8.68E+13,                                                                                                                                                                                                         
               ,North Country Stables                              ,           ,           ,                         ,Kennels & Boarding             ,8679202211/000       ,dr.tompisz@gmail.com                                                                                                                                                                                     
28000800,North Creative                                     ,           ,5016,47 ST                    ,Communication Services         ,8.68E+13,info@northagency.ca                                                                                                                                                                                      
527003000,North Fire Systems Inc.                            ,           ,51,MANDEVILLE DR            ,Safety & Medical               ,8.68E+13,scba@northwestel.net                                                                                                                                                                                     
28000700,North Marketing and Communications Ltd             ,           ,5014,47 ST                    ,Communication Services         ,8.68E+13,info@northagency.ca                                                                                                                                                                                      
516002800,North Nova Electric Ltd                            ,           ,2001,FINLAYSON DR             ,Electricians                   ,8.67E+13,NorthNovaElectricLtd.31@gmail.com                                                                                                                                                                        
147004900,North Slave Services                               ,           ,8,RYCON DR                 ,Property Management & Services ,8.67E+13,northslaveservices@gmail.com                                                                                                                                                                             
534002000,North West Builders Inc.                           ,           ,88,ENTERPRISE DR            ,Contractors                    ,8.68E+13,payables@northwestbuilders.ca                                                                                                                                                                            
               ,North of 60 Distributors O/A North of 60 Medical S ,           ,           ,                         ,Amusement Attractions & Circus ,8.68E+13,sales@60medical.ca                                                                                                                                                                                       
49000601,North of 60 Massage Therapy & Welness              ,           ,4817,49 ST                    ,Massage Therapy                ,8.68E+13,northof60mtw@hotmail.com                                                                                                                                                                                 
24002500,North of 60 Quilting Services                      ,           ,5004,50 AVE                   ,Arts and Crafts                ,8.67E+13,northof60quiltingservices@gmail.com                                                                                                                                                                      
143001646,North of 60° Accounting Services                   ,403,5600,52 AVE                   ,Accountants                    ,8674467312Cell       ,edshu2002@yahoo.com                                                                                                                                                                                      
906004500,North-Wright Airways Ltd                           ,           ,100,McMILLAN ST              ,Passenger Transportation       ,8.68E+13,susan.wright@north-wrightairways.com                                                                                                                                                                     
22000701,NorthStar Adventures Ltd                           ,           ,4802,50 AVE                   ,Toursim Services               ,8.67E+13,info@northstaradventures.ca                                                                                                                                                                              
563000600,Northbest Distributors Ltd                         ,           ,347,OLD AIRPORT RD           ,Rental & Storage Services      ,8.68E+13,northbest@theedge.ca                                                                                                                                                                                     
563000600,Northbest Distributors Ltd                         ,           ,347,OLD AIRPORT RD           ,Grocery                        ,8.68E+13,northbest@theedge.ca                                                                                                                                                                                     
68100300,Northern Aboriginal Services Company               ,           ,4504,49 AVE                   ,Business Services              ,8.68E+13,ddc@denendeh.ca                                                                                                                                                                                          
167000101,Northern Arts & Cultural Centre                    ,           ,4701,52 AVE                   ,Theatres                       ,8.68E+13,ead@naccnt.ca                                                                                                                                                                                            
21001300,Northern Bestsellers Ltd                           ,           ,4710,50 AVE                   ,Real Estate                    ,8.68E+13,trishd@cbyk.ca                                                                                                                                                                                           
540001300,Northern Canada Ventures Corp                      ,           ,9,NAHANNI DR               ,Business Services              ,8.68E+13,dtucker@ncvc.ca                                                                                                                                                                                          
22001501,Northern Chicks Catering                           ,           ,4919,49 ST                    ,Catering Services              ,8.68E+13,cafechezlinda@hotmail.com                                                                                                                                                                                
22001501,Northern Chicks Catering                           ,           ,4919,49 ST                    ,Catering Services              ,8.68E+13,cafechezlinda@hotmail.com                                                                                                                                                                                
502002700,Northern Communications & Navigation Systems       ,           ,11,CORONATION DR            ,Speciality                     ,8.68E+13,admin@northerncommunication.ca                                                                                                                                                                           
521004900,Northern Eaves Troughing & Renos Ltd.              ,           ,45,JOHNSON CRES             ,Contractors                    ,8.68E+13,dcrenos@hotmail.com                                                                                                                                                                                      
1001062900,Northern Engraving Plus                            ,           ,629,ANSON DR                 ,Arts and Crafts                ,8.68E+13,northernengravingplus@northwestel.net                                                                                                                                                                    
1001062900,Northern Engraving Plus                            ,           ,629,ANSON DR                 ,Arts and Crafts                ,8.68E+13,northernengravingplus@northwestel.net                                                                                                                                                                    
511000901,Northern Fancy Meats (923203 NWT Ltd.)             ,           ,314,WOOLGAR AVE              ,Speciality                     ,8.68E+13,fancymeats@theedge.ca                                                                                                                                                                                    
563000900,Northern Foodservices Ltd                          ,           ,353,OLD AIRPORT RD           ,Grocery                        ,8.68E+13,orderdesk@nwtfood.com                                                                                                                                                                                    
502002401,Northern Frontier Adventures Limited               ,           ,5,CORONATION DR            ,Toursim Services               ,                     ,admin@skidootour.com                                                                                                                                                                                     
29000100,Northern Images/Division of Arctic Cooperative Ltd ,           ,4801,50 AVE                   ,Arts and Crafts                ,2.05E+13,ni.yellowknife@arctic.coop                                                                                                                                                                               
