Company Name,Sectors,Website,Contact,Location,Description
The Mitchell Partnership Inc. ,Contracting and Engineering,www.tmptoronto.com ,"Cindy Mitchell, Executive Assistant<br />cmitchell@tmptoronto.com<br /> 416-499-8000 Ext. 218",Toronto, Mechanical Consulting Engineers
The Timeless Material Company,Energy Efficiency and Renewable Energy;Consulting;Environmental Design and Architecture;Waste Management;Water and Wastewater Management,www.timelessmaterials.com ,"Catherine Darnell, Retail Sales Manager<br />info@timelessmaterials.com<br /> 519-883-8683",Waterloo,"All of our materials are salvaged from unwanted buildings, recycled through our retail operation (e.g. remilled T and G flooring, timbers and mantle pieces,  enviromental paint and paper line)."
"The Ventin Group Ltd., Architects ",Energy Efficiency and Renewable Energy,www.ventingroup.com ,"Peter Berton, Partner<br />pberton@ventingroup.com<br /> 416-588-6370",Toronto," Typical projects include Academic Buildings, Administrative Offices, Courthouses, Cultural Centres, Multi-use Facilities, Heritage Structures and new buildings within a Heritage Context. "
Think Plastics Inc.,Energy Efficiency and Renewable Energy;Contracting and Engineering;Environmental Design and Architecture;Research and Development;Waste Management;Water and Wastewater Management,www.thinkplastics.ca and www.baleboard.ca ,"Lisa Lackenbauer, Vice President<br />info@thinkplastics.ca<br /> 519-662-6665",New Hamburg," Manufacturer of Baleboard (solid polyethylene lumber made from recycled agricultural bale wrap and greenhouse film) and Nusheet (made from recycled greenhouse film). Ideal for commercial, industrial, residential and marine applications. "
TAF Engineering,Air Pollution Prevention and Control,www.tafeng.ca,"Karen Hachborn, Office Manager<br />taf@tafeng.ca<br /> 416-494-0601",Toronto, Mechanical and electrical consulting engineers.
Thomson Metals and Disposal,Waste Management,www.thomsonmetals.com,"Annano Jim, Sales Manager<br />jannand@thomsonmetals.com<br /> 905-681-8832 Ext. 40",Burlington," Metal recovery and recycling, demolition, and general waste and recycling service"
Toronto Recycling Inc.,Waste Management,www.torontorecycling.com ,"Jason Lim, Chief Executive Officer<br />jason@torontorecycling.com<br /> 905-881-0999 Ext. 222",Richmond Hill, We Remarket and Recycle IT Assets(Computers/Laptops/Monitors/LCDs/TVs/etc) for ICIs clients. 
Toronto Renewable Energy Co-operative ,Energy Efficiency and Renewable Energy,www.trec.on.ca ,"David Timm, Project Manager<br />info@trec.on.ca<br /> 416-977-5093",Toronto,"Provides public education and outreach on the benefits of renewable energy and community-based green power solutions, develops projects and provides technical assistance for real, on-the-ground community-focused green power projects, and advocates for progressive renewable energy policy."
Toxprobe Inc.,Consulting;Research and Development,www.toxprobe.com ,"Pavel Muller, Ph. D., President<br />mullerpavel@toxprobe.com<br /> 416-467-5106",Toronto,"Provides consultation services in environmental and occupational health, toxicology, risk assessment, management and communication. "
Trancels Construction Technologies ,Energy Efficiencyand Renewable Energy,www.trancels.com ,"Gene Latour, Director of Marketing<br />genel@trancels.com<br /> 416-410-2564",Toronto," Innovative construction technologies and products, mainly with structural and environmental applications utilizing FRP composite reinforcement, synthetic toppings and aerated slabs. "
Trans-cycle Industries Ltd.,Waste Management,www.transcycle.ca ,"Peter Demeter, Vice President<br />canada.tci.pcb@on.aibn.com<br /> 905-697-5997",Kirkland Lake, PCB Remediation recycling and destruction
Transition Plus Sustainability Solutions Inc. ,"Consulting;Education, Training and Information;Environmental Management Systems",www.sustainabilitycoaching.ca ,"John Walker, President and Chief Executive Officer<br />jwalker@sustainabilitycoaching.ca<br /> 416-203-7906",Toronto,"Our coaching framework and suite of facilitated discovery, envisioning and opportunity mapping tools offer unparalleled clarity around how to realize commercial opportunities through sustainability."
Tread Lightly,Energy Efficiency and Renewable Energy,www.treadlightly.ca,"Heather Gray, Owner<br />heather@treadlightly.ca<br /> 519-826-7555",Guelph," We are a website based retailer of green-living, environmentally friendly products."
Tri-Phase Group,Remediation,www.triphasegroup.com,"Atrache Camille, Chief Operating Officer<br />catrache@pcbdisoposal.com<br /> 905-823-7965 Ext. 25",Mississauga,"An environmental remediation company offering a full line of on-site services (e.g. asbestos and mold abatement, demolition and decommissioning, soil clean up and remediation environmental services, PCB Management)."
Trojan Technologies Inc.,Equipment,www.trojanuv.com ,"Diana Cunningham, Invester Relations Manager<br />dcunningham@trojanuv.com<br /> 519-457-3400 Ext. 2214",London," Designs, manufactures and sells UV systems for municipal wastewater and drinking water facilities, as well as for the industrial, commercial and residential markets. The company also provides UV treatment for the removal of toxic chemicals from water. "
EXP Services Inc.,"Air Pollution Prevention and Control;Energy Efficiency and Renewable Energy;Contracting and Engineering;Consulting;Education, Training and Information;Environmental Management Systems;Environmental Design and Architecture;Research and Development;Remediation;Waste Management;Water and Wastewater Management",www.exp.com,"Rob Petrov, National Marketing Manager<br />rob.petrov@trow.com<br /> 905-796-3200 Ext. 3022",Brampton," Specializes in Buildings, Environment, GeoScience, Infrastructure, and Materials and Quality Management."
Try Recycling,Waste Management,www.tryrecycling.com ,"Jim Graham, President<br />jim.graham@tryrecycling.com<br /> 519-858-2199",Middlesex Center,"Recycles construction, demolition and solid wastes. "
Tulloch Engineering and Surveying ,Contracting and Engineering;Consulting;Environmental Design and Architecture;Water and Wastewater Management,tulloch.ca,"Marshall Thompson, Project Engineer<br />thompson@tulloch.on.ca<br /> 705-842-3372",Thessalon,"Provides consulting engineering services;  has expertise in completion of Class Environmental Assessments, Environmental Audits and Environmental Inspections during construction of transportation and land development projects."
Tulsar Canada Ltd.,Water and Wastewater Management,www.tulsar.com ,Bob Irwin<br />birwin@tulsar.com<br /> 519-748-5055,Kitchener," Environmental automation company. SCADA systems, PLC and electromechanical control panels, non-mercury level controls"
Turf Care Products Canada,Equipment,www.turfcare.ca,"Ronald Craig, President<br />ronc@turfcare.ca<br /> 905-836-0988 Ext 218",Newmarket, Sales and service throughout Eastern Canada for commercial turf maintenance and irrigation systems
U-Box-It,Environmental Management Systems,www.uboxit.com ,"Tony Mammone, V.P. Logistics<br />stuart.weinstein@7soo.com<br /> 1-877-782-6948",Toronto, Offers a one time use container designed specifically for the Do-It-Yourself home renovation and clean up. The U-Box-It container was developed to eliminate the large bulky metal containers which take up space and to avoid damage to driveways and parking lots. 
"University of Toronto, Department of Physical and Environmental Sciences ","Air Pollution Prevention and Control;Analytical Services, Data Collection and Analysis;Education, Training and Information;Remediation",,"Donald Cormack, Professor and Chair<br />donald.cormack@utoronto.ca<br /> 416-287-7197",Toronto," Department of Physical and Environmental Sciences University of Toronto, Scarborough"
Upper Canada Organic Products,Energy Efficiency and Renewable Energy;Remediation; Water and Wastewater Management,www.ucorganic.ca,"David Smorenburg, President<br />info@ucorganicproducts.com<br /> 416-233-3205",Toronto," Distributors of low and minimum risk solutions for emission control, fuel economy, pest control."
Urban and Environmental Management Inc.,Environmental Management Systems,www.uemconsulting.com ,"Rublyn Casino, Marketing Manager<br />rcasino@uemconsulting.com<br /> 905-212-9722 Ext. 30",Mississauga, Engineering Consulting Firm
Urban Tree Salvage,Waste Management,www.urbantreesalvage.com ,"Sean Gorham, President<br />sean@urbantreesalvage.com<br /> 647-438-7516",Scarborough," Salvaging logs from urban dumpsites, and turning into kiln dried lumber."
URS Canada Inc. ,"Air Pollution Prevention and Control;Analytical Services, Data Collection and Analysis;Energy Efficiency and Renewable Energy;Consulting;Environmental Management Systems;Environmental Design and Architecture;Remediation;Waste Management;Water and Wastewater Management",www.urs.ca ,"David Legault, Manager Environmental Services<br />david_legault@urscorp.com<br /> 905-882-4401 Ext 548",Markham," Specializes in environmental site assessments, clean-ups, property redevelopment, due diligence audits, site decommissioning, air monitoring, permitting, and environmental management systems. "
US Filter/Wallace and Tiernan ,Equipment,,"Wayne Harrison, District Sales Manager<br />harrisonw@usfilter.com<br /> 905-944-2800 Ext 2777",Markham," Over 90 years of experience in the design and manufacture application and service of chemical feed equipment and various analytical instruments (primarily chlorie residual measurement) - e.g. gas chlorination/de-chlorination, ultraviolet disinfection, pumps."
Valcoustics Canada Ltd.,Consulting,www.valcoustics.com,"Alfred Lightstone, President<br />solutions@valcoustics.com<br /> 905-764-5223 Ext 226",Richmond Hill," A firm of consulting engineers, specializing in acoustics (assessment, measurement and control of noise and vibration) - environmental and architectural."
Van Dyk Baler Corp.,Equipment;Waste Management,,"Don Holliday, Canadian Regional Sales Manager<br />dholliday@vandykbaler.com<br /> 519-940-3000",Orangeville, Van Dyk Baler Corporation is the exclusive representative of Bollegraaf Recycling Machinery and Lubo B.V. Screening and Recycling Systems in the North and Latin American Markets. 
Vertex Environmental Inc.,Contract and Engineering,vertexenvironmental.ca,"Bruce Tunnicliffe, Environmental Engineer<br />brucet@vertexenvironmental.ca<br /> 519-249-9184",Cambridge, Environmental Contracting Work Permanganate Injections
Vicinia Corporation,"Analytical Services, Data Collection and Analysis:Consulting;Education, Training and Information;Environmental Management Systems;Equipment;Water and Wastewater Management",vicinia.ca ,"Hauschild Chris, President<br />mail@vicinia.ca<br /> 705-792-5750",Barrie," Environmental, health and safety services, HAZMAT management,  auditing and inspections, training development and instruction.  "
Vida Stripinis and Associates Limited ,Contract and Engineering;Consulting;Water and Wastewater Treatment,,"Vida Stripinis, President<br />vida.stripinis@sympatico.ca<br /> 905-279-2085",Mississauga," Engineering and Environmental consulting firm, specializing in wastewater and drinking water treatment, regulatory approval and compliance matters."
Vigor Clean Tech Inc.,Energy Efficiency and Renewable Energy,www.vigorcleantech.com ,"Jerry Enns, Vice President<br />info@vigorcleantech.com<br /> 519-896-2610",Kitchener, Generator of Renewable Energy utilizing Patented Hydro Kinetic and Small Wind 'Gorlov Helical Turbines'. Capture solar through ground and roof mounted solar pv tracker systems.
Virtual Engineers Collective Inc.,"Air Pollution Prevention and Control;Analytical Services, Data Collection and Analysis;Energy Efficiency and Renewable Energy;Contract and Engineering;Consulting;Environmental Managemtn Systems;Environmental Design and Architecture;Services;Waste Management;Water and Wastewater Management",www.vecollective.com ,"R. Anthony Warner, President<br />rawarner@vecollective.com<br /> 905-707-0704 Ext. 222",Richmond Hill, Offer effective strategic innovative solutions to challenging process changes and environmental issues.
W. Ralston (Canada) Inc.,Waste Management,www.ralston.ca ,"Wayne Riviere, Marketing Manager<br />wriviere@cttgroup.com<br /> 905-791-3980 Ext. 227",Brampton," A leading Canadian manufacturer of garbage bags and polyethylene film products, including BIOSAK compostable plastic films and bags."
W.D. Hooper and Sons Ltd.,Energy Efficiency and Renewable Energy;Equipment;Remediation;Water and Wastewater Management,www.wdhopperwaterwells.com ,"Ron Hopper, Manager<br />wdhopper@tcc.on.ca<br /> 1-888-522-1737",Seaforth," Provides water well drilling and environmental drilling for water source heat pump wells and re-injection wells, down hole video services, in-hole flow profiling, pumping tests, submersible pumps, water level meters, digital flow meters and related equipment."
Walters Forensic Engineering Inc.,Contract and Engineering,www.waltersforensic.com ,"Fred Stanley, Engineer<br />fstanley@waltersforensic.com<br /> 416-971-8900 Ext. 202",Toronto,
Wardrop Engineering Inc.,"Air Pollution Prevention and Control;Analytical Services, Data Collection and Analysis;Contract and Engineering;Consulting;Environmental Management Systems;Remediation;Water and Wastewater Management",www.wardrop.com ,"Jim Mucklow, Senior Hydrogeologist<br />thunderbay@wardrop.com<br /> 807-345-5453",Thunder Bay," A Canadian, full service environmental, engineering and information technology consulting firm with offices across Canada, the US and Africa."
Wasser Resources Inc.,Consulting,wasserresources.com,"Leon Wasser, President<br />leon.wasser@sympatico.ca<br /> 416-473-4614",Toronto,"Consults to the broad ennvironmental sector by providing business development, administrative and operational support to businesses involved in the environmental sector."
Waste Care Services Ltd.,Waste Management,,"Jim Halloran, President<br />wastecare@magma.ca<br /> 613-443-7788",Vars,
Waste Management of Canada Corporation,Waste Management,www.wm.com ,"Marietta Poole, Senior Administrative Assistant<br />mpoole@wm.com<br /> 905-633-3981",Burlington,"Leads the development and implementation of technical programs and procedures necessary to ensure advanced protection of the environment, compliance with governmental regulations and implementation of state-of-the-art technology."
Waste Services (CA) Inc.,Waste Management,www.wasteservicesinc.com,"Peggy Offley, Executive Assistant<br />poffley@wsii.ca<br /> 613-824-7289 Ext. 223",Ottawa-Navan, Waste Services - Waste and Recycling Collection / Landfill Sites / Compactors Sales and Service / Material Recycling Facilities / Transfer Stations.
Waste Solutions Canada,Energy Efficiency and Renewable Energy;Consulting;Waste Management,www.wastecanada.com,"Chris Hollister, Waste Reduction Specialist<br />chris@wastecanada.com<br /> 877-488-4088",Tillsonburg,Specializes in the reduction of costs associated with waste management. Our proven system can be applied to any business who has a waste or recycling expense. 
Waste Solutions Group Inc.,,wastesolutions.ca,"Jason Tower, Partner<br />jason@wastesolutions.ca<br />416 744-9183 ex 222",Toronto," Manufacturers / service providers of apartment compactors, TriSorter Recycling Systems, containers, odour control systems, garbage chute and compactor cleaning. The Apartment Specialists"
Water and Earth Science Associates Ltd.,Air Pollution Prevention and Control;Consulting;Environmental Management Systems;Environmental Design and Architecture;Remediation;Waste and Wastewater Management,www.wesa.ca ,"Brian Lewis, Business Devlopment and Analitical Consultant<br />blewis@wesa.ca<br /> 519-742-6685",Carp,"Works with industry and Government in the areas of Assessments, Engineering, Geosciences, Industrial Hygiene, Hydrogeology, Remediation and Training. "
Water Bridge Environmental,Water and Wastewater Management,www.waterbridge.ca ,"Brian Young, President and Senior Consultant<br />waterbridge@cogeco.ca<br /> 905-919-0331",Burlington, Industrial Wastewater Treatment Consultants and brokers of equipment and chemicals.
Water Matrix,Energy Efficiency and Renewable Energy,www.watermatrix.com ,"Sean Kimmons, Vice President National Sales Manager<br />kimmons@canada.com<br /> 905-850-8080 Ext. 230",Woodbridge, Water Conservation consultants Water COnservation product manufacturer Water Conservation service provider
Waterloo Barrier Inc.,Remediation,www.waterloo-barrier.com ,"Robin Jowett, Manager<br />robin@waterloo-barrier.com<br /> 519-856-1352",Rockwood,"A containment wall for the control of contaminated groundwater or soil gases. Formed of steel sheet piling with specially designed sealable joints, the Barrier offers a long service life, exceptionally low hydraulic conductivity, and documentable construction."
Waterloo Biofilter Systems Inc.,Water and Wastewater Management,www.waterloo-biofilter.com ,"E. Craig Jowett, President<br />info@waterloo-biofilter.com<br /> 519-856-0757",Rockwood,"On-site treatment of residential, commercial and communal sewage wastewaters, fully scalable from 2-bedroom house/ cottage to more than 200,000 L/day. A flexible, modular system with low maintenance and energy requirements, and a small footprint. "
Watson Process Systems,"Air Pollution Prevention and Control;Analytical Services, Data Collection and Analysis;Energy Efficiency and Renewable Energy;Contracting and Engineering;Consulting;Environmental Management Systems",www.watsonprocess.com ,"David Cui, Technical Director<br />contact@watsonprocess.com<br /> 905-475-2511",Mississauga, Gas Process Equipment and Air Pollution Control and Protection
WCI Environmental Solutions Inc.,Contracting and Engineering;Equipment;Waste Management,www.wcienvironmental.ca ,"Phil Kerrigan, Vice-President<br />phil@wciwasteconversion.ca<br /> 613-741-4242",Ottawa," Specializes in the design, development and operation of sustainable waste systems, focusing on the organic residue and waste wood components of the solid waste stream, developing and promoting composting and wood recycling technologies that generate value added end products. "
WE Communications Inc.,"Consulting;Education, Training and Information",www.watertreatment.ca ,"Todd Latham, President<br />todd@renewcanada.net<br /> 416-444-5842",Toronto," A national, full service business publishing, creative design and marketing communications firm. Publishers of Canadian Water Treatment and ReNew Canada magazines - both serving the environmental industries. "
WEC Ltd.,Energy Efficiency and Renewable Energy;Contracting and Engineering,www.greentown.ca ,Robin Wentzel<br />wec@greentown.ca<br /> 613-255-7666,Ottawa,"Provides comprehensive, independent renewable energy consulting and project development services, from small on-site systems to utility scale commercial projects, concept to completion"
Well Busters Canada Inc.,Contracting and Engineering;Equipment;Remediation;Water and Wastewater Management,www.wellbusters.com ,"Abe House, Manager<br />ahouse@wellbusters.com<br /> 613-968-1474",Belleville," We are a network of Ministry of the Environment (MOE) licensed water well contractors, consultants, technicians and assistants that provide prompt and reliable well and water supply services including well upgrades, abandonment, rehabilitation, flow testing and certification. "
WESA (Water and Earth Science Associates) Ltd. ,"Air Pollution Prevention and Control;Analytical Services, Data Collection and Analysis; Consulting;Education, Training and Information;Environmental Management Systems;Remediation;Water and Wastewater Management",www.wesa.ca ,"Brigitte Roth, EMS Specialist / Senior Environmental Auditor<br />broth@wesa.ca<br /> 519-742-6685 Ext. 219",Kitchener," WESA is a leading environmental sciences, health, safety and engineering consulting group providing professional services to business, industry, government and other professionals."
Wessuc Inc.,Consulting;Waste Management;Water and Wastewater Management,www.wessuc.com ,"Hank Vanveen, Vice President<br />hank@wessuc.com<br /> 519-752-0837",Brantford," Wessuc provides a wide range of services to municipal, industrial, construction, and agricultural clients ranging from biosolids management, hydrovacing, and confined space entry tank cleaning, to technical assistance, Nutrient Management Planning, waste haulage, and mobile dewatering."
WH Engineering,Air Pollution Prevention and Control;Contracting and Engineering;Equipment,www.wheng.ca ,"Weihai (Wayne) Xue, P. Eng.<br />wayne@wheng.ca<br /> 416-335-0100",Scarborough, Turn-Key projest services for air pollution prevention and control. 
"White, Duncan, Linton LLP",Services,www.kwlaw.net,"Steve O'Melia, Lawyer<br />sjo@kwlaw.net<br /> 519-886-3340",Waterloo," Full-service law firm that specializes in municipal, land use planning, expropriation and environmental law."
Wiebe Industrial Sales,Equipment,,"Larry Wiebe, Manager<br />lwiebe@tbaytel.net<br /> 807-767-8957",Thunder Bay," Supplier of aboveground fuel storage tanks and systems, mobile refueling tanks, pumps, Hazardous containment buildings, Spill kits, and absorbents."
Willms and Shier Environmental Lawyers,Services,www.willmsshier.com ,"Doug Petrie, Partner<br />dpetrie@willmsshier.com<br /> 416-862-4835",Toronto," Full service environmental law firm. Defense of prosecution, appeals of orders and approvals; contaminated site issues; environmental assessment; toxic tort civil litigation;"
Wind Energy Solutions Canada,Energy Efficiency and Renewable Energy,windenergysolutions.ca ,"Johan De Leeuw, Director<br />info@windenergysolutions.ca<br /> 905-597-8791",Smithville," Brings together WES Netherlands to deliver turnkey wind energy projects, service, and maintenance across the North American continent. Provides wind turbines up to 500 kilowatts for agricultural operations, medium-sized commercial business, and small utilities. "
Wind Oak and Dove,"Education, Training and Information",www.windoakdove.ca ,Dr. Joanna Beyers<br /> 416-651-5930,Toronto,"Leadership development for sustainability: seminars and coaching - Team coaching - Cross-disciplinary issues, research and conflict management - Environmental Education - Stakeholder relations and meetings"
Wind Simplicity,Energy Efficiency and Renewable Energy,www.windsimplicity.ca ,"Sharolyn Vettese, Chief Executive Officer<br />svettese@windsimplicity.ca<br /> 416-222-9807",Toronto," The high-efficiency, compact and noise-free Windancer (3kW, 7 kW and 23 kW) horizontal wind turbine is adaptable to urban, rural, commercial and industrial use. The Windancer is also lightweight, portable, vibration-free, safe, low maintenance/easily installed and durable. "
Windsor Waste Audit and Assessment,Waste Management,,"Todd Pike, President<br />windsorwasteaudit@yahoo.ca<br /> 519-919-1706",Lakeshore, CONDUCT WASTE AUDITS AND AASSESSMENTS OF RECYCLING PROGRAM PERFORMANCE.
Wozco Computer Recycling,Waste Management,,"Aaron Wozniak, President<br />aaron@wozco.ca<br /> 519-936-9493",London," Wozco is an environmentally responsible recycler for computers, computer peripheral devices and precious metal bearing scrap."
WrapOptions.com,Waste Management,www.WrapOptions.com,L. Griffin<br />sales@wrapoptions.com<br /> 905 257-1119,Oakville, WrapOptions is an environmentally-friendly alternative to traditional gift wrap made of a high quality natural hemp fabric that contrasts beautifully with the 100% silk satin ribbon trim. 
Wright Environmental Management Inc.,"Energy Efficiency and Renewable Energy;Consulting;Education, Training and Information;Environmental Management Systems;Equipment;Research and Development;Remediation;Waste Management",www.wrightenvironmental.com,"Edward Boyd, Manager Sales and Marketing<br />eboyd@wrightenvironmental.com<br /> 905-881-3950 Ext. 208",Richmond Hill,"Supplies continuous loading, in-vessel compost technology, with internal mixing and the addition of water. "
WSI Waste Services,Waste Management,www.wasteservicesinc.com,"Normand G. Castonguay, P.Eng.<br />ncastonguay@ceri.biz<br /> 613-824-7289 Ext. 226",Ottawa-Navan, Landfill Site / Waste and Recycling Collection / Compactors Sales and Service / Material Recycling Facilities / Transfer Stations
XCG Consultants Ltd.,"Analytical Services, Data Collection and Analysis;Consulting;Education, Training and Information;Environmental Management Systems;Remediation;Waste Management;Water and Wastewater Management",www.xcg.com ,"Deborah Molloy, Marketing Coordinator<br />deborahm@xcg.com<br /> 905-829-8880 Ext 263",Oakville,"Environmental engineering firm employing a multi-disciplinary team of environmental specialists and offering a full range of environmental services (e.g.site assessments and audits, remediation and decommissioning, hydrogeological investigations)."
Yuma Eng.,Air Pollution Prevention and Control;Energy Efficiency and Renewable Energy;Contracting and Engineering;Consulting;Environmental Management Systems;Environmental Design and Architecture;Remediation;Research and Development;Waste Management,,"Irina Klimento, Principal<br />yumaeng@gmail.com<br /> 819-595-0627",Gatineau,"Provides range of environmental services - for example: water/wastewater treatment and distribution, hydraulics and modeling, stormwater management, erosion and sedimentation control, site remediation/delineation, pollution prevention plans. "
Zero Waste Energy Systems Inc.,Energy Efficiecny and Renewable Energy;Environmental Management Systems;Envrionmental Design and Architecture;Equipment;Research and Development;Waste Management,www.zwes.ca ,"Bruce Coxhead, President and Chief Operating Officer<br />bcoxhead@zwes.ca<br /> 905-265-0314",Kleinburg,"Provides sustainable, cost-effective solutions for biomass and hazardous waste reduction; is positioned to provide a variety of proven, innovative solutions for specific waste applications. "
Zimmark Inc.,Environmental Management Systems; Equipment;Water and Wastewater Management,www.zimmark.com ,"Paul Bokrossy, Vice President of Sales and Marketing<br />pbkrossy@zimmark.com<br /> 905-632-5410 Ext. 114",Burlington,"Provides On-Site Industrial Fluid Maintenance Programs designed to minimize fluid usage and liquid waste generation rates, through on-site recycling and waste treatement initiatives. "
Zorbit Technologies Inc.,Waste Management,www.peatsorb.ca ,"Meredith Bond, President<br />mbond@peatsorb.ca<br /> 905-855-8500 Ext 2",Mississauga,"Offers solutions for spill control problems (e.g. Zorbit markets Peat Sorb™, a 100% natural oil absorbent manufactured from Canadian sphagnum peat moss). "
