NAME,BUSINESS_DESC,TYPE_CODE,TYPE_DESCRIPTION,OBJECTID,SHAPE,LICENCE_ACCOUNT_NUMBER,LICENSE_LOCATION
GET-ER-MAID,JANITOR AND/OR WINDOW CLEANING/3 OR LESS - HBB MINOR,8036,8036 - Janitor And/Or Window Cleaning,29514,,4077522,514 PEARSON RD
KDD PLUMBING & HEATING LTD.,Plumbing HVAC,1566,1566 - Contractors,29519,,4088758,569 GALBRAITH CRT
BALDEV SINGH SIDHU LEASING LTD,Labor Leasing,3340,"3340 - Management, Administration & Consultants",29524,,4086818,568 GALBRAITH CRT
PILATES FUNCTION,REHAB & CONDITIONING PILATES (HBB MINOR - MOBILE),2020,2020 - Fitness and Recreational Sports,29544,,4080663,406-688 LEQUIME RD
HIBBY GAMES,GAME DEVELOPER - HBB MINOR,2650,2650 - Information Technology,29547,,4078956,1440 FEEDHAM AVE
APPLE CABS,CARRIER - TAXI DRIVER - HBB MINOR,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",29555,,4057318,1469 FEEDHAM AVE
DYNAMIC DIGITIZING & DESIGN,HOME OCCUPATION-MAJOR-DIGITIZING & DESIGN OF LOGOS,2650,2650 - Information Technology,29576,,4035009,612 DILLON CRT
STOCKWELL-OK ESTATE,MANAGEMENT COMPANY - PROPERTY,3350,3350 - Management Company - Property,29587,,4089149,4874 QUARRY CRT
A.A.E. & G. MANAGEMENT LTD.,Manage one property,3340,"3340 - Management, Administration & Consultants",29588,,4087870,4851 QUARRY CRT
THE CHATSWORTH RETIREMENT SUITES AND BUNGALOWS,"ROOMING HOUSE, PRIVATE NURSING/REST HOME",7325,"7325 - Rooming House, Private Nursing/Rest Home",29592,,4064254,1831 PARKVIEW CRES
JEAN ANN CLINGAN HAIR DRESSING,HAIRSTYLIST OR BARBER,2400,2400 - Hairstylist or Barber,29592,,4086107,1831 PARKVIEW CRES
HAULCO,haulage/Transportation,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",29609,,4088854,104-1420 TERAI RD
RON & ZEL CLEANING COMPANY,CLEANING CONTRACTORS - HBB MINOR,1566,1566 - Contractors,29609,,4085629,107-1420 TERAI RD
HOMERUN ROOFING INC.,ROOFING CONTRACTOR - HBB MINOR,1566,1566 - Contractors,29609,,4084027,110-1420 TERAI RD
EMERGENT MECHANICAL ENGINEERING LTD.,MECHANICAL ENGINEERING - HBB MINOR,5099,5099 - Professional Services,29609,,4084598,108-1420 TERAI RD
SHED SHED,Bicycle Service,8000,"8000 - Personal, Household & Other Services",29609,,4086705,103-1420 TERAI RD
ARJ GRIERSON VENTURES,HBB MINOR - BUILDING CONTRACTOR,1566,1566 - Contractors,29619,,4073378,574 GOWEN PL
INDEPTH COUNSELLING SERVICES,COUNSELLING - HBB MINOR,2550,2550 - Health Services,29635,,4085356,5018 TREADGOLD CRT
GARDEN HOUSE,APARTMENT,7310,7310 - Apartment,29636,,4059936,205 HIGHWAY 33 E
WILLOWSTONE ACADEMY,PRIVATE CHRISTIAN ELEMENTARY SCHOOL (TEACHING),8065,8065 - Commercial or Private Schools & Training Services,29655,,4029337,4091 LAKESHORE RD
WILLOWSTONE ACADEMY,PRESCHOOL & CHILD CARE - 5 ROOMS 420SQM 84 CHILDREN,8065,8065 - Commercial or Private Schools & Training Services,29655,,4085860,4091 LAKESHORE RD
SHINE ON CLEANING CO.,JANITOR AND/OR WINDOW CLEANING/3 OR LESS - HBB MINOR,8036,8036 - Janitor And/Or Window Cleaning,29657,,4086104,202-660 LEQUIME RD
KDM PLUMBING & GAS FITTING,PLUMBING CONTRACTOR - HBB MINOR,1566,1566 - Contractors,29657,,4080004,112-660 LEQUIME RD
"HOME CARE ANGELS, INC.",RESIDENTIAL CLEANING - HBB MINOR,8036,8036 - Janitor And/Or Window Cleaning,29657,,4086439,205-660 LEQUIME RD
MARK GORDON ENTERPRISES,SPEAKING & COACHING PRACTISE - HBB MINOR,2550,2550 - Health Services,29657,,4086178,408-660 LEQUIME RD
NOTABLE ELECTRIC INC.,ELECTRICAL CONTRACTOR - HBB MINOR,1566,1566 - Contractors,29661,,4085465,1301-3168 VIA CENTRALE
ANALYTE PROJECTS LTD.,PROJECT MANAGEMENT CONSULTING - HBB MINOR,3340,"3340 - Management, Administration & Consultants",29661,,4081962,1301-3168 VIA CENTRALE
JP MAINTENANCE SOLUTIONS,INDUSTRIAL COMMERCIAL MAINTENANCE CONSULTING - HBB MINOR,3340,"3340 - Management, Administration & Consultants",29661,,4085239,2304-3178 VIA CENTRALE
TELUS HEALTH,MEDICAL SOFTWARE,2650,2650 - Information Technology,29662,,4068474,2002 ENTERPRISE WAY
SEEGER HOMES,REAL ESTATE CONSULTING,3340,"3340 - Management, Administration & Consultants",29663,,4069897,200 AMBRIDGEFELD RD
AUDI KELOWNA,"AUTO DEALER-NEW, SECONDHAND, USED",400,"400 - Auto Dealer - New, Secondhand, Used",29672,,4076229,2621 ENTERPRISE WAY
ALIGN NUTRITION,HOLISTIC NUTRITIONAL CONSULTANT  - HBB MINOR,2550,2550 - Health Services,29673,,4083811,244 BRIARWOOD RD
CMIT SOLUTIONS KELOWNA-OKANAGAN,IT SERVICES - HBB MINOR,2650,2650 - Information Technology,29681,,4083217,324 QUILCHENA DR
ALIGNING SERENITY,HOLISTIC PRACTITIONER - HBB MAJOR,2550,2550 - Health Services,29681,,4080823,324 QUILCHENA DR
JANA WENDLAND,SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,29715,,4084956,311 PROVIDENCE AVE
OSBORNE LOGISTICS INC,COURIER - SAME DAY SERVICE,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",29739,,4081160,3223 REID RD
THE VIEW WINERY INCORPORATED,MANUFACTURER - WINERY,3405,3405 - Manufacturer,29741,,4066875,1-2287 WARD RD
ALIVE COUNSELLING,ONLINE COUNSELLING - HBB MINOR,2550,2550 - Health Services,29744,,4086425,1668 SUNRISE RD
KELOWNA GUTTER CLEANERS,Gutter cleaning service company,8036,8036 - Janitor And/Or Window Cleaning,29759,,4086667,1608 SUNRISE RD
BLACK MOUNTAIN MAPPING INC,COMPUTER/DIGITAL MAPPING,2650,2650 - Information Technology,29763,,4059093,1611 SUNRISE RD
MACDONALD WALL SYSTEMS,STEELE FRAMING/DRYWALL CONTRACTORS - HBB MINOR,1566,1566 - Contractors,29766,,4073657,1623 SUNRISE RD
ASPIRA SOLUTIONS,"Small business bookkeeping, payroll, and administration.",8002,"8002 - Accountant, bookkeeper, auditor, and public stenographer",29766,,4086971,1623 SUNRISE RD
ABC OVERHEAD DOORS INC,OVERHEAD DOOR SALES & SERVICE,8052,8052 - Machine & Equipment Sales/Service,29785,,4072748,29-218 GLEN PARK DR
OLOFFS CONTRACTING LTD,EXCAVATING  CONTRACTOR - HBB MINOR,1566,1566 - Contractors,29785,,4077503,35-218 GLEN PARK DR
RYAN SEITZ RMT,Physiotherapy and massage therapy,2550,2550 - Health Services,29787,,4086700,3970 LAKESHORE RD
EMILY MONKMAN RMT,REGISTERED MASSAGE THERAPY,5099,5099 - Professional Services,29787,,4082203,3970 LAKESHORE RD
SUN CITY PHYSIOTHERAPY,PHYSIOTHERAPY OFFICE,5099,5099 - Professional Services,29787,,4080659,3970 LAKESHORE RD
SHELBY CHITTICK PHYSIOTHERAPY,Private Outpatient physiotherapy,5099,5099 - Professional Services,29787,,4089072,3970 LAKESHORE RD
KENALI HAIR SALON,HAIR & TANNING SALON,2400,2400 - Hairstylist or Barber,29787,,4079944,B-3968 LAKESHORE RD
"CUNANAN, VINCENT RT",Physical Therapy,2550,2550 - Health Services,29787,,4089002,3970 LAKESHORE RD
"LIM, JINELLE",PHYSIOTHERAPY,2550,2550 - Health Services,29787,,4089108,3970 LAKESHORE RD
PETER YEE PHYSIOTHERAPY,Physiotherapy,2550,2550 - Health Services,29787,,4089102,3970 LAKESHORE RD
7-ELEVEN CANADA INC,FUEL SERVICE STATION  8 HOSES,2300,2300 - Gasoline Or Fuel Service Station,29787,,4020788,3968 LAKESHORE RD
7-ELEVEN CANADA INC,RETAIL,7205,7205 - Retail,29787,,4020789,3968 LAKESHORE RD
CHAN FORTUNE RESTAURANT,TAKE OUT ONLY,7102,7102 - Restaurant,29787,,4083456,C-3968 LAKESHORE RD
MISSION SUPERWASH,CAR WASH,300,"300 - Automobile Body Repair and Paint Shop, detailing or car wash",29788,,4062034,3960 LAKESHORE RD
BELGO NURSERIES AND WEDDING CHAPPEL,PLANT SALES & WEDDING CHAPEL,7205,7205 - Retail,29789,,4069821,2547 BELGO RD
KIDS CREATIVE THERAPY,Occupational Therapy - Pediatrics,2550,2550 - Health Services,29791,,4087103,1495 GORDON DR
CREATIVE THERAPY CONSULTANTS,OCCUPATIONAL THERAPY,2550,2550 - Health Services,29791,,4075128,1495 GORDON DR
1138801 BC LTD.,BUILDING CONTRACTOR - HBB MINOR,1566,1566 - Contractors,29791,,4080486,1506-1160 BERNARD AVE
"MCMILLAN, DEBBIE",HAIRSTYLIST -  MOBILE - HBB MINOR,2400,2400 - Hairstylist or Barber,29791,,4059296,1104-1160 BERNARD AVE
CENTURIA DENTAL CLINIC,DENTIST,5099,5099 - Professional Services,29791,,4081554,5-1131 LAWSON AVE
KELOWNA GYNAECOLOGY & OBSTETRICS,GYNAECOLOGY AND OBSTETRICS PROFESSIONAL OFFICE,5099,5099 - Professional Services,29791,,4082828,3-1131 LAWSON AVE
SKINTEGRITY MEDICAL (DBA DRS. H & M DOCHERTY INC),MEDICAL CLINIC,5099,5099 - Professional Services,29791,,4085898,2-1499 GORDON DR
HEALTHWISE FAMILY PRACTICE,PHYSICIANS,5099,5099 - Professional Services,29791,,4073470,3-1499 GORDON DR
OIS FINANCIAL LTD,INSURANCE BROKER,7705,7705 - Trust/Insurance/Investment/Loan/Mortgage Company,29791,,4066533,6-1131 LAWSON AVE
LEGACY OF DESIGNS LTD,Home Construction (New and Reno),1566,1566 - Contractors,29791,,4088053,707-1160 BERNARD AVE
SRM PHARMACY INC DBA SHOPPERS SIMPLY PHARMACY #3079,RETAIL      279 - 557 SQ. METRES,7205,7205 - Retail,29791,,4073560,1-1499 GORDON DR
HOMESAFE DESIGNATED DRIVERS,"CARRIER - RESIDENT,NON-RESIDENT,TAXICAB",1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",29791,,4075985,603-1160 BERNARD AVE
HI TEC BULDING SERVICES INC.,HANDYMAN - HBB MINOR,1566,1566 - Contractors,29791,,4076481,902-1160 BERNARD AVE
DR. G. PAGDIN INC.,GENERAL PRACTITIONER,5099,5099 - Professional Services,29791,,4076842,1-1131 LAWSON AVE
SEAN DANCE FITNESS,"FITNESS, PERSONAL TRAINING AND PARKINSONS DISEASE FITNESS - HBB MINOR",2020,2020 - Fitness and Recreational Sports,29794,,4085255,883 PATTERSON AVE
THE FLOUR BEAN,CAFE,7102,7102 - Restaurant,29796,,4079958,2655 PANDOSY ST
KAKES BY KATHIE,BAKER,700,700 - Bakery,29796,,4074562,2655 PANDOSY ST
MISSION PARK FLOWERS,FLORIST STORE,7205,7205 - Retail,29796,,4077074,2655 PANDOSY ST
DEVOTION NAIL SPA AND SALON,SALON & SPA,850,850 - Beauty Parlour and/or Aesthetic Services,29796,,4075837,2653 PANDOSY ST
ROMANESQUE INTERLOCK & TILE,HBB MINOR - CONTRACTOR - TILE & PAVING STONE,1566,1566 - Contractors,29798,,4026636,940 ARBOR VIEW DR
"LEMKE, BERT",INSTALL SECURITY SYSTEMS & SERVICE,8052,8052 - Machine & Equipment Sales/Service,29827,,4022456,2529 SELKIRK DR
CHER'D SPACE HOLISTIC HEALING HOUSE,ALTERNATIVE HEALTH CARE - HBB MAJOR,2550,2550 - Health Services,29834,,4080684,2268 FAIRMONT AVE
DON-O-RAY- VEGETABLES,FRUITSTAND,2200,2200 - Farm Retail Sales,29850,,4063687,3443 BENVOULIN RD
BETKER HORSE PARK,BOARDING HORSES,120,120 - Animal and Pet Services,29851,,4082833,3527 BENVOULIN RD
MAX EISNER CONSULTING & ACCOUNTING,Public Accountant,8002,"8002 - Accountant, bookkeeper, auditor, and public stenographer",29853,,4089343,114-690 LEQUIME RD
DUSTYN BAULKHAM CONSULTING INC.,HBB MINOR - CONSULTING CUSTOMER & EMPLOYEE EXPERIENCE,3340,"3340 - Management, Administration & Consultants",29861,,4076100,4358 HOBSON RD
REBELLIOUS UNICORNS PRODUCTION COMPANY INC,EVENT PLANNING - HBB MINOR,3340,"3340 - Management, Administration & Consultants",29861,,4080452,4358 HOBSON RD
AGENA HOLDINGS INC,TRAVEL SERVICE/TOUR AGENT,8088,8088 - Travel Service/Tour Agent,29863,,4066089,311-533 YATES RD
ZM1 MY BARBER PLACE,MOBILE HAIRSTYLIST - HBB MINOR,2500,2500 - Hairstylist - Itinerant,29863,,4081494,304-551 YATES RD
CASSILEIGH PHOTOGRAPHY,Wedding & Casual Photography,8062,"8062 - Photography, Audio and/or Video Engineering or Production",29863,,4088788,114-533 YATES RD
BREANNE BENOIT CONSULTING LTD,BUSINESS CONSULTING - HBB MINOR,3340,"3340 - Management, Administration & Consultants",29863,,4080594,417-533 YATES RD
PAMS NETWORK,AVIATION SOFTWARE,2650,2650 - Information Technology,29863,,4083913,306-551 YATES RD
SHOPITY PRO,"Web design, SEO, and internet marketing.",2650,2650 - Information Technology,29863,,4087026,402-563 YATES RD
OPEN AIR BUILDERS INC,Outdoor Construction,1566,1566 - Contractors,29863,,4087259,303-567 YATES RD
THE YARD GUY LAWN MAINTENANCE AND SNOW REMOVAL,LANDSCAPING/GARDEN  (SERV ONLY) HBB MINOR,8042,8042 - Landscaping/Garden  (Service Only),29863,,4086130,205-571 YATES RD
LOST PORTAL DESIGNS,Merchandise & Accessories,3300,3300 - Mail Order or Outside Merchant Sales,29863,,4088907,205-571 YATES RD
PLANT APPAREL,Online Clothing Store,3300,3300 - Mail Order or Outside Merchant Sales,29863,,4088751,407-539 YATES RD
SR CONTRACTING,Landscape and Snow Removal,1566,1566 - Contractors,29863,,4089074,111-563 YATES RD
JOYFUL BEADING,Online sales of handcrafted jewellery.,3300,3300 - Mail Order or Outside Merchant Sales,29863,,4087609,407-539 YATES RD
DAN BARCLAY ENTERPRISES LTD,BOOKKEEPING - HBB MINOR,8002,"8002 - Accountant, bookkeeper, auditor, and public stenographer",29863,,4081675,402-567 YATES RD
LAKESIDE PAVING,PAVING CONTRACTOR - HBB MINOR,1566,1566 - Contractors,29863,,4079524,101-563 YATES RD
DERUITER CONSULTING,"Consulting, Accounting, Bookkeeping",8002,"8002 - Accountant, bookkeeper, auditor, and public stenographer",29863,,4086506,200-547 YATES RD
"BUAT, AARON",KINESIOLOGIST - ITINERANT & HBB MINOR,5099,5099 - Professional Services,29863,,4080926,112-555 YATES RD
FINANCIAL SAVVY CONSULTING INC,Finance and Accounting Consultant,3340,"3340 - Management, Administration & Consultants",29863,,4088673,107-567 YATES RD
RELVAS CATERING,MOBILE CATERING - HBB MINOR,7100,7100 - Restaurant - Catering or Meal Prep,29868,,4075554,1216 WILSON AVE
ARROWLEAF LANDSCAPES,LANDSCAPING/GARDEN  (SERV ONLY) - HBB MINOR,8042,8042 - Landscaping/Garden  (Service Only),29876,,4080917,1750 MARKHAM CRT
"VANDERHOEK, LESLIE",HAIR SALON,2400,2400 - Hairstylist or Barber,29897,,4036851,778 MARIN CRES
"ZHANG, JIAMEI",Bed and Breakfast - 1 Bedroom,7315,7315 - Bed & Breakfast,29909,,4088668,675 DEVONIAN AVE
CARPE DIEM TOURS LTD,Wine tours,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",29910,,4086903,679 DEVONIAN AVE
SANDHER ROOFING,ROOFING AND BUILDING CONTRACTOR - HBB MINOR,1566,1566 - Contractors,29919,,4073325,1136 HENDERSON DR
RAININCANADA,SHORT-TERM RENTAL ACCOMMODATION,7316,7316 - Short-Term Rental - Principal Residence,29930,,4086914,1113 HENDERSON DR
DRONE & ROAM MEDIA SOLUTIONS,"PHOTOGRAPHY, AUDIO AND/OR VIDEO HBB MINOR",8062,"8062 - Photography, Audio and/or Video Engineering or Production",29932,,4084311,1125 HENDERSON DR
DRAPER IMMIGRATION CANADA,IMMIGRATION CONSULTANT - HBB MINOR,3340,"3340 - Management, Administration & Consultants",29937,,4080884,103-245 SNOWSELL ST
MIKA DESIGN CO,INTERIOR DESIGN,1566,1566 - Contractors,29938,,4069706,13-380 PROVIDENCE AVE
AZAMA CONSULTING LTD,DRAFTING AND DESIGN SERVICE,8024,8024 - Drafting and Design Service,29938,,4081117,26-380 PROVIDENCE AVE
FANTASY TILE LTD,TILE & CERAMIC CONTRACTOR - HBB MINOR,1566,1566 - Contractors,29938,,4081185,17-380 PROVIDENCE AVE
PHOEBE GERBRANDT HAIR,"HAIRSTYLIST, BARBER/BEAUTY PARLOUR",2400,2400 - Hairstylist or Barber,29945,,4083953,102-1125 BERNARD AVE
KELOWNA CELL REPAIR,ELECTRONIC REPAIRS,8074,8074 - Service & Maintenance of Large Appliances,29945,,4068907,103-1125 BERNARD AVE
ACE OF HEARTS DOG GROOMING,DOG GROOMING,120,120 - Animal and Pet Services,29945,,4072328,101-1125 BERNARD AVE
NATURA VERITAS,HERBAL CONSULTING SERVICES - HBB MINOR,2550,2550 - Health Services,29947,,4083927,2966 SPRINGFIELD RD
NORTHERN PHILIPPINES CLEANING SERVICES,INDUSTRIAL AND OFFICE CLEANING - HBB MINOR,8036,8036 - Janitor And/Or Window Cleaning,29947,,4082986,2968 SPRINGFIELD RD
"PEITSCH, JILLIAN A",SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,29990,,4082940,746 MARIN CRES
"WANG, XIAOWEI",SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,30003,,4089093,5251 COBBLE CRES
KLASSIC BUS TOURS,TOUR OPERATOR (BUS STORED AT BLUESTAR BUSLINE COMPOUND) - HBB MINOR,8088,8088 - Travel Service/Tour Agent,30003,,4037603,5251 COBBLE CRES
EURO-FLOW PLUMBING LTD.,Plumbing & Gas Contractor,1566,1566 - Contractors,30006,,4087617,5256 COBBLE CRES
KNIT & NINA,"Unique handmade knitwear (hats, scarves, headband) done to order.",8032,8032 - Art and Home Handicrafts,30009,,4089006,5250 COBBLE CRES
FRESH LIME GRAPHIC DESIGN,GRAPHIC DESIGN,8024,8024 - Drafting and Design Service,30022,,4071868,5216 COBBLE CRES
GPC HOLDINGS LTD,BUILDING CONTRACTOR - HBB MINOR,1566,1566 - Contractors,30025,,4058831,101-1405 GUISACHAN PL
ALLTERRA LAND SURVEYING LTD,LAND SURVEYOR,5099,5099 - Professional Services,30079,,4075968,1315 ST. PAUL ST
TRADESMAN TATTOO COLLECTIVE INC,TATTOO STORE,850,850 - Beauty Parlour and/or Aesthetic Services,30079,,4077027,1333 ST. PAUL ST
"ROSTECKI, KRISTAL-LYNN",Home Organizing Services,8000,"8000 - Personal, Household & Other Services",30079,,4087848,202-1327 ST. PAUL ST
SKYELIGHT IMAGERY,PHOTOGRAPHY - HBB MINOR,8062,"8062 - Photography, Audio and/or Video Engineering or Production",30079,,4084438,207-1327 ST. PAUL ST
LANGFORD PROPERTIES LTD,Contractor,1566,1566 - Contractors,30079,,4088594,307-1327 ST. PAUL ST
FIONA LINDQUIST COUNSELLING SERVICES,COUNSELLING SERVICES,5099,5099 - Professional Services,30079,,4083072,1339 ST. PAUL ST
RESTORATION COUNSELLING SERVICES,COUNSELLING SERVICES,5099,5099 - Professional Services,30079,,4028772,1339 ST. PAUL ST
HEALTH & BEYOND,SCENAR THERAPY  ACCUPRESSURE,2550,2550 - Health Services,30079,,4077334,1339 ST. PAUL ST
FORGET ME NOT PHOTOGRAPHY,"Family, couples and wedding photography",8062,"8062 - Photography, Audio and/or Video Engineering or Production",30084,,4089253,236 ASHER RD
ACORN URBAN FORESTRY INC.,It's a home-based mobile business providing hedge-trimming and stump grinding.,8042,8042 - Landscaping/Garden  (Service Only),30084,,4087895,236 ASHER RD
RAGA PRET A PORTER,IMPORT & DISTRIBUTE JEWERLY TO LOCAL STORES AND VIA ECOMMERCE,3300,3300 - Mail Order or Outside Merchant Sales,30087,,4085986,1280 GORDON DR
STARBUCKS COFFEE#18727,COFFEE SHOP,7102,7102 - Restaurant,30129,,4086441,532 YATES RD
BEAUTY & SHAVE PARLOR LTD,"HAIRSTYLIST, BARBER/BEAUTY PARLOUR",2400,2400 - Hairstylist or Barber,30129,,4078358,2-538 YATES RD
PAKWAAN RESTURANT LTD.,RESTAURANT - 140 SQ METRES OR LESS,7102,7102 - Restaurant,30129,,4084794,4-538 YATES RD
1260734 BC LTD. DBA TRIPKE BAKERY KONDITOREI CAFE INC,BAKER,700,700 - Bakery,30129,,4086088,6-538 YATES RD
SUBWAY,RESTAURANT - 140 SQ METRES OR LESS,7102,7102 - Restaurant,30129,,4073360,7-538 YATES RD
GLENMORE OPTOMETRY KELOWNA DRY EYE CENTRE,OPTOMETRIST,5099,5099 - Professional Services,30129,,4078941,200-532 YATES RD
HI CANNABIS CO. OKANAGAN LTD.,RETAIL CANNABIS SALES ESTABLISHMENT,4215,4215 - Retail Cannabis Sales Establishment,30129,,4088541,1-538 YATES RD
HIGHLANDS FAMILY DENTISTRY,DENTIST,5099,5099 - Professional Services,30129,,4064445,3-538 YATES RD
VALLEY MAINTENANCE & OPERATIONS,MAINTENANCE OF CITY CEMETERY,1566,1566 - Contractors,30131,,4035068,1795 MCCURDY RD E
BEARD BROS MOTORCYCLE APPAREL,Motorcycle clothing and apparel,3300,3300 - Mail Order or Outside Merchant Sales,30141,,4088375,133-914 CRAIG RD
MEGAN'S SPARKLE & SHINE RESIDENTIAL CLEANING,MAIDS RESIDENTIAL CLEANING - HBB MINOR,8036,8036 - Janitor And/Or Window Cleaning,30141,,4078438,135-914 CRAIG RD
TOVEN FIREPLACE & GAS FITTING SERVICES,"FIREPLACE REPAIR AND INSTALLATION, INSPECTION - HBB MINOR",1566,1566 - Contractors,30141,,4085932,118-914 CRAIG RD
SC RESTORATIONS LTD (STUTTERS),CONTRACTOR - BUILDING,1566,1566 - Contractors,30142,,4015961,101-1025 TRENCH PL
PACIFIC WESTERN FIRE PROTECTION (2017) LTD,MOBILE UNIT,8081,8081 - Service & Maintenance of Small Appliances,30142,,4017761,100-1027 TRENCH PL
GOLDER ASSOCIATES,GEOTECHNICAL TESTING/WAREHOUSE,7850,7850 - Warehousing,30142,,4077481,200-1027 TRENCH PL
VH MASTERS TOUCH,JANITOR AND/OR WINDOW CLEANING/3 OR LESS - HBB MINOR,8036,8036 - Janitor And/Or Window Cleaning,30146,,4075901,109-260 FRANKLYN RD
LINDA MAE APPAREL,Online apparel store,3300,3300 - Mail Order or Outside Merchant Sales,30146,,4086617,214-260 FRANKLYN RD
NORJANE CLEANING SERVICES,JANITOR AND/OR WINDOW CLEANING/3 OR LESS - HBB MINOR,8036,8036 - Janitor And/Or Window Cleaning,30146,,4079164,201-260 FRANKLYN RD
TRUNORTH CREATIVE,WEB DESIGN & DIGITAL MARKETING MARKETING- HBB MINOR,110,110 - Advertising and Marketing,30146,,4086251,215-260 FRANKLYN RD
"OTTO, TONY",SUITES FOR RENT (6),7310,7310 - Apartment,30147,,4035625,1405 EDGEWOOD DR
GREMSHAK,Video Game Development,2650,2650 - Information Technology,30147,,4086503,5-1405 EDGEWOOD DR
CREATIVE CUISINE CATERING,MOBILE CATERING SERVICE,7100,7100 - Restaurant - Catering or Meal Prep,30149,,4067493,2938 SPRINGFIELD RD
BLUE ANGEL MEDIA,WRITING AND EDITING SERVICES,2650,2650 - Information Technology,30156,,4084339,4-1853 PARKVIEW CRES
OK ESTATES,ONLINE SALES - HBB MINOR,3300,3300 - Mail Order or Outside Merchant Sales,30156,,4068802,10-1853 PARKVIEW CRES
FSQ PLUMBING & GAS FITTING,PLUMBING CONTRACTOR & RADON TESTING - HBB MINOR,1566,1566 - Contractors,30156,,4086139,5-1853 PARKVIEW CRES
MARCEL LAFLAMME BARRISTER & SOLICITOR,BARRISTER & SOLICITOR - HBB MINOR,5099,5099 - Professional Services,30156,,4081647,17-1853 PARKVIEW CRES
CURIOSITY ANALYSIS AND CONSULTING CORP.,CONSULTING - HBB MINOR,3340,"3340 - Management, Administration & Consultants",30156,,4077169,22-1853 PARKVIEW CRES
BCGOLFGUIDE.COM INC,TRAVEL SERVICE GOLF - HBB MINOR,8088,8088 - Travel Service/Tour Agent,30157,,4065905,304-1967 UNDERHILL ST
G M T BUILDING MAINTENANCE LTD,Janitorial Service,8036,8036 - Janitor And/Or Window Cleaning,30166,,4088495,448 STETSON ST
RDBC CUSTOM HOMES LTD,BUILDING CONTRACTOR,1566,1566 - Contractors,30167,,4063993,456 STETSON ST
LAKE CITY DRIVING SCHOOL LTD.,DRIVING SCHOOL - HBB MINOR,8065,8065 - Commercial or Private Schools & Training Services,30168,,4084198,464 STETSON ST
DIGITAL PHOTO EXPRESS,PHOTOGRAPHER - ITINERANT - HBB MINOR,8062,"8062 - Photography, Audio and/or Video Engineering or Production",30172,,4082771,496 STETSON ST
ICS HOME SOLUTIONS,HOME RENOVATION AND MAINTENANCE CONTRACTOR - HBB MINOR,1566,1566 - Contractors,30177,,4084168,447 STETSON ST
CANADIAN PRECISION HOMES,BUILDING CONTRACTOR (HBB MINOR),1566,1566 - Contractors,30183,,4085031,300-680 LEQUIME RD
KEIRSTEN PROVOST COUNSELLING,COUNSELLING AND PSYCHOTHERAPY,2550,2550 - Health Services,30183,,4068810,404-680 LEQUIME RD
ALEPH LEARNING,Private Tutoring/Teaching,8065,8065 - Commercial or Private Schools & Training Services,30184,,4087275,PH22-4380 LAKESHORE RD
ZANGBELL & GILL,RESTORATION/REFINISHING FURNITURE & VINTAGE ITEMS,8029,8029 - Furniture Repair/Refinishing,30185,,4074488,990 LAUREL AVE
THREE SISTERS LANDSCAPING & SNOW REMOVAL,LANDSCAPING/SNOW REMOVAL - HBB MINOR,8042,8042 - Landscaping/Garden  (Service Only),30187,,4086383,455 HARDIE RD
EDINA KLASSEN BOOKKEEPING,BOOKKEEPER - HBB MINOR,8002,"8002 - Accountant, bookkeeper, auditor, and public stenographer",30189,,4073173,342 BENCHVIEW RD
LE PETIT PARLOIR,"HAIRSTYLIST, BARBER/BEAUTY PARLOUR",2400,2400 - Hairstylist or Barber,30194,,4077718,1450 SUTHERLAND AVE
VILLAGE AT MILL CREEK,RETIREMENT RESIDENCE,7325,"7325 - Rooming House, Private Nursing/Rest Home",30194,,4067060,1450 SUTHERLAND AVE
WESTCANA SERVICES INC.,FOOD AND HOUSEKEEPING SERVICES TO THE LONG TERM CARE,7102,7102 - Restaurant,30194,,4082961,1450 SUTHERLAND AVE
PETERS CONTRACTING,CONTRACTOR - FINISHING/RENOVATIONS,1566,1566 - Contractors,30211,,4026675,13-669 LONG RIDGE DR
GORD HUTCH CONSTRUCTION,BUILDING CONTRACTOR - HBB MINOR,1566,1566 - Contractors,30211,,4077413,10-669 LONG RIDGE DR
ONLINE LIFELONG LEARNING INST,online training,8065,8065 - Commercial or Private Schools & Training Services,30213,,4087990,203-2901 ABBOTT ST
VIEWS 4 BUSINESS,PHOTOGRAPHER - ITINERANT - HBB MINOR,8062,"8062 - Photography, Audio and/or Video Engineering or Production",30213,,4076877,116-2901 ABBOTT ST
