BusinessName,BusinessDescription,Address,Phone,Naics,NaicsDescription,BusinessType,FullTime,PartTime
Ham Building Supplies Ltd,Supply roofing material,1091 Eburne Pl   Richmond BC  V6V 2Y7,604-322-7141,416310,General-line building supplies merchant wholesalers,Wholesale Trading,7,0
Ham Building Supplies Ltd,wholesale roofing material,11531 Eburne Way   Richmond BC  V6V 2Y6,604-322-7141,416310,General-line building supplies merchant wholesalers,Wholesale Trading,7,0
Hamilton High Street Senior Residence,"Administration and management of seniors retirement communities, including rental & sales of apartment units",23100 Garripie Ave   Richmond BC  V6V 0B9,604-214-5700,561110,Office administrative services,,8,12
Hamilton Village Care Centre,Long Term Care Facility,23111 Garripie Ave   Richmond BC  V6V 0C1,604-307-1104,623310,Community care facilities for the elderly,Other,5,0
HammerSense,"Insallation of environmental remote sensors at construction, industrial and public works sites",10400 Springwood Cr   Richmond BC  V7E 1X6,778-819-2610,238990,All other specialty trade contractors,General Contractor,1,0
Hampton Inn Vancouver Airport,Limited service hotel,8811 Bridgeport Rd   Richmond BC  V6X 1R9,604-232-5505,721111,Hotels,Hotel,20,10
"Hamraj Sidhu, Physiotherapist",Mobile physiotherapist,6251 Woodwards Rd   Richmond BC  V7E 1H2,778-709-7095,621340,"Offices of physical, occupational, and speech therapists and audiologists",Home Occupation,0,1
Hamza Demolition Ltd,construction contractor,11640 Aztec St   Richmond BC  V6X 1H8,604-721-5029,236110,Residential building construction,General Contractor,2,1
Han Appliances & Refrigeration Ltd,Electrical contractor - commercial/residential,22091 Fraserwood Way Unit 1130 Richmond BC  V6W 0A8,604-233-9216,238210,Electrical contractors and other wiring installation contractors,Electrical Contractor,9,0
Han Appliances & Refrigeration Ltd,Gas contractor - commercial/residential,22091 Fraserwood Way Unit 1130 Richmond BC  V6W 0A8,604-233-9216,238220,"Plumbing, heating and air-conditioning contractors",Gas Contractor,8,0
Han Fang Acupuncture and Herbs Treatment Center for Difficult Miscellaneous Diseases,Acupuncture and Herbs services,8191 Saba Rd Unit 140 Richmond BC  V6Y 4B4,604-285-5188,621390,Offices of all other health practitioners,,2,0
Hana Foods Inc,bakery in H-Mart ,4151 Hazelbridge Way Unit 1780 Richmond BC  V6X 4J7,604-939-5588,311811,Retail bakeries,Retail Trading,2,2
Hanami Express,Non - Alcoholic Beverages & Snacks from a mobile cart at Gate 74 Room C3684,3880 Grant McConachie Way   Richmond BC  V7B 0A5,604-821-9981,722330,Mobile food services,Mobile Food Vendor,5,3
Hananoki Restaurant,Japanese restaurant,3679 Westminster Hwy Unit 120 Richmond BC  V7C 5V2,604-273-7778,722511,Full-service restaurants,Food Service Establishment,8,2
Handy Works Residential Repairs,Residential and strata repair services,11480 Kingfisher Dr   Richmond BC  V7E 3X5,604-241-0967,236110,Residential building construction,General Contractor,0,1
Hang Tung Garment Factory (Canada) Ltd,Importing/Exporting fabric from all over the world and taking orders,8571 Bridgeport Rd   Richmond BC  V6X 1R7,604-872-2266,414130,"Piece goods, notions and other dry goods merchant wholesalers",Wholesale Trading,3,0
Hanlin Tea House,Selling bubble tea and desserts (cakes),8328 Capstan Way Unit 1121 Richmond BC  V6X 4B6,778-251-2385,722512,Limited-service eating places,Food Service Establishment,5,10
Hannah Jensen Hair,"Providing hairstyling services such as haircuts, colouring and styling.",3900 Moncton St Unit 110 Richmond BC  V7E 3A6,604-370-0276,812115,Beauty salons,,0,1
Hanok Korean Restaurant,Korean food,8400 Alexandra Rd Unit 100 Richmond BC  V6X 3L4,604-278-3180,722511,Full-service restaurants,Food Service Establishment,10,5
Hanor,Shoe Cleaning,8291 Ackroyd Rd Unit 155 Richmond BC  V6X 3J9,604-278-3393,811430,Footwear and leather goods repair,,1,0
Hanppy Tofu Pot House,restaurant (Taiwanese food),8328 Capstan Way Unit 1138 Richmond BC  V6X 4B6,604-247-1079,722512,Limited-service eating places,Food Service Establishment,3,3
Hans Radiator Shop,Automotive Service,2651 No 3 Rd Unit 2 Richmond BC  V6X 2B2,604-278-5232,811119,Other automotive mechanical and electrical repair and maintenance,,2,0
Hansen Industries Ltd,Manufacturing sheet metal parts,2871 Olafsen Ave Unit 101 Richmond BC  V6X 2R4,604-278-5554,332999,All other miscellaneous fabricated metal product manufacturing,,50,1
Hansen Industries Ltd,Metal manufacturer,2777 Olafsen Ave Unit 150 Richmond BC  V6X 2P9,604-278-2223,332999,All other miscellaneous fabricated metal product manufacturing,,23,0
Hanson Human Resources Service,Employment services - providing HR consulting services and finding employees for employers. ,6068 No 3 Rd Unit 120 Richmond BC  V6Y 4M7,778-231-8181,541612,Human resources consulting services,,2,0
Hanson Travel,Travel agent,8888 Odlin Cr Unit 3005 Richmond BC  V6X 3Z8,604-273-7733,561510,Travel agencies,Travel Agency,2,1
Hansonic North America PC Board Industrial Inc,wholesaling printed circuit boards,11880 Hammersmith Way Unit 155 Richmond BC  V7A 5C8,604-576-9128,417310,"Computer, computer peripheral and pre-packaged software merchant wholesalers",Wholesale Trading,5,0
Hantech Construction Ltd,General contractor for new home construction and renovation,8311 Rosebank Cr   Richmond BC  V7A 2K8,778-320-3939,236220,Commercial and institutional building construction,General Contractor,1,0
Hao Han Accounting Corporation,Accounting (full cycle and payroll),3191 Wardmore Pl   Richmond BC  V7C 1S6,778-839-7859,541212,Offices of  accountants,Home Occupation,1,0
Hao Run Renovation Ltd,Renovation contractor - residential,5860 Lancing Rd   Richmond BC  V7C 3A1,778-233-9680,236220,Commercial and institutional building construction,General Contractor,2,0
Hao's Lamb Restaurant,Restaurant food service,4260 No 3 Rd Unit 180 Richmond BC  V6X 2C2,778-938-7887,722512,Limited-service eating places,Food Service Establishment,4,6
Haoyu Technology,Installation and repair of security alarm systems,8740 Cullen Cr   Richmond BC  V6Y 2X3,778-861-7879,561621,Security systems services (except locksmiths),General Contractor,1,1
Haoyu Technology,Installation and repair of security alarm systems,8740 Cullen Cr   Richmond BC  V6Y 2X3,778-861-7879,561621,Security systems services (except locksmiths),General Contractor,1,1
HAP CPA Inc,Provide accounting services to businesses and individuals,6081 No 3 Rd Unit 621 Richmond BC  V6Y 2B2,604-276-0321,561110,Office administrative services,,0,2
Happy Birdy Collectibles & Pawn Shop,Buy and sell collectible and pawnshop,4540 No 3 Rd Unit 1140 Richmond BC  V6X 4E4,672-514-6031,453310,Used merchandise stores,Pawnbroker,0,1
Happy Break Cafe,Deli - sandwich shop serve prepared food to the public for consumption in or take out,21331 Gordon Way Unit 2120 Richmond BC  V6W 1J9,604-207-0284,722512,Limited-service eating places,Food Service Establishment,0,2
Happy Coach Line,tour bus,22888 Windsor Crt Unit 102 Richmond BC  V6V 2W6,604-319-8289,561590,Other travel arrangement and reservation services,Vehicle For Hire Office,1,0
Happy Currency Exchange,Foreign currency exchange and money transfer,4777 McClelland Rd Unit 1520 Richmond BC  V6X 0M5,604-438-6888,523130,Commodity contracts dealing,,2,1
Happy Day Cafe,Restaurant,4771 McClelland Rd Unit 1450 Richmond BC  V6X 0M5,604-273-3308,722511,Full-service restaurants,Food Service Establishment,7,3
Happy Dream Beauty Lounge Ltd,Facials,4000 No 3 Rd Unit 1105 Richmond BC  V6X 0J8,604-723-1273,812115,Beauty salons,,1,0
Happy Farm B&B,Blueberry pick-up and sales (Class A),7471 No 6 Rd   Richmond BC  V6W 1C9,778-995-5188,445230,Fruit and vegetable markets,Roadside Stand,1,2
Happy Farm B&B,Bed & Breakfast - 3 Rooms,7471 No 6 Rd   Richmond BC  V6W 1C9,778-995-5188,721191,Bed and breakfast,Bed & Breakfast,1,2
Happy Fish House Restaurant,"Chinese Restaurant, Food and Liquor",8140 Leslie Rd   Richmond BC  V6X 4A8,604-370-2928,722511,Full-service restaurants,Food Service Establishment,20,10
Happy Hong Kong Restaurant & Bar,"Restaurant, Bar, Cafe",9260 Bridgeport Rd   Richmond BC  V6X 1S1,604-821-1555,722511,Full-service restaurants,Food Service Establishment,10,5
Happy Hour Vacation Ltd,travel agency,4311 Hazelbridge Way Unit 1705 Richmond BC  V6X 3L7,778-896-7136,561510,Travel agencies,Travel Agency,4,0
Happy House Fresh Taste Meats Ltd,"prepare and retail fresh and frozen meat, seafood, poultry and grocery products under a subleased space with Blundell Produce Plus",4771 Blundell Rd   Richmond BC  V7C 1H2,778-987-8686,445210,Meat markets,Retail Trading,2,2
Happy Kids Studios,Provide after school arts programs and educational materials. Goes to community centres and schools. ,6140 Otter Pl   Richmond BC  V7C 4A9,778-861-5884,611610,Fine arts schools,Home Occupation,1,0
Happy Lamb Hot Pot,Full Service Restaurant,5300 No 3 Rd Unit 405 Richmond BC  V6X 2X9,604-231-8966,722511,Full-service restaurants,Food Service Establishment,16,0
Happy Learning,Tutoring children - math & Chinese tutoring,12838 Clarke Pl Unit 148 Richmond BC  V6V 2H6,778-862-8411,611690,All other schools and instruction,Education Institution,0,3
Happy Lemon,"cafe - bubble tea, coffee and sandwich",6011 No 3 Rd Unit 105 Richmond BC  V6Y 2B2,778-927-1808,722512,Limited-service eating places,Food Service Establishment,2,2
Happy Mat,"Floor mat wholesale, importing & distribute to dealers",1991 Savage Rd Unit 180 Richmond BC  V6V 0A4,778-371-9885,414320,Floor covering merchant wholesalers,Wholesale Trading,5,0
Happy May Child Care Centre III,Childcare services - 3pm to 6pm,4751 Garden City Rd Unit 170 Richmond BC  V6X 3M7,604-218-6581,624410,Child day-care services,,2,2
Happy May Education Centre Inc,Chinese study - tutoring 16 students & 2 teachers,4751 Garden City Rd Unit 201 Richmond BC  V6X 3M7,604-218-6581,611630,Language schools,Education Institution,1,1
Happy May Education Centre Inc,Daycare for 3-5 year old and after school care ,4751 Garden City Rd Unit 220 Richmond BC  V6X 3M7,604-218-6581,624410,Child day-care services,,2,0
Happy Tree House BBQ Restaurant,"Food & Wine, BBQ Restaurant",8171 Alexandra Rd Unit 105 Richmond BC  V6X 1C3,778-383-9575,722511,Full-service restaurants,Food Service Establishment,8,5
Happy Valley Village,Chinese Food Restaurant,8080 Leslie Rd Unit 210 Richmond BC  V6X 4A8,604-725-8628,722511,Full-service restaurants,Food Service Establishment,15,5
Happy Veggie World Ltd,Import and wholesale distributor of dry and frozen food. Re-packaging to retail size when necessary.,13988 Cambie Rd Unit 378 Richmond BC  V6V 2K4,604-278-5519,413150,Fresh fruit and vegetable merchant wholesalers,Wholesale Trading,4,2
HappyGrun,sale of plants and planters,4000 No 3 Rd Unit 1145 Richmond BC  V6X 0J8,778-855-5337,453110,Florists,Retail Trading,2,0
Haptrans Holdings Ltd,air cargo shipping agent - freight forwarder,2633 Simpson Rd Unit 1015 Richmond BC  V6X 0B9,604-279-0676,488519,Other freight transportation arrangement,,12,0
HAQ Enterprises Inc,Construction (residential),4451 Granville Ave   Richmond BC  V7C 1E2,604-272-4858,236110,Residential building construction,General Contractor,1,0
Harbour Air Aerospace Services Ltd,"Aircraft maintenance, heavy overhaul and line maintenance, part sale and manufacturing of parts for installation in aircraft maintenance",5400 Airport Rd   Richmond BC  V7B 1B4,604-270-1107,488190,Other support activities for air transportation,,71,11
Harbour Air Ltd,Charter airline,4760 Inglis Dr   Richmond BC  V7B 1W4,604-278-3478,481214,Non-scheduled chartered air transportation,,40,3
Harder Landscape Maintenance,"lawn cutting, hedge trimming, fertilizating, liming, power raking, leaf blowing, general clean up of property",9600 Aquila Rd   Richmond BC  V7A 3P9,604-781-3901,561730,Landscaping services,General Contractor,1,0
Hariyall Yoga Institute Ltd,Hot yoga training,10013 River Dr Unit 2020 Richmond BC  V6X 0N2,604-727-8399,611620,Athletic instruction,Health Studio,1,1
Harkerson BC Wholesale Lumber Ltd,Retail building materials,12311 Mitchell Rd   Richmond BC  V6V 1M7,604-327-8351,444190,Other building material dealers,Retail Trading,1,0
Harmonic Spa & Beauty 2015 Inc,Skin care facial  slimming,4751 Garden City Rd Unit 200 Richmond BC  V6X 3M7,604-276-8889,812115,Beauty salons,,2,4
Harmony Bakery Ltd,"Bakery buns, cake, steam chines style foods",4231 Hazelbridge Way Unit 110 Richmond BC  V6X 3L7,604-715-0908,311811,Retail bakeries,Food Service Establishment,0,3
Harmony Dental Studio,Dental clinic,3700 Moncton St Unit 100 Richmond BC  V7E 3A4,604-277-2223,621210,Offices of dentists,,2,2
Harold's Bistro & Bar,Lounge,7551 Westminster Hwy   Richmond BC  V6X 1A3,604-273-7878,722410,Drinking places (alcoholic beverages),,1,0
Harold's Bistro & Bar,Restaurant with food primary,7551 Westminster Hwy   Richmond BC  V6X 1A3,604-273-7878,722511,Full-service restaurants,Food Service Establishment,32,33
Harris Insurance Services (Richmond) Ltd,Insurance agency,8751 No 1 Rd Unit 3 Richmond BC  V7C 1V2,604-271-1171,524210,Insurance agencies and brokerages,,8,5
Harris Steel Limited,fabrication of reinforcing steel,7440 Nelson Rd   Richmond BC  V6W 1G4,604-244-0575,331110,Iron and steel mills and ferro-alloy manufacturing,,35,0
Harry Consultation Inc,provides immigration and education consultation services,4940 No 3 Rd Unit 116 Richmond BC  V6X 3A5,778-383-2223,911320,Immigration services,,3,2
Harry's Carpentry Services,Renovation contractor,11511 Daniels Rd   Richmond BC  V6X 1M7,604-273-6270,236110,Residential building construction,General Contractor,1,0
Harvest Montessori Preschool & Daycare Ltd,"Montessori 42 students   6 teachers
Preschool & daycare service",8740 Alexandra Rd Unit 120 Richmond BC  V6X 4K6,604-278-6228,611110,Elementary and secondary schools,Education Institution,9,2
Harvest Noodles & Dim Sum Manufacturing Ltd,Noodles and Dim Sum Manufacturing,13911 Maycrest Way Unit 140 Richmond BC  V6V 2J4,604-273-7628,311824,"Flour mixes, dough, and pasta manufacturing from purchased flour",,7,4
Harvest Tours,"Tour operator, travel agency",8877 Odlin Cr Unit 110 Richmond BC  V6X 3Z7,604-214-8878,561510,Travel agencies,Travel Agency,5,4
Harvey Law Group Ltd,"Legal services (immigration law, corporate law)",10691 Shellbridge Way Unit 130 Richmond BC  V6X 2W8,604-295-7075,541110,Offices of lawyers,,2,0
Hashi Sushi Restaurant Ltd,Sushi restaurant,3757 Jacombs Rd Unit 105 Richmond BC  V6V 2R3,604-725-8668,722511,Full-service restaurants,Food Service Establishment,3,0
Hathstauwk Property Management,Property Management of commercial and residential appartments,4580 Cowley Cr Unit 200 Richmond BC  V7B 1B8,604-272-7626,531390,Other activities related to real estate,Property Management,5,0
Haute Foods,Agent/broker of commercial food products(chili oil) to online customers and retail shops,4180 Bayview St Unit 205 Richmond BC  V7E 0B3,778-320-2468,419120,Wholesale trade agents and brokers,Home Occupation,1,0
Haute-Monde Hair Salon Ltd,Hair salon,8531 Alexandra Rd Unit 123 Richmond BC  V6X 1C3,604-318-0011,812115,Beauty salons,,1,0
Have Ton Will Travel,"Haul away garbage, power washing, etc",191 Catalina Cr   Richmond BC  V7B 1C9,604-270-1047,484110,"General freight trucking, local",Home Occupation,0,1
Havenlea,"Online resale of used clothing, primarily through Poshmark and Ebay",8280 Lansdowne Rd Unit 1104 Richmond BC  V6X 0B2,778-835-2087,454110,Electronic shopping and mail-order houses,Home Occupation,0,1
Hawaiian Botanicals,Roadside Stand Class B,6011 No 7 Rd   Richmond BC  V6W 1E8,604-270-7712,111219,Other vegetable (except potato) and melon farming,Roadside Stand,0,2
Hawk Ridge Systems LLC,Reseller of software & technical support services,10271 Shellbridge Way Unit 150 Richmond BC  V6X 2W8,604-241-4223,443144,Computer and software stores,,11,5
Hayden Diamond Bit Industries Ltd,Mining - drilling supplies and services,12020 No 5 Rd   Richmond BC  V7A 4G1,604-271-6941,417230,"Industrial machinery, equipment and supplies merchant wholesalers",Wholesale Trading,1,0
Hayden Diamond Bit Industries Ltd,Manufacture drill bits (mining and drilling),12020 No 5 Rd   Richmond BC  V7A 4G1,604-271-6941,333519,Other metalworking machinery manufacturing,,60,0
Hayer Demolition Ltd,"Demolition Contractor, Storage of Vehicles, and construction aggregates. ",12011 Mitchell Rd   Richmond BC  V6V 1M7,604-324-4253,416390,Other specialty-line building supplies merchant wholesalers,General Contractor,5,2
Hayer Demolition Ltd,"Demolition Contractor, Storage of Vehicles, and construction aggregates. ",12011 Mitchell Rd   Richmond BC  V6V 1M7,604-324-4253,416390,Other specialty-line building supplies merchant wholesalers,,5,2
Hayer Group Recycling Ltd,Waste Management/Recycling Services,11571 Mitchell Rd   Richmond BC  V6V 1T5,604-324-4253,562210,Waste treatment and disposal,,3,0
HBC Logistics,Distribution Centre For Supplying Retail Stores,18111 Blundell Rd   Richmond BC  V6W 1L8,604-249-3000,493110,General warehousing and storage,,130,40
HBL Autosports Inc,Automotive Repair,2268 No 5 Rd Unit 190 Richmond BC  V6X 2T1,778-898-8325,811111,General automotive repair,,1,2
HBW (Canada) Supply Inc,wholesale of acupuncture supply from USA & China exporting to Europe,2639 Viking Way Unit 165 Richmond BC  V6V 3B7,604-232-9554,417930,"Professional machinery, equipment and supplies merchant wholesalers",Wholesale Trading,2,0
HC & W Enterprise Corp,"Used car buy, sell, lease",5755 No 3 Rd Unit 201 Richmond BC  V6X 2C9,604-782-1889,441120,Used car dealers,Automobile Dealer,2,1
HC Express Hair Studio,Hair cutting services ,4000 No 3 Rd Unit 1095 Richmond BC  V6X 0J8,778-928-6758,812115,Beauty salons,,2,1
HC Interior Upholstery,"Cut and sew, fabricate cover and furmiture",4520 Agar Dr   Richmond BC  V7B 1A3,604-789-6899,811420,Reupholstery and furniture repair,,1,0
HCC Marketing Ltd,Marketing services,6751 Westminster Hwy Unit 130 Richmond BC  V7C 4V4,778-922-5206,551114,Head offices,,5,2
HCDF Immigration Inc,Immigration Consultant Service,4380 No 3 Rd Unit 1205 Richmond BC  V6X 3V7,604-889-2213,541190,Other legal services,,2,2
HD Plastic Product Canada Inc,"wholesale plastic food containers, plastic bags, plastic trays",11891 Hammersmith Way   Richmond BC  V7A 5E5,778-297-4348,418220,Other paper and disposable plastic product merchant wholesalers,Wholesale Trading,5,0
HD Vision Care,"Retail eye wear accessories, prescription contacts and lenses, repair - consult & provide eye exams",3779 Sexsmith Rd Unit 1191 Richmond BC  V6X 3Z9,778-297-1577,446130,Optical goods stores,Retail Trading,1,1
HDC Telecom,Telus technician contractor,8991 Sierpina Dr   Richmond BC  V7A 4M8,604-313-4375,811210,Electronic and precision equipment repair and maintenance,Home Occupation,1,0
He Hair Salon,"Hair dresser - hair cutting, styling, perming",4000 No 3 Rd Unit 1015 Richmond BC  V6X 0J8,778-683-4566,812115,Beauty salons,,1,1
Headstart Education and Counselling Services,"Education and immigration consulting, translations, document preparation, and project management",8291 Alexandra Rd Unit 225 Richmond BC  V6X 1C3,778-896-7151,611710,Educational support services,,1,1
Headwise Rehabilitation,Behavorial & neurological therapy & assessments,6651 Elmbridge Way Unit 140 Richmond BC  V7C 5C2,604-417-7390,621340,"Offices of physical, occupational, and speech therapists and audiologists",,0,2
Healing Arts Acupuncturist,"Mobile acupunture, cupping treatment, acupressure",8391 Sunnycroft Rd   Richmond BC  V6Y 1X7,778-927-3606,621390,Offices of all other health practitioners,Home Occupation,1,0
Healing River Acupuncture Centre,Acupuncture & Chinese herbal medicine performed at a clinic outside home,3571 Chatham St Unit 105 Richmond BC  V7E 2Z1,604-277-5550,621390,Offices of all other health practitioners,Therapeutic Touch Treatments,1,0
Health First Family Chiropractic,Chiropractic ,8181 Cambie Rd Unit 1150 Richmond BC  V6X 3X9,778-998-1638,621310,Offices of chiropractors,,2,0
Healthcare Pharmacy # 2,Pharmacy services including prescriptions and over the counter medications,8780 Blundell Rd Unit 130 Richmond BC  V6Y 3Y8,778-302-8324,446110,Pharmacies and drug stores,Retail Trading,2,1
Healthlinc Medical Equipment Ltd,"Distribution of home medical equipment, both sales & rentals",4011 Viking Way Unit 130 Richmond BC  V6V 2K9,604-821-0075,417930,"Professional machinery, equipment and supplies merchant wholesalers",Wholesale Trading,25,1
HealthPlus Pharmacy #2,retail pharmacy,8980 No 3 Rd Unit 170 Richmond BC  V6Y 2E8,604-644-9929,446110,Pharmacies and drug stores,Retail Trading,3,1
HealthPlus Pharmacy Ltd,Pharmacy - Delivery will also be offered,4115 No 5 Rd   Richmond BC  V6X 2T9,604-304-1294,446110,Pharmacies and drug stores,Retail Trading,2,1
Healthvue Clinic,Walk in medical clinic,11700 Cambie Rd Unit 180 Richmond BC  V6X 1L5,604-270-9833,621110,Offices of physicians,,3,4
Healthvue Clinic,Medical Services,12420 No 1 Rd Unit 100 Richmond BC  V7E 6N2,604-285-9888,621110,Offices of physicians,,5,0
Healthway Chinese Medicine and Acupuncture Clinic Ltd,Health consulting and acupunture,8580 Alexandra Rd Unit 1115 Richmond BC  V6X 4B3,604-722-3298,621390,Offices of all other health practitioners,,1,0
Healthy Feet,Foot massage and facial treatment,8200 Saba Rd Unit 108 Richmond BC  V6Y 4C6,604-285-9911,621390,Offices of all other health practitioners,Therapeutic Touch Treatments,1,0
Healthy Massage,"Spa, Facial Treatment, body Massage & Slimming Treatment, nail salon, wax, pedicure",8368 Capstan Way Unit 1331 Richmond BC  V6X 4B4,604-270-9929,812115,Beauty salons,,1,1
Healthy Massage VIP,Body massage & Foot massage,8766 McKim Way Unit 2180 Richmond BC  V6X 4G4,778-899-7369,621340,"Offices of physical, occupational, and speech therapists and audiologists",Therapeutic Touch Treatments,1,0
Heart to Home Quilting,Longarm quilting services - pick up/drop off  from customers outside of home,7591 Bridge St   Richmond BC  V6Y 2S6,604-908-1429,711511,Independent visual artists and artisans,Home Occupation,0,1
Heatherbrae Builders Co Ltd,Building contractor,12371 Horseshoe Way Unit 140 Richmond BC  V7A 4X6,604-277-2315,236110,Residential building construction,General Contractor,8,0
Heating Service ,Office Use Only - HVAC Contractor - Gas Fitter,12091 Bath Rd Unit 35 Richmond BC  V6V 2B5,604-558-4545,238220,"Plumbing, heating and air-conditioning contractors",Gas Contractor,1,0
Hecny Transportation Canada Ltd,Int. Freight Forwarding Via Air/Ocean/Truck,5200 Miller Rd Unit 2020 Richmond BC  V7B 1K5,604-276-8256,488519,Other freight transportation arrangement,Delivery Services,7,0
Hedgehog Creative Pro,Graphic & Web Design Services,6180 Alder St Unit 11 Richmond BC  V6Y 0C9,604-780-0165,541430,Graphic design services,Home Occupation,1,0
Hefa Rare Earth Canada Co Ltd,"Import/Export of ceramic, glass, and magnet products",2560 Shell Rd Unit 3028 Richmond BC  V6X 0B8,604-821-1884,419120,Wholesale trade agents and brokers,Wholesale Trading,3,0
Heidi Wong's Acupuncture,"Deliver Acupuncture, traditional chinese diagnosis and health consultion",10608 Maddocks Rd   Richmond BC  V7A 3M3,778-323-1878,621390,Offices of all other health practitioners,Home Occupation,1,0
Heiyo Trading Ltd,Online sales of products from overseas to Canada ,7251 Montana Rd   Richmond BC  V7C 4K2,778-862-3203,419120,Wholesale trade agents and brokers,Home Occupation,0,1
Helen Kaczynski,Selling farm product,11180 No 2 Rd   Richmond BC  V7E 2E7,604-277-4123,111219,Other vegetable (except potato) and melon farming,Roadside Stand,1,0
Helen Lu Professional Inc,Accounting and tax services,5811 Cooney Rd Unit 305 Richmond BC  V6X 3M1,604-231-0738,541212,Offices of  accountants,,0,1
Helen Wong Piano,Teach Piano (One student at a time),9771 Allison Crt   Richmond BC  V6Y 3J1,604-272-1387,611610,Fine arts schools,Home Occupation,0,1
Heli-One Canada ULC,"corporate administration functions - Helicopter maintenance, repair and overhaul",4740 Agar Dr   Richmond BC  V7B 1A3,604-276-7500,551114,Head offices,,289,0
Heli-One Canada ULC,Maintenance Repair Operator (MRO) ,4520 Agar Dr   Richmond BC  V7B 1A3,778-999-3770,551114,Head offices,,20,0
Helicopters International Shipping Services Inc,Logistics service provider,4380 Agar Dr   Richmond BC  V7B 1A3,516-239-7720,488519,Other freight transportation arrangement,,1,0
Helijet International Inc,Airlines service,5911 Airport Rd   Richmond BC  V7B 1B5,604-273-4688,481214,Non-scheduled chartered air transportation,,108,2
Helkey International Education & Culture Centre,"agent/broker - import piano's from Japan, warehouse for pianos",4380 No 3 Rd Unit 1285 Richmond BC  V6X 3V7,604-307-6650,451140,Musical instrument and supplies stores,Retail Trading,1,1
Helkey International Education & Culture Centre,Tutor one on one with student,9700 Pigott Dr   Richmond BC  V7A 5H3,604-307-6650,611610,Fine arts schools,Home Occupation,1,0
Hellmann Worldwide Logistics Inc,Freight Forwarders,5200 Miller Rd Unit 2240 Richmond BC  V7B 1L1,604-821-0700,488519,Other freight transportation arrangement,Delivery Services,6,0
Hello Health (Canada) Enterprises Inc,"Health product research, wholesale, and export",10451 Shellbridge Way Unit 150 Richmond BC  V6X 2W8,778-316-7001,414510,Pharmaceuticals and pharmacy supplies merchant wholesalers,,2,0
Hello Q Shop,Online e-commerce - storage elsewhere,6460 Maple Rd   Richmond BC  V7E 1G5,236-866-1209,454110,Electronic shopping and mail-order houses,Home Occupation,0,1
Helly Hansen Leisure Canada Inc,"sales, marketing & general administration of outdoor apparel",12033 Riverside Way Unit 301 Richmond BC  V6W 1K6,604-204-0730,419120,Wholesale trade agents and brokers,,22,3
Hemlock Harling Distribution,"Printing Flyers/Pamphlets, order fulfillment, and direct mailing services",11388 No 5 Rd Unit 110 Richmond BC  V7A 4E7,604-279-8484,323119,Other printing,,35,0
Henderson Law Group LLP,Law Office,11331 Coppersmith Way Unit 280 Richmond BC  V7A 5E8,604-639-5175,541110,Offices of lawyers,,4,1
Henghui Trade Development (Canada) Ltd,Moving & cleaning services (residential & commercial),11181 Voyageur Way Unit 240 Richmond BC  V6X 3N9,604-710-8312,484210,Used household and office goods moving,,3,2
Hennessy Laser & Skin Care Centre Inc,Skin care - facials/laser etc  ,3779 Sexsmith Rd Unit 2161 Richmond BC  V6X 3Z9,604-278-7728,812115,Beauty salons,,3,2
Henri de Light & Electric,Electrical Contractor,6633 Pearson Way Unit 605 Richmond BC  V7C 0C4,604-657-2887,238210,Electrical contractors and other wiring installation contractors,Electrical Contractor,4,0
Henry Aquaculture Consult Inc,"advise and consulting services provided to clients in aquaculture, no clients to the home",4860 Larkspur Ave   Richmond BC  V7C 2J3,604-989-3558,541690,Other scientific and technical consulting services,Home Occupation,1,1
Henry Global Consulting Service Ltd,Providing business &  immigration consulting,4940 No 3 Rd Unit 225 Richmond BC  V6X 3A5,604-207-9650,911320,Immigration services,,7,0
Henry Kwa,Accounting & taxation,12830 Clarke Pl Unit 255 Richmond BC  V6V 2H5,604-279-8890,541212,Offices of  accountants,,2,0
Henry Music,retail music equipment,8700 McKim Way Unit 1183 Richmond BC  V6X 4A5,778-708-8332,451140,Musical instrument and supplies stores,Retail Trading,1,1
Henry Music,Teaching music lessons 1 student to 1 instructor,8700 McKim Way Unit 1183 Richmond BC  V6X 4A5,778-708-8332,611610,Fine arts schools,,1,1
Henryxu Consulting,Real Estate Tradings,3333 Corvette Way Unit 1203 Richmond BC  V6X 0E3,778-863-0416,531212,Offices of real estate brokers,Home Occupation,0,1
Henson Developments Ltd,Real estate developers - Residential,4940 No 3 Rd Unit 208 Richmond BC  V6X 3A5,778-379-9660,236110,Residential building construction,General Contractor,2,0
Hera Spa & Beauty Ltd,"Beauty Centre - Facial, Manicure, Pedicure, Eyelash/Eyebrow treatment, Cosmetic Make up, Body Massage, slimming service by machine",4400 Hazelbridge Way Unit 660 Richmond BC  V6X 3R8,604-726-5883,812115,Beauty salons,,2,0
Herb's Landscaping Ltd,Gardening & landscaping service to include b/flow testing,4591 Danforth Dr   Richmond BC  V6X 2X5,604-724-7324,561730,Landscaping services,General Contractor,3,0
Herbaland Naturals Inc,Natural Health Products - Manufacturing,13330 Maycrest Way   Richmond BC  V6V 2J7,604-284-5050,419120,Wholesale trade agents and brokers,,140,10
Herbaland Naturals Inc,manufacturing health products,12280 Horseshoe Way   Richmond BC  V7A 4Z1,604-284-5050,339990,All other miscellaneous manufacturing,,15,0
