FID,ID,Name,EmplRange,NAICSTitle,NAICSDescr,NAICSCode,Phone,Fax,TollFree,EMail,WebAddress,StreetNo,StreetName,Address,PostalCode,BldgNo,UnitNo,Modified,PIN,CHArea,Ward
9507,20545,Itemex,10 to 19,Wholesale,"Computer, Computer Peripheral and Pre-Packaged Sof",417310,416-231-7895,416-231-5912,1-877-448-3639,info@itemex.ca,www.itemex.ca,3077,Universal Dr,3077 Universal Dr,L4X 2E2, , ,1.49515E+12,1909400,Dixie EA,3
9508,20547,MegaPlus Group of Companies,5 to 9,Manufacturing,Glass Manufacturing,327214,905-282-9900,905-282-9921,1-855-882-9929,info@megaplusgroup.com,www.megaplusgroup.com,3081,Universal Dr,3081 Universal Dr,L4X 2E2, ,A,1.49515E+12,1909400,Dixie EA,3
9509,20549,O N S E/Black River Juice,5 to 9,Manufacturing,Soft Drink and Ice Manufacturing,312110,905-624-1492,905-624-6151,1-800-722-6629,blackriverjuice@onse.ca,www.blackriverjuice.com,3083,Universal Dr,3083 Universal Dr,L4X 2E2, , ,1.49515E+12,1909400,Dixie EA,3
9510,20551,Classic Brand Cabinetry,N/A,Manufacturing,Wood Kitchen Cabinet and Counter Top Manufacturing,337110,905-232-4660, , ,info@classicbrand.ca,www.classicbrand.ca,3085,Universal Dr,3085 Universal Dr,L4X 2E2, , ,1.57611E+12,1909400,Dixie EA,3
9511,20555,Canadian Ice Academy,5 to 9,Educational,Athletic Instruction,611620,905-625-7528,905-625-8853, ,office@canadianiceacademy.com,www.canadianiceacademy.com,3111,Universal Dr,3111 Universal Dr,L4X 2E2, , ,1.49515E+12,1909500,Dixie EA,3
9512,20559,Rigging Institute Canada,N/A,Educational,All Other Schools and Instruction,611690,905-624-5131,905-624-9265,1-800-457-9997,info@unirope.com,www.rigginginstitute.com,3070,Universal Dr,3070 Universal Dr,L4X 2C8, , ,1.54613E+12,1908900,Dixie EA,3
9513,20562,Prep & Sell,5 to 9,Wholesale,Chemical (except Agricultural) and Allied Product,418410,416-201-1010,905-602-7821, ,assistant@prepnsell.com,www.prepnsell.com,3135,Universal Dr,3135 Universal Dr,L4X 2E6, ,6,1.49515E+12,1909800,Dixie EA,3
9514,20565,M M D Inc. Dacor Design,20 to 49,Retail,Florists,453110,905-238-8434, ,1-877-490-9896,mmd@on.aibn.com,www.makemydayinc.com,3135,Universal Dr,3135 Universal Dr,L4X 2E6, ,4,1.49515E+12,1909800,Dixie EA,3
9515,20567,Sunnyside Food Products,1 to 4,Wholesale,General-Line Food Wholesaler-Distributors,413110,289-521-3447,289-521-3446, ,sunnyside.eggs@hotmail.ca, ,3135,Universal Dr,3135 Universal Dr,L4X 2E6, ,18,1.49515E+12,1909800,Dixie EA,3
9516,20569,Txt Machining Inc.,1 to 4,Manufacturing,Machine Shops,332710,905-624-0250,905-624-8229, ,thuy@txtmachining.com,www.txtmachining.com,3135,Universal Dr,3135 Universal Dr,L4X 2E6, ,9,1.49515E+12,1909800,Dixie EA,3
9517,20573,Dundas Doors & Windows Inc.,5 to 9,Wholesale,Other Specialty-Line Building Supplies Wholesaler-,416390,905-896-1448,905-896-1466, ,bob@dundasdoorsandwindows.com,www.dundasdoorsandwindows.com,3135,Universal Dr,3135 Universal Dr,L4X 2E6, ,12,1.49515E+12,1909800,Dixie EA,3
9518,20574,Precision Cable Inc.,1 to 4,Manufacturing,Telephone Apparatus Manufacturing,334210,905-602-4161,905-602-4620, , ,www.precisioncableinc.com,3135,Universal Dr,3135 Universal Dr,L4X 2E6, ,13,1.49515E+12,1909800,Dixie EA,3
9519,20575,JTT Paperworkls Inc,1 to 4,Real Estate,Consumer Electronics and Appliance Rental,532210, ,905-282-9340,1-877-674-2828,info@centerstageav.com,www.centerstageav.com,3135,Universal Dr,3135 Universal Dr,L4X 2E6, ,1&2,1.49515E+12,1909800,Dixie EA,3
9520,20578,Bull Printing Group Inc.,5 to 9,Manufacturing,Other Printing,323119,905-362-2855,905-362-2862, ,customerservice@bullprinting.com,www.bullprinting.com,6450,Van Deemter Crt,6450 Van Deemter Crt,L5T 1S1, , ,1.54613E+12,10158800,Northeast EA (West),5
9521,20579,INKspired Promotions Inc.,5 to 9,Manufacturing,Other Printing,323119,416-733-3138, , , ,www.inkspiredpromotions.com,6460,Van Deemter Crt,6460 Van Deemter Crt,L5T 1S1, ,A,1.51019E+12,10158900,Northeast EA (West),5
9522,20580,Paccar Leasing Co.,10 to 19,Real Estate,"Truck, Utility Trailer and RV (Recreational Vehicl",532120,905-564-2300,905-564-2303, , ,www.paccar.com,6465,Van Deemter Crt,6465 Van Deemter Crt,L5T 1S1, , ,1.54613E+12,10158600,Northeast EA (West),5
9523,20581,Canadian Graphics West Inc.,10 to 19,Manufacturing,Textile and Fabric Finishing,313310,905-670-2343,905-670-1661, ,cgwmsg@bellnet.ca, ,6480,Van Deemter Crt,6480 Van Deemter Crt,L5T 1S1, , ,1.54613E+12,10159100,Northeast EA (West),5
9524,20583,G X Transport,20 to 49,Transportation,Other Freight Transportation Arrangement,488519,905-455-4341,905-455-7459, ,georgexdispatch@gxts.com,www.gxts.com,6495,Van Deemter Crt,6495 Van Deemter Crt,L5T 1S1, , ,1.54613E+12,10158500,Northeast EA (West),5
9525,20585,The Salvation Army Cornerstone Community Church,1 to 4,Other Services,Religious Organizations,813110,905-824-0450,905-824-0452, ,daniel_rowe@can.salvationarmy.org,www.cornerstonesa.ca,3020,Vanderbilt Rd,3020 Vanderbilt Rd,L5N 4W8, , ,1.5101E+12,13868800,Meadowvale NHD,9
9526,20589,"Body Clinic Day Spa, The",1 to 4,Other Services,Other Personal Care Services,812190,905-271-2980, , ,bodyclinicsue@yahoo.ca,www.thebodyclinicdayspa.com,1200,Vanier Dr,1200 Vanier Dr,L5H 4C7, ,2,1.54613E+12,1141500,Clarkson - Lorne Park NHD,2
9527,20590,Delta Learning Centre,1 to 4,Educational,All Other Schools and Instruction,611690,905-274-3876, , , ,www.deltalearning.ca,1200,Vanier Dr,1200 Vanier Dr,L5H 4C7, ,1,1.5101E+12,1141500,Clarkson - Lorne Park NHD,2
9528,20591,Supreme Windows,1 to 4,Wholesale,Other Specialty-Line Building Supplies Wholesaler-,416390,905-278-4900,905-278-4900, ,george@supremewindows.com,www.supremewindows.com,1200,Vanier Dr,1200 Vanier Dr,L5H 4C7, ,10,1.5101E+12,1141500,Clarkson - Lorne Park NHD,2
9529,20594,Nader Hair Studio,1 to 4,Other Services,Unisex Hair Salons,812116,905-891-1093, , , , ,1200,Vanier Dr,1200 Vanier Dr,L5H 4C7, ,8A,1.5101E+12,1141500,Clarkson - Lorne Park NHD,2
9530,20596,Jack Astor's,50 to 99,Accommodation,Full-service restaurants,722511,905-820-4511,905-820-5824, ,jacksdundas@sircorp.com,www.jackastors.com,3047,Vega Blvd,3047 Vega Blvd,L5L 5Y3,Bldg 2, ,1.57611E+12,14538700,Western Business Park EA,8
9531,20597,Michael's,20 to 49,Retail,All Other Miscellaneous Store Retailers (except Be,453999,289-334-0928, , , ,www.michaels.ca,3050,Vega Blvd,3050 Vega Blvd,L5L 5X8,Bldg 4,3,1.57611E+12,14538300,Western Business Park EA,8
9532,20598,Cameo Kitchens & Fine Cabintry,1 to 4,Manufacturing,Wood Kitchen Cabinet and Counter Top Manufacturing,337110,905-820-4841,905-820-4401, ,cameomississauga@cameokitchen.com,www.cameokitchens.com,3050,Vega Blvd,3050 Vega Blvd,L5L 5X8,Bldg 4, ,1.49386E+12,14538300,Western Business Park EA,8
9533,20599,Party City,20 to 49,Retail,All Other Miscellaneous Store Retailers (except Be,453999,905-607-2789,905-607-3953, , ,www.partypackagers.com,3050,Vega Blvd,3050 Vega Blvd,L5L 5X8,Bldg 4, ,1.57611E+12,14538300,Western Business Park EA,8
9534,20600,Chapters Bookstore,10 to 19,Retail,Book stores and news dealers  ,451310,905-820-9910,905-820-8599, ,debbie.butgereit@indigo.ca,www.chapters.indigo.ca,3050,Vega Blvd,3050 Vega Blvd,L5L 5X8,Bldg 4, ,1.49377E+12,14538300,Western Business Park EA,8
9535,20601,Starbucks,10 to 19,Accommodation,Limited-service eating places,722512,905-828-2080, , ,s04290@retail.starbucks.com,www.starbucks.ca,3050,Vega Blvd,3050 Vega Blvd,L5L 5X8,Bldg 4, ,1.57611E+12,14538300,Western Business Park EA,8
9536,20603,Goemans Appliances,20 to 49,Wholesale,Household Appliance Wholesaler-Distributors,414220,905-820-2600,905-820-8100, ,sales@goemans.com,www.goemans.com,3050,Vega Blvd,3050 Vega Blvd,L5L 5X8,Bldg 4,4,1.57611E+12,14538300,Western Business Park EA,8
9537,20604,Golf Town,10 to 19,Retail,Golf equipment and supplies specialty stores  ,451111,905-569-2088,905-569-6892, ,mississauga@golftown.com,www.golftown.com,3050,Vega Blvd,3050 Vega Blvd,L5L 5X8,Bldg 4,10B,1.54613E+12,14538300,Western Business Park EA,8
9538,20605,Linen Chest,5 to 9,Retail,All Other Home Furnishings Stores,442298,905-828-4449, , , ,www.linenchest.com,3050,Vega Blvd,3050 Vega Blvd,L5L 5X8,Bldg 4, ,1.57611E+12,14538300,Western Business Park EA,8
9539,20608,Milestone's Restaurant,20 to 49,Accommodation,Full-service restaurants,722511,905-828-9119,905-828-5741, ,milestones5218@recipeunlimited.com,www.milestonesrestaurant.com,3051,Vega Blvd,3051 Vega Blvd,L5L 5Y3,Bldg 3, ,1.57611E+12,14538700,Western Business Park EA,8
9540,20609,LA Fitness,20 to 49,Arts,Fitness and Recreational Sports Centres,713940,289-814-0399, , , ,www.lafitness.com,3055,Vega Blvd,3055 Vega Blvd,L5L 5Y3,Bldg 1, ,1.54613E+12,14538700,Western Business Park EA,8
9541,20610,Delta Elevator,N/A,Manufacturing,All other industrial machinery manufacturing,333248,905-828-4423, , , ,www.delta-elevator.com,947,Verbena Rd,947 Verbena Rd,L5T 1T5, , ,1.54613E+12,5176500,Northeast EA (West),5
9542,20611,Puretap Water Distillers Ltd.,10 to 19,Manufacturing,Soft Drink and Ice Manufacturing,312110,905-670-7400,905-670-8585, ,info@puretap.ca,www.puretap.ca,950,Verbena Rd,950 Verbena Rd,L5T 1T6, , ,1.54613E+12,5183300,Northeast EA (West),5
9543,20613,Shelf Talkers Manufacturing Inc.,20 to 49,Manufacturing,All Other Miscellaneous Manufacturing,339990,905-814-5577,905-279-0390,1-888-755-0750,info@shelftalkers.com,www.shelftalkers.com,2230,Meadowpine Blvd,2230 Meadowpine Blvd,L5N 6H6, , ,1.54613E+12,15730800,Meadowvale Business Park CC,9
9544,20624,Zemlar Offices,10 to 19,Administrative,Business Service Centres,561430, , , , ,www.zemlar.ca,4275,Village Centre Crt,4275 Village Centre Crt,L4Z 1V3, ,100,1.55987E+12,3602700,DT Core,4
9545,20626,IQSAS Tabani Trading Corporation,5 to 9,Finance,Investment Advice,523930,647-850-7717, , ,rafiq@iqsas.ca, ,4275,Village Centre Crt,4275 Village Centre Crt,L4Z 1V3, ,102,1.55987E+12,3602700,DT Core,4
9546,20627,Maple Diversity Communications,10 to 19,Professional,Advertising Material Distribution Services,541870,905-275-7561,866-546-9715, ,agency@maplediversity.ca,www.maplediversity.ca,4284,Village Centre Crt,4284 Village Centre Crt,L4Z 1S2, ,101,1.55987E+12,3604500,DT Core,4
9547,20637,John M. Gray Barristers and Solicitor,1 to 4,Professional,Offices of Lawyers,541110,905-270-5044,855-905-5044, , ,www.johngray.ca,4291,Village Centre Crt,4291 Village Centre Crt,L4Z 1S2, ,100,1.55987E+12,3603000,DT Core,4
9548,20638,State Farm Insurance/Ali Nazem Insurance Agency Inc.,5 to 9,Finance,Insurance Agencies and Brokerages,524210,905-502-1353,905-502-6024, ,ali@alinazem.com,www.alinazem.com,4291,Village Centre Crt,4291 Village Centre Crt,L4Z 1S2, ,200,1.55987E+12,3603000,DT Core,4
9549,20640,Peridontists Associates,20 to 49,Health Care,Offices of Dentists,621210,905-279-3364,905-279-9806, ,mail@paperio.ca,www.paperio.ca,4295,Village Centre Crt,4295 Village Centre Crt,L4Z 1S2, , ,1.55987E+12,3603100,DT Core,4
9550,20650,Highland Realty,20 to 49,Real Estate,Real Estate Property Managers,531310,905-803-3399,905-803-3396, , ,www.realtyhighland.com,4300,Village Centre Crt,4300 Village Centre Crt,L4Z 1S2, ,100,1.55987E+12,3604100,DT Core,4
9551,20656,Law Offices of Fernand A. Majid,5 to 9,Professional,Offices of Lawyers,541110,905-270-7001,866-525-8579, ,fernand@majidlaw.com,www.majidlaw.com,4304,Village Centre Crt,4304 Village Centre Crt,L4Z 1S2, ,201,1.55987E+12,3604000,DT Core,4
9552,20657,Happy Life Wealth Management,5 to 9,Finance,Investment Advice,523930,905-276-0707, , ,spencer.xu@happylifewealth.ca,www.happylifewealth.com,4307,Village Centre Crt,4307 Village Centre Crt,L4Z 1S2, ,100,1.55987E+12,3603400,DT Core,4
9553,20662,Homelife Response Realty Inc.,10 to 19,Real Estate,Offices of Real Estate Agents & Brokers,531210,905-949-0070,905-949-9814, ,frontdesk@homeliferesponse.com,www.homeliferesponse.com,4312,Village Centre Crt,4312 Village Centre Crt,L4Z 1S2, , ,1.55987E+12,3603800,DT Core,4
9554,20663,"Free Methodists Church In Canada, The",10 to 19,Other Services,Religious Organizations,813110,905-848-2600,905-848-2603, ,ministrycentre@smcic.ca,www.smcic.ca,4315,Village Centre Crt,4315 Village Centre Crt,L4Z 1S2, , ,1.55987E+12,3603600,DT Core,4
9555,20664,Abamar Ltd.,1 to 4,Construction,Commercial and Institutional Building Construction,236220,905-281-8500,905-281-8507, ,iskanderwafik@rogers.com, ,4315,Village Centre Crt,4315 Village Centre Crt,L4Z 1S2, ,202,1.55987E+12,3603600,DT Core,4
9556,20665,Orman Graphics Inc.,1 to 4,Professional,Graphic Design Services,541430,905-615-9334,905-615-9329, ,ormangraphics@bellnet.ca,www.ormangraphics.com,4315,Village Centre Crt,4315 Village Centre Crt,L4Z 1S2, ,200,1.55987E+12,3603600,DT Core,4
9557,20669,CMAA Professional Corporation,5 to 9,Professional,Offices of Lawyers,541110,905-270-8075,905-270-4764, ,lawyers@cunninghamlawpc.com, ,4316,Village Centre Crt,4316 Village Centre Crt,L4Z 1S2, ,300,1.55987E+12,3603700,DT Core,4
9558,20671,Condosky Realty & Home Marketing Inc.,N/A,Real Estate,Offices of Real Estate Agents & Brokers,531210,905-276-5800,905-276-5855,1-888-576-5805,sales@condosky.com,www.condosky.com,4316,Village Centre Crt,4316 Village Centre Crt,L4Z 1S2, ,103,1.54613E+12,3603700,DT Core,4
9559,20672,Sherwood Digital Copy & Print Inc.,1 to 4,Manufacturing,All Other Miscellaneous Fabricated Metal Product M,332999,905-273-9328, , ,village@sherwoodcopy.com, ,4316,Village Centre Crt,4316 Village Centre Crt,L4Z 1S2, ,104,1.55987E+12,3603700,DT Core,4
9560,20678,Canadian National Sportsmen's Shows,10 to 19,Other Services,Other Membership Organizations,813990,905-361-2677,905-361-2678, ,info@sportsshows.ca,www.sportsshows.ca,30,Village Centre Pl,30 Village Centre Pl,L4Z 1V9, , ,1.55987E+12,3606100,DT Core,4
9561,20682,Trica C X M Solutions Inc.,5 to 9,Professional,Computer systems design and related services (exce,541514,905-276-2290,905-276-2290,1-844-977-2290,info@tricacxm.com,www.tricacxm.com,32,Village Centre Pl,32 Village Centre Pl,L4Z 1V9, ,300,1.55987E+12,3606000,DT Core,4
9562,20685,Centum Presto Mortgages,10 to 19,Real Estate,Offices of Real Estate Agents & Brokers,531210,905-581-3138,905-583-1380,1-855-999-3244,info@prestomortgages.ca,www.prestomortgages.ca,34,Village Centre Pl,34 Village Centre Pl,L4Z 1V9, ,100,1.55987E+12,3605900,DT Core,4
9563,20687,Concierge Mortgage Group,10 to 19,Finance,Mortgage and Non-mortgage Loan Brokers,522310,905-542-3001,905-542-1985, ,marg@marggreen.ca,www.marggreen.ca,34,Village Centre Pl,34 Village Centre Pl,L4Z 1V9, ,300,1.57317E+12,3605900,DT Core,4
9564,20693,Skylark Mortgages Limited,1 to 4,Finance,Mortgage and Non-mortgage Loan Brokers,522310,905-272-1900,905-272-1905, , ,www.skylarkmortgages.ca,46,Village Centre Pl,46 Village Centre Pl,L4Z 1V9, ,300,1.55987E+12,3605500,DT Core,4
9565,20694,The Mortgage Centre,1 to 4,Finance,Mortgage and Non-mortgage Loan Brokers,522310,905-566-5363,905-566-8037,1-877-229-5063, ,www.mortgageinthecity.ca,46,Village Centre Pl,46 Village Centre Pl,L4Z 1V9, ,Lower Level,1.55987E+12,3605500,DT Core,4
9566,20695,Korman L L P,10 to 19,Professional,Offices of Lawyers,541110,905-270-6660,905-270-2665, ,info@kormans.ca,www.kormansllp.ca,46,Village Centre Pl,46 Village Centre Pl,L4Z 1V9, ,200,1.55987E+12,3605500,DT Core,4
9567,20699,Nawaz Taub & Wasseman Chartered Accountants,1 to 4,Professional,Offices of  Accountants,541212,905-273-5888,905-273-5999, ,info@ntnw.ca,www.ntnw.ca,48,Village Centre Pl,48 Village Centre Pl,L4Z 1V9, ,300,1.55987E+12,3605400,DT Core,4
9568,20700,A D D Centre - Attention Span Training,10 to 19,Educational,All Other Schools and Instruction,611690,905-803-8066,905-803-9061, ,addcentre@gmail.com,www.addcentre.com,50,Village Centre Pl,50 Village Centre Pl,L4Z 1V9, ,200,1.55987E+12,3605300,DT Core,4
9569,20703,D H Professional Corporation,5 to 9,Professional,Offices of Lawyers,541110,905-273-3339,905-273-5672, ,douglas@mississaugalawyer.com,www.mississaugalawyer.com,51,Village Centre Pl,51 Village Centre Pl,L4Z 1V9, ,1st FL,1.55987E+12,3605000,DT Core,4
9570,20704,Levant Cafe,1 to 4,Wholesale,Other Specialty-Line Food Wholesaler-Distributors,413190,905-848-4242, , , ,www.district.416.com,51,Village Centre Pl,51 Village Centre Pl,L4Z 1V9, ,Lower Level,1.55987E+12,3605000,DT Core,4
9571,20710,J M K Law,5 to 9,Professional,Offices of Lawyers,541110,905-890-1800,905-890-8400, ,info@jmklaw.ca,www.jmklaw.ca,53,Village Centre Pl,53 Village Centre Pl,L4Z 1V9, ,100,1.55987E+12,3604900,DT Core,4
9572,20716,"Jarvis,Ryan Associates",20 to 49,Professional,Offices of  Accountants,541212,905-277-9499,905-277-9506, , ,www.jarvisryan.com,54,Village Centre Pl,54 Village Centre Pl,L4Z 1V9, ,100 to 300,1.55987E+12,3605100,DT Core,4
9573,20722,Sherwoodtowne Physiotherapy,1 to 4,Health Care,"Offices of Physical, Occupational, and Speech Ther",621340,905-281-8704,905-281-8988, ,sherwoodtown@bellnet.ca, ,57,Village Centre Pl,57 Village Centre Pl,L4Z 1V9, ,100,1.55987E+12,3604700,DT Core,4
9574,20727,Assured Packaging,100 to 299,Manufacturing,All Other Miscellaneous Chemical Product Manufactu,325999,905-565-1410, , ,sales@assuredpackaging.com,www.assuredpackaging.com,6080,Vipond Dr,6080 Vipond Dr,L5T 2V4, , ,1.54613E+12,10185800,Northeast EA (West),5
9575,20728,"Donnelley, R R",300 to 499,Manufacturing,Support Activities for Printing,323120,905-362-3100,905-565-9757,1-888-873-6667,info@rrdonnelley.com,www.rrd.com,6100,Vipond Dr,6100 Vipond Dr,L5T 2X1, , ,1.54613E+12,10185700,Northeast EA (West),5
9576,20729,A M J Campbell Van Lines,20 to 49,Transportation,Used Household and Office Goods Moving,484210,905-670-7111,905-795-3630,1-888-265-6683,faxvipond@amjcampbell.com,www.amjcampbell.com,6140,Vipond Dr,6140 Vipond Dr,L5T 2B2, , ,1.54613E+12,10185600,Northeast EA (West),5
9577,20730,S C I White Glove,100 to 299,Transportation,General Warehousing and Storage,493110,905-565-1053,905-565-1096,1-800-469-0628, ,www.sci.ca,6141,Vipond Dr,6141 Vipond Dr,L5T 2B2, , ,1.54613E+12,10186000,Northeast EA (West),5
9578,20731,Georg Fischer Piping Systems Ltd.,10 to 19,Manufacturing,Plastic Pipe and Pipe Fitting Manufacturing,326122,905-670-8005,905-670-8513, ,david.jones@georgfisher.com,www.georgfischer.ca,6200,Vipond Dr,6200 Vipond Dr,L5T 2B2, , ,1.51019E+12,10185600,Northeast EA (West),5
9579,20736,Lynx Industries Inc.,20 to 49,Manufacturing,Metal Window and Door Manufacturing,332321,905-564-2227,905-670-0806,1-888-839-5969, ,www.lynx-nsw.com,6311,Vipond Dr,6311 Vipond Dr,L5T 1T7, , ,1.54613E+12,10178600,Northeast EA (West),5
9580,20738,Schmolz + Bickenbach Canada Inc.,20 to 49,Wholesale,"Industrial Machinery, Equipment and Supplies Whole",417230,416-675-5941,905-564-1537,1-888-460-0051,info@schmolz-bickenbach.ca,www.schmolz-bickenbach.ca,6350,Vipond Dr,6350 Vipond Dr,L5T 1G2, , ,1.54613E+12,10178800,Northeast EA (West),5
9581,20740,Boston Scientific Canada,20 to 49,Wholesale,"Professional Machinery, Equipment and Supplies Who",417930,905-696-1800,905-696-1830,1-888-857-1990, ,www.bostonscientific.ca,6430,Vipond Dr,6430 Vipond Dr,L5T 1W8, , ,1.54613E+12,10185400,Northeast EA (West),5
9582,20747,Yamato Transport U.S.A. Inc.,5 to 9,Transportation,Other Freight Transportation Arrangement,488519,905-677-2022,905-677-2185, ,yyzoperat@yamatoamerica.com,www.yamatoamerica.com,6330,Viscount Rd,6330 Viscount Rd,L4V 1H3, , ,1.49731E+12,10317200,Northeast EA (East),5
9583,20749,Sydney Stone,10 to 19,Wholesale,Office and Store Machinery and Equipment Wholesale,417910,905-673-9641,905-673-9758,1-800-668-6055,sales@printfinishing.com,www.printfinishing.com,6338,Viscount Rd,6338 Viscount Rd,L4V 1H3, , ,1.49748E+12,10317200,Northeast EA (East),5
9584,20751,Sundine Produce,20 to 49,Retail,Supermarkets and Other Grocery (except Convenience,445110,905-364-1600,416-342-1763, ,sundine@sundineproduce.com,www.sundineproduce.com,6346,Viscount Rd,6346 Viscount Rd,L4V 1H3, , ,1.49748E+12,10317200,Northeast EA (East),5
9585,20754,McKesson Canada,300 to 499,Wholesale,Pharmaceuticals and Pharmacy Supplies Wholesaler-D,414510,905-671-4586,905-671-8710,1-800-576-2380,communications@mckesson.ca,www.mckesson.ca,6355,Viscount Rd,6355 Viscount Rd,L4V 1W2, , ,1.51019E+12,21128300,Northeast EA (East),5
9586,20755,Kit Care Corporation,10 to 19,Wholesale,"Toiletries, Cosmetics and Sundries Wholesaler-Dist",414520,416-243-3030,416-243-3082,1-800-387-1858,gyaffe@kitcarecorp.com,www.kitcarecorp.com,6358,Viscount Rd,6358 Viscount Rd,L4V 1H3, , ,1.49731E+12,10317200,Northeast EA (East),5
9587,20756,Crosslink Technology Inc.,20 to 49,Manufacturing,Adhesive Manufacturing,325520,905-673-0510,905-673-0519, ,info@crosslinktech.com,www.crosslinktech.com,6380,Viscount Rd,6380 Viscount Rd,L4V 1H3, , ,1.49688E+12,10316400,Northeast EA (East),5
9588,20758,Player One Amusement Group,50 to 99,Arts,Amusement and Theme Parks,713110,416-251-2122,416-775-8772,1-844-946-7124, ,www.winwithp1ag.com,6420,Viscount Rd,6420 Viscount Rd,L4V 1H3, , ,1.54613E+12,10316300,Northeast EA (East),5
9589,20760,Nytric Ltd.,20 to 49,Professional,"Research and Development in the Physical, Engineer",541710,905-670-5810,905-670-0807, ,info@nytric.com,www.nytric.com,6470,Viscount Rd,6470 Viscount Rd,L4V 1H3, , ,1.49688E+12,10315700,Northeast EA (East),5
9590,20763,Equipco Ltd.,5 to 9,Wholesale,"Plumbing, Heating and Air-Conditioning Equipment a",416120,905-612-0701,905-612-9902, , ,www.equipcoltd.com,6480,Viscount Rd,6480 Viscount Rd,L4V 1H3, ,3,1.54613E+12,10315700,Northeast EA (East),5
9591,20765,B C T,10 to 19,Manufacturing,Other Printing,323119,905-672-3300,905-672-3313, ,orders@bctmississauga.com,www.bctmississauga.com,6486,Viscount Rd,6486 Viscount Rd,L4V 1H3, , ,1.49688E+12,10315700,Northeast EA (East),5
9592,20768,M H I Canada Aerospace Inc.,50 to 99,Manufacturing,Aerospace Product and Parts Manufacturing,336410,905-612-6781,905-673-3014, , ,www.mhi.com/network/product/air,6520,Viscount Rd,6520 Viscount Rd,L4V 1H3, , ,1.51019E+12,10315600,Northeast EA (East),5
9593,20770,Cott Beverages (Refresco),100 to 299,Manufacturing,Soft Drink and Ice Manufacturing,312110,905-672-1900,905-672-5229, , ,www.cott.com,6525,Viscount Rd,6525 Viscount Rd,L4V 1H6, , ,1.49688E+12,10315500,Northeast EA (East),5
9594,20771,Streetsville Baptist Church,1 to 4,Other Services,Religious Organizations,813110,905-826-1834, , ,church@streetsvillebaptist.ca,www.streetsvillebaptist.ca,121,Vista Blvd,121 Vista Blvd,L5M 1W1, , ,1.56885E+12,13417600,Streetsville NHD,11
9595,20772,Vista Heights Public School,50 to 99,Educational,Elementary and Secondary Schools,611110,905-826-1581,905-826-9997, , ,www.peel.edu.on.ca/vistaheights,89,Vista Blvd,89 Vista Blvd,L5M 1V8, , ,1.54613E+12,13418600,Streetsville NHD,11
9596,20777,Pappi Lighting,10 to 19,Wholesale,Home Entertainment Equipment Wholesaler-Distributo,414210,905-625-1139,905-625-0231, ,pappi@pappilighting.com,www.pappilighting.com,5598,Ambler Dr,5598 Ambler Dr,L4W 2K9, , ,1.54613E+12,10174100,Northeast EA (West),5
9597,20784,St.James Catholic Global Learning Centre,20 to 49,Educational,Elementary and Secondary Schools,611110,905-891-7619,905-278-6539, , ,www.dpcdsb.org,98,Wanita Rd,98 Wanita Rd,L5G 1B8, , ,1.53827E+12,12992500,Port Credit NHD (East),1
9598,20785,Tabuchi Law Professional Corporation,1 to 4,Professional,Offices of Lawyers,541110,416-477-5673,888-381-3651, ,maureentabuchi@complete-lawyer.com,www.completerealestatelawyer.com,120,Watline Ave,120 Watline Ave,L4Z 2C1, ,5,1.54613E+12,5137300,Gateway EA (East),5
9599,20788,E-Link Electronic Service Centre,10 to 19,Other Services,Electronic and Precision Equipment Repair and Main,811210,416-622-7669,905-501-1857, ,service@elinkssc.com, ,120,Watline Ave,120 Watline Ave,L4Z 2C1, ,2,1.54613E+12,5137300,Gateway EA (East),5
9600,20790,Adil Law Professional Corporation,1 to 4,Professional,Offices of Lawyers,541110,905-502-7474,905-502-7040, ,adil@adillaw.ca,www.adillaw.ca,120,Watline Ave,120 Watline Ave,L4Z 2C1, ,7,1.54613E+12,5137300,Gateway EA (East),5
9601,20791,Genrep Ltd.,50 to 99,Wholesale,Electrical Wiring and Construction Supplies Wholes,416110,905-502-9950,905-502-9960, ,salestor@genrep.com,www.genrep.com,121,Watline Ave,121 Watline Ave,L4Z 1P2, , ,1.54613E+12,5142200,Gateway EA (East),5
9602,20793,Beyond Kitchens and Bath,5 to 9,Construction,Residential Building Construction,236110,905-507-1666,905-507-1110, ,jnfo@beyondkitchens.ca,www.beyondkitchens.ca,136,Watline Ave,136 Watline Ave,L4Z 2E2, ,5&6,1.51019E+12,5137300,Gateway EA (East),5
9603,20798,Bold Dance Company Inc.,10 to 19,Educational,Fine Arts Schools,611610,905-507-2653, , ,office@bolddancecompany.net,www.bolddancecompany.net,136,Watline Ave,136 Watline Ave,L4Z 2E2, ,3&4,1.54613E+12,5137300,Gateway EA (East),5
9604,20801,Colombus Roofing & Aluminum (2015) Ltd.,20 to 49,Construction,Roofing Contractors,238160,905-366-0091,905-366-0095, , , ,151,Watline Ave,151 Watline Ave,L4Z 1P2, , ,1.54613E+12,5142000,Gateway EA (East),5
9605,20802,Commercial Spring & Tool Co. Ltd.,100 to 299,Manufacturing,Stamping,332118,905-568-3899,905-568-1929, ,hr@cst-l.com,www.commericalspring.com,160,Watline Ave,160 Watline Ave,L4Z 1R1, , ,1.53438E+12,5137400,Gateway EA (East),5
